departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
36030.0;42141013022-1;drtD1;111353928_1;346304.85;3918238.61;46888493_0;347057.28;3919004.13;189.0;36431.0;212.0;1715.28;1715.28;-1.2;36930;37845.22
39660.0;42118023262-1;drtD0;316021084_0;339682.75;3914735.63;558090070_1;339134.26;3916367.06;536.0;40485.0;289.0;2617.89;2617.89;-1.83;40560;41705.04
45611.0;42113002592-4;drtD2;556282773_0;334865.05;3918280.52;204881831_0;336574.49;3916597.25;594.0;46597.0;392.0;3726.96;3726.96;-2.61;46511;48008.48
50435.0;42113011312-1;drtD1;197515789_4;344171.97;3916828.52;1042747061_1;347946.04;3914021.17;710.0;51857.0;712.0;5501.87;5501.87;-3.85;51335;53749.63
52218.0;42113014912-2;drtD5;1158171282_1;320553.96;3916155.32;195745625_0_r;342746.67;3915015.48;854.0;55721.0;2649.0;31477.1;31477.1;-22.03;53118;61037.14
54665.0;42113000032-3;drtD0;576229020_0;345267.42;3918419.27;106474341_1;343643.51;3917592.18;766.0;55718.0;287.0;2327.6;2327.6;-1.63;55565;56719.79
55882.0;42037039001-2;drtD0;626893500_1;347120.24;3919484.19;164813471_5;347608.54;3913414.68;630.0;57526.0;1014.0;8232.16;8232.16;-5.76;56782;60042.36
57630.0;43634000513-3;drtD4;318495210_2;330152.44;3913188.35;318403969_2;331893.98;3912269.91;539.0;58451.0;282.0;2673.89;2673.89;-1.87;58530;59653.84
61241.0;42113005392-2;drtD2;317117556_0_r;334039.26;3917219.2;316529854_0_r;335839.97;3915706.5;657.0;62244.0;346.0;3021.74;3021.74;-2.12;62141;63432.41
65726.0;42142005932-3;drtD1;110008921_3;347341.82;3917807.92;130576740_4;347451.7;3918182.58;601.0;66406.0;79.0;511.67;511.67;-0.36;66626;67166.54
72088.0;42113001331-2;drtD2;317096884_0_r;336398.48;3917653.87;558090070_1;339134.26;3916367.06;472.0;73025.0;465.0;3658.34;3658.34;-2.56;72988;74666.83
