vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;36809.1;27367.4;9441.7;32561.67
drtA27;28655.36;14161.2;14494.16;14161.2
drtA2;0;0;0;0
drtA28;0;0;0;0
drtA29;21504.39;18792.77;2711.63;21677.62
drtA0;39049.58;32002.56;7047.02;37796.66
drtA9;30013.4;24764.03;5249.37;24764.03
drtA7;11400.69;9636.12;1764.57;9636.12
drtA8;8677.92;6749.55;1928.36;6749.55
drtA5;2356.51;1725.86;630.65;1725.86
drtA6;37325.01;28903.94;8421.07;28903.94
drtA3;37134.29;23996.58;13137.71;23996.58
drtA4;20690;16779.28;3910.72;16779.28
drtA30;53792.96;48870.41;4922.55;60807.95
drtA31;24994.26;14226.53;10767.73;14226.53
drtA10;9963;6190.25;3772.76;6190.25
drtA32;15241.24;12958.87;2282.37;12958.87
drtA11;11976.7;10498.72;1477.98;23720.8
drtA33;4194.07;2393.17;1800.9;2393.17
drtA12;8854.38;3691.78;5162.6;3691.78
drtA34;0;0;0;0
drtA13;22588.59;14591.25;7997.34;14591.25
drtA35;0;0;0;0
drtA14;11956.94;5686.25;6270.69;5686.25
drtA36;16819.54;13150.21;3669.33;14109.96
drtA15;3431.76;2670.26;761.5;2670.26
drtA37;25884.56;20720.55;5164.01;20720.55
drtA16;1373.94;229.1;1144.84;229.1
drtA38;1381.79;895.59;486.2;895.59
drtA17;3746.69;2750.03;996.66;2750.03
drtA18;45582.82;41678.43;3904.39;41678.43
drtA19;15443.59;11870.73;3572.85;13737.39
drtA21;2750.29;1480.67;1269.62;1480.67
drtA22;62791.74;52306.48;10485.26;59779.75
drtA23;8729.12;7435.85;1293.27;7435.85
drtA24;27217.68;22038.5;5179.18;25139.57
drtA25;5377.11;5187.44;189.67;5187.44
drtA26;11759.52;9915.83;1843.7;11346.66
