vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB26;0;0;0;0
drtB28;22964.6;15668.68;7295.92;15668.68
drtB29;23655.49;18951.58;4703.91;18951.58
drtB30;26355.26;24827.78;1527.48;24827.78
drtB10;5791.35;4679.3;1112.05;4679.3
drtB11;5796.3;3547.94;2248.36;3547.94
drtB12;5846.92;3830.48;2016.44;3830.48
drtB13;0;0;0;0
drtB14;6254.2;3113.85;3140.35;3113.85
drtB15;6864.88;3932.02;2932.86;3932.02
drtB3;2860.25;940.97;1919.29;940.97
drtB16;36890.27;33882.73;3007.55;33882.73
drtB0;27519.76;15492.78;12026.98;15492.78
drtB17;2009.78;1367.24;642.54;1367.24
drtB1;6247.56;2027.16;4220.4;2027.16
drtB18;0;0;0;0
drtB19;24202.73;20758.41;3444.32;20758.41
drtB8;29242.3;11224.94;18017.36;11224.94
drtB9;31166.59;22964.26;8202.34;22964.26
drtB6;12661.77;6041.97;6619.8;6041.97
drtB7;0;0;0;0
drtB4;11122.92;3706.25;7416.66;3706.25
drtB5;5917.69;3256.28;2661.41;3256.28
drtB20;7896.44;3903.52;3992.92;3903.52
drtB21;5516.49;2388.03;3128.46;2388.03
drtB22;0;0;0;0
drtB23;1521.17;898.6;622.58;898.6
drtB24;0;0;0;0
drtB25;0;0;0;0
