vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtC3;27929.85;10297.22;17632.63;10297.22
drtC4;23790.37;8986.72;14803.66;8986.72
drtC1;34439.3;13621.38;20817.92;13621.38
drtC2;0;0;0;0
drtC9;22272.48;10827.64;11444.84;10827.64
drtC7;6579.58;5413.45;1166.12;5413.45
drtC10;25905;13507.94;12397.06;13507.94
drtC8;37609.86;24482.43;13127.43;24482.43
drtC11;2276.45;605.91;1670.54;605.91
drtC5;12593.44;7099.62;5493.81;7099.62
drtC12;23749.06;14873.48;8875.58;14873.48
drtC6;18115.45;14462.08;3653.37;14462.08
