runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;6;488;734;734;718.25;399.5;66.67;100;221.17;3256.51;3256.51;709.17;2.28;0;0
NA;2;15;461.47;1134;1134;616;374;73.33;93.33;337.93;3054.96;3054.96;799.4;2.14;0;0
NA;3;26;382.04;751;745.4;568.5;353.5;80.77;100;341.35;3152.3;3086.95;723.38;2.16;0;0
NA;4;30;386.23;735;734.45;543;359.5;83.33;100;366.23;3392.04;3335.41;752.47;2.33;1;0.03
NA;5;37;375.24;757;736.3;482.5;374;89.19;100;426.38;4039.61;4015.44;801.62;2.81;0;0
NA;6;40;459.4;920;821.7;693.25;417;70;97.5;473.7;4036.03;3973.37;933.1;2.78;0;0
NA;7;37;450.92;1117;838.9;575.5;423;81.08;97.3;549.24;5011.86;4978.18;1000.16;3.48;0;0
NA;8;34;443.94;942;819.75;562.5;405.5;85.29;97.06;627.59;5949.76;5912.16;1071.53;4.14;0;0
NA;9;38;435.37;942;842.25;562.25;390.5;84.21;97.37;567.32;5513.56;5479.92;1002.68;3.84;0;0
NA;10;41;405.22;785;703.9;528;383;90.24;100;549.46;5258.29;5155.64;954.68;3.61;0;0
NA;11;42;405.74;952;812.45;519;386;85.71;97.62;483.9;4471.54;4372.57;889.64;3.06;1;0.02
NA;12;46;407.85;847;798.85;508;386;82.61;100;468.78;4074.31;4032.68;876.63;2.82;0;0
NA;13;48;449.33;847;831.65;556.25;421.5;81.25;100;490.02;4258.08;4201.93;939.35;2.94;1;0.02
NA;14;40;381.2;760;617.1;476;400;95;100;501.45;4611.45;4606.82;882.65;3.22;5;0.11
NA;15;44;383.75;806;749;482.5;360.5;93.18;100;454.59;3722.96;3717.11;838.34;2.6;2;0.04
NA;16;39;435.31;760;754;539;409;84.62;100;489.08;3945.8;3936.81;924.38;2.76;2;0.05
NA;17;38;487.53;893;879.7;574.5;510;78.95;100;511.82;4180.32;4041.66;999.34;2.83;4;0.1
NA;18;34;432.47;942;905.25;553.75;430.5;85.29;97.06;529.91;4281;4126.24;962.38;2.89;4;0.11
NA;19;38;467.68;931;840.75;614;463;73.68;97.37;598.16;4946.57;4676.67;1065.84;3.27;6;0.14
NA;20;26;402.88;914;907.35;534.25;317;88.46;96.15;722.69;6777.48;6310.26;1125.58;4.42;20;0.43
