runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;7;511.14;715;715;710;465;57.14;100;712.57;6768.99;6768.99;1223.71;4.74;0;0
NA;2;10;523;765;765;659.5;494.5;70;100;515.2;5111.4;5111.4;1038.2;3.58;1;0.09
NA;3;11;564.36;864;864;756;577;63.64;100;582;5476.21;5476.21;1146.36;3.83;3;0.21
NA;4;13;613.92;1005;1005;780;590;53.85;92.31;722.62;7128.94;7128.94;1336.54;4.99;0;0
NA;5;13;672.38;1005;1005;867;756;38.46;84.62;642.69;6179.65;6179.65;1315.08;4.33;2;0.13
NA;6;12;567.58;870;870;773.5;517.5;58.33;100;653;6409.59;6409.59;1220.58;4.49;2;0.14
NA;7;17;573.53;1042;1042;739.5;539;64.71;94.12;426.71;3736.5;3736.5;1000.24;2.62;2;0.11
NA;8;14;524.29;1184;1184;783.75;482;64.29;92.86;518.14;4440.58;4440.58;1042.43;3.11;4;0.22
NA;9;18;478.94;871;871;650.5;488.5;72.22;100;544.17;4428.27;4367.32;1023.11;3.06;2;0.1
NA;10;25;535.56;841;833.5;713.5;556;64;100;464.4;3775.4;3756.87;999.96;2.63;3;0.11
NA;11;28;515.57;841;836.05;676.5;536.5;60.71;100;465.29;3760.9;3744.17;980.86;2.62;4;0.12
NA;12;27;500.33;830;806;650;511;62.96;100;428.26;3667.35;3636.22;928.59;2.55;5;0.16
NA;13;26;539.08;956;910.5;661.5;572;53.85;96.15;479.46;3981.81;3952.59;1018.54;2.77;3;0.1
NA;14;28;515.46;906;891.6;623;483;67.86;96.43;487.14;4165.04;4141.82;1002.61;2.9;3;0.1
NA;15;26;524.35;949;926.25;647.25;505;73.08;96.15;590.15;5109.59;3997.78;1114.5;2.8;5;0.16
NA;16;27;514.19;830;828.4;642;458;74.07;100;607.44;5131.41;4057.05;1121.63;2.84;4;0.13
NA;17;21;533.57;966;956.6;648.5;500;66.67;95.24;520.29;4079.47;3641.38;1053.86;2.55;5;0.19
NA;18;23;610.04;872;869.6;687;597;52.17;100;556.09;3943.99;3943.68;1166.13;2.76;2;0.08
NA;19;24;604.79;1072;1022;664.25;603.5;50;95.83;504.33;3446.8;3441.77;1109.12;2.41;3;0.11
NA;20;29;540.79;1072;1065;664.5;559;58.62;89.66;438.72;3240.9;3240.65;979.52;2.27;1;0.03
