departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
1701.0;32083000661-2;drtB10;1064039460_0;379509.8;3947181.13;85780852_0_r;367455.28;3946624.41;312.0;3358.0;1345.0;15795.15;15795.15;-11.06;2601;6476.66
23426.0;32094018093-1;drtB13;173773219_3;357882.75;3938498.61;120322803_0;376270.96;3947250.89;895.0;27144.0;2823.0;29544.59;29540.73;-20.68;24326;31698.41
23427.0;31124026835-1;drtB16;242669507_0_r;376011.11;3945607.63;43099692_0_r;362711.76;3929580.49;518.0;26061.0;2116.0;24827.78;24827.78;-17.38;24327;30856.53
26427.0;42167020102-1;drtB7;314968613_0;357394.89;3930773.08;569697235_0;354987.47;3929094.06;473.0;27418.0;518.0;3256.28;3256.28;-2.28;27327;29180.9
27615.0;42163006646-1;drtB7;205939084_1;356129.93;3930308.91;211105738_5;355403.44;3929057.3;333.0;28263.0;315.0;1896.97;1896.97;-1.33;28515;29736.41
30615.0;42163006644-1;drtB7;205939084_1;356129.93;3930308.91;44420788_0_r;355913.88;3929305.34;322.0;31822.0;885.0;5175.92;1216.87;-0.85;31515;32382.24
30723.0;91533015011-1;drtB7;166961991_3;355711.4;3931779.08;203305586_0_r;365798.62;3937528.05;611.0;33963.0;2629.0;22652.68;14467.84;-10.13;31623;38468.93
34213.0;31123074362-2;drtB6;76038218_0;375068.41;3945878.67;282110788_0;375681.18;3946409.88;291.0;34799.0;295.0;1121.48;1121.48;-0.79;35113;35909.84
38434.0;31123068542-4;drtB14;105682242_1;377930.11;3946646.12;31764457_0;377449.5;3946950.5;135.0;38691.0;122.0;898.6;898.6;-0.63;39334;39975.07
38483.0;61373035041-1;drtB7;504010827_0_r;365699.2;3941394.28;202168363_0_r;365651.46;3940602.49;914.0;39575.0;178.0;1110.28;1110.28;-0.78;39383;40191.98
39623.0;32083035122-1;drtB3;319679383_1;371847.47;3948078.04;27696557_0;371224;3946874.5;256.0;40143.0;264.0;2027.16;2027.16;-1.42;40523;41608.2
43212.0;31163042051-4;drtB10;399681284_1;365334.48;3944988.11;111813246_0;364195.49;3947395.08;383.0;44013.0;418.0;3693;3693;-2.59;44112;45624.22
43224.0;31124055951-2;drtB1;48671202_0;379620.45;3945318.91;31336576_16;376394.26;3944212.8;155.0;43840.0;461.0;4679.3;4679.3;-3.28;44124;45723.37
45525.0;31106027221-2;drtB12;107852392_0;381180.29;3945670.14;1039535481_2;379606.26;3943770.86;296.0;46189.0;368.0;3830.48;3830.48;-2.68;46425;47776.74
47741.0;32083020242-2;drtB3;892350869_0_r;372086.79;3947875.11;258995493_0;371272.35;3947325.56;302.0;48284.0;241.0;1372.36;1372.36;-0.96;48641;49637.53
52214.0;61355041801-3;drtB15;102879173_0;371593.56;3941700.55;963741970_0_r;371081.36;3942437.81;526.0;52974.0;234.0;1352.13;1352.13;-0.95;53114;54091.05
54026.0;32194004201-3;drtB11;1106030481_0;371022.8;3945516.2;27084441_0_r;370267.26;3945417.21;280.0;54456.0;150.0;1025.89;1025.89;-0.72;54926;55658.77
57038.0;31124049653-2;drtB12;57384410_7;379088.97;3943951.11;282318027_0_r;379326.42;3944571.84;240.0;57507.0;229.0;1432.31;1432.31;-1;57938;58710.41
58548.0;31124074312-5;drtB6;282583332_0_r;374980.18;3946703.98;221139150_0;375730.46;3946310.03;252.0;58956.0;156.0;1082.32;1082.32;-0.76;59448;60252.92
63352.0;31123026142-2;drtB5;282318044_0;378005.43;3945473.65;197107496_11;375864.16;3945836.58;228.0;63964.0;384.0;2442.41;2442.41;-1.71;64252;65678.83
63616.0;31123071342-1;drtB6;39487739_2;374416.39;3946878.23;659619052_0;373228.98;3948248.76;530.0;64474.0;328.0;3438.77;3438.77;-2.41;64516;65787.25
63930.0;61365046901-3;drtB15;1174568833_0;370401.35;3939989.39;1078514509_0;370182.06;3939697.77;590.0;64617.0;97.0;726.22;726.22;-0.51;64830;65414.18
64862.0;61372003672-4;drtB7;482994783_1;364905.8;3940931.46;203247589_0;365357.09;3938891.26;296.0;65591.0;433.0;2756.84;2756.84;-1.93;65762;67335.54
68443.0;61353049451-2;drtB15;966858237_0;372284.14;3940202.34;960664857_0_r;369464.86;3942150.38;547.0;69683.0;693.0;4374.62;4374.62;-3.06;69343;71711.92
68854.0;61372021721-2;drtB12;254992125_5;381004.26;3946072.36;135269069_0_r;366263.59;3938409.9;216.0;70638.0;1568.0;20758.41;20758.41;-14.53;69754;74631.62
86055.0;32094013131-2;drtB8;115152550_5;371591.62;3938286.96;144341362_0_r;360183.84;3934437.97;574.0;88169.0;1540.0;14942.45;14942.45;-10.46;86955;91771.89
