departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
926.0;31124037151-2;drtA12;182823065_0;382638.94;3946930.55;154464490_0_r;379565.65;3945041.67;174.0;1361.0;261.0;3969.5;3969.5;-2.78;1826;2862.39
3696.0;31123043081-2;drtA42;229361291_0;381111.87;3949361.48;659079504_0_r;378096.89;3948229.48;187.0;4075.0;192.0;3252.73;3252.73;-2.28;4596;5461.37
7264.0;31132029211-2;drtA35;203035387_0;388374.38;3949967.18;115447306_0_r;380084.1;3948209.73;354.0;8359.0;741.0;11024.31;11024.31;-7.72;8164;10539.48
9838.0;31127119452-2;drtA37;286703470_0;388328.01;3949449.87;154488792_0_r;378231.58;3944222.8;385.0;11023.0;800.0;12723.47;12723.47;-8.91;10738;13263.98
21028.0;31123112021-1;drtA10;50876978_4;376663.71;3942808.87;26201523_15;378981.66;3949813.1;205.0;22201.0;968.0;14385.4;14385.4;-10.07;21928;25043.2
22538.0;31132022751-1;drtA36;41857312_1;383464.42;3948888.44;691874813_0_r;388903.3;3949444.84;216.0;23230.0;476.0;7391.11;7391.11;-5.17;23438;25145.58
23415.0;31123089361-1;drtA1;116837724_0;380594.4;3946019.49;931455735_0;382585.14;3947205.24;339.0;23959.0;205.0;2884.85;2884.85;-2.02;24315;25220.5
23417.0;31124078311-1;drtA1;27262967_0_r;379729.53;3945570.79;93185591_0;383377.67;3946037.98;129.0;24263.0;717.0;6379.86;4945.01;-3.46;24317;25847.83
24646.0;51072015521-2;drtA22;145127485_0;385338.52;3948855.71;1147401989_2;383876.95;3948127.57;295.0;25210.0;269.0;1975.57;1975.57;-1.38;25546;26279.47
25145.0;31123028242-1;drtA40;116432489_0_r;377322.02;3944485.43;845236040_0;390550.95;3954417.34;118.0;26465.0;1202.0;20242.16;20242.16;-14.17;26045;29944.62
26583.0;31123030981-1;drtA7;426101590_0_r;377065.03;3945354.98;24487382_0;385955.36;3947713.69;351.0;28287.0;1353.0;13984.21;11720.75;-8.2;27483;30327.39
27036.0;31123081661-1;drtA7;49688788_4;379775.78;3946507.57;23578870_1;388346.6;3949823.71;620.0;28693.0;1037.0;11675.04;10971.39;-7.68;27936;30452.45
27608.0;31147068162-1;drtA15;842301441_0;380730.34;3951263.76;85568113_2;388622.92;3951808.3;191.0;28457.0;658.0;9628.64;9628.64;-6.74;28508;30687.9
28041.0;31144022501-1;drtA27;95511083_0;380637.61;3951228.9;1073412897_0;384938.23;3950743.24;212.0;28637.0;384.0;4939.09;4884.76;-3.42;28941;30367.64
28524.0;31131018083-1;drtA22;231288102_4;383464.97;3948600.12;115447186_1;380334.17;3949396.55;189.0;29188.0;475.0;4970.64;4970.64;-3.48;29424;31050.83
28830.0;32023006463-1;drtA40;102267309_0;391093.05;3954164.25;41857201_1;383358.2;3947516.69;209.0;29870.0;831.0;13890.25;13890.25;-9.72;29730;32395.33
29365.0;61368051141-1;drtA37;221298917_2;372638.55;3942183.06;965094126_0;373804.76;3941965.81;787.0;30377.0;225.0;1437.73;1437.73;-1.01;30265;31230.46
29708.0;31143045853-1;drtA18;201705623_0_r;380528.87;3950438.07;58206779_0;379592.63;3952032.71;237.0;30270.0;325.0;2750.03;2750.03;-1.93;30608;31829.99
30036.0;31124036413-1;drtA12;129318023_1;377107.99;3943444.23;116432444_3;377608;3945381.89;326.0;30695.0;333.0;2849.44;2815.99;-1.97;30936;32206.74
30039.0;31046026513-1;drtA30;39393274_0;381328.18;3950140.02;696285659_0;388611.18;3949399.54;189.0;30857.0;629.0;9201.25;9200.91;-6.44;30939;33048.21
30914.0;31127123171-1;drtA19;107048248_0_r;377884.06;3947051.41;31665725_3;376171.03;3945843.21;196.0;31520.0;410.0;2792.71;2792.71;-1.95;31814;33275.99
31525.0;31035010182-1;drtA38;160704718_0;385839.1;3945417.67;215958086_0;382212.55;3946576.87;373.0;32355.0;457.0;5099.35;5099.35;-3.57;32425;33975.47
32110.0;31147067951-1;drtA14;57587925_10;380795.06;3951353.62;39500958_0;384649.92;3950155.19;239.0;33002.0;653.0;5670.72;5159.05;-3.61;33010;34360.96
32427.0;31046050761-1;drtA14;571867830_0;381378.41;3951046.65;39445396_11;383645.07;3950103.39;177.0;32842.0;238.0;3101.07;3101.07;-2.17;33327;34336.8
33036.0;31157267771-2;drtA0;46729536_0;378167.15;3950701.12;299376313_6;382981.86;3949355.69;295.0;33865.0;534.0;6804.73;6804.73;-4.76;33936;35859.96
34018.0;91532019641-2;drtA36;286703470_0;388328.01;3949449.87;968666308_0;385689.91;3943458.33;112.0;34565.0;435.0;7048.43;7048.43;-4.93;34918;36447.48
34231.0;31124016591-1;drtA19;174130478_0_r;376923.12;3946191.19;257239021_1;389951.46;3944137.65;202.0;35821.0;1388.0;20851.91;20818.46;-14.57;35131;39335.04
