runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;25;269.44;684;650.7;327;262;96;100;416.44;5255.41;4967.34;685.88;3.48;0;0
NA;2;52;239.71;684;547.65;308.75;202.5;98.08;100;397.37;4771.73;4493.67;637.08;3.15;0;0
NA;3;68;243.32;626;523.65;309;234.5;98.53;100;391.19;4594.89;4374.91;634.51;3.06;0;0
NA;4;71;256.66;833;549.8;311;224;98.59;100;456.82;5347.58;4956.83;713.48;3.47;0;0
NA;5;93;261.14;961;555.4;317.5;237;98.92;98.92;440.08;5271.4;5088.61;701.22;3.56;0;0
NA;6;97;247.74;840;522.3;307;207;97.94;100;433.72;5212.46;5037.5;681.46;3.53;0;0
NA;7;99;256.21;961;558;330;221;96.97;98.99;485.42;5725.92;5231;741.64;3.66;0;0
NA;8;113;277.44;1060;657.5;340.5;232;93.81;98.23;533.29;6062.47;5376.93;810.73;3.76;1;0.01
NA;9;113;267.57;808;667.9;318;230;93.81;100;535.9;6287.33;5549.94;803.47;3.88;1;0.01
NA;10;112;277.92;888;632.05;354.25;242.5;93.75;100;540.37;6478.29;5564.8;818.29;3.9;3;0.03
NA;11;102;254.35;889;630.1;317;214.5;94.12;100;520.26;6248.47;5466.66;774.62;3.83;3;0.03
NA;12;105;266.93;829;645.1;316;237;94.29;100;532.13;6064.82;5189.09;799.07;3.63;3;0.03
NA;13;111;274.71;913;739.8;325;228;93.69;99.1;498.68;5812.44;5171.09;773.39;3.62;1;0.01
NA;14;111;271.13;913;696;310;227;94.59;99.1;530.79;6272.12;5336.36;801.92;3.74;1;0.01
NA;15;112;268.89;913;599.65;331;235;95.54;99.11;525.64;5982.73;5173.85;794.54;3.62;2;0.02
NA;16;114;287.04;717;612.5;375;247.5;94.74;100;527.89;6035.93;5478.93;814.93;3.84;2;0.02
NA;17;123;269.03;878;623.4;318;239;95.12;100;496.14;5708.85;5167.83;765.17;3.62;1;0.01
NA;18;109;271.95;922;599;316.5;232;95.41;99.08;486.83;5663.48;5309.45;758.79;3.72;1;0.01
NA;19;116;280.65;922;715.7;316.5;226;92.24;99.14;513.29;5937.87;5427.59;793.94;3.8;1;0.01
NA;20;117;264.02;919;654;310.5;211;94.02;99.15;547.83;6164.68;5727.96;811.85;4.01;1;0.01
