runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;1;576;576;576;576;576;100;100;961;9065.31;9065.31;1537;6.35;0;0
NA;2;3;561;711;711;711;641;33.33;100;955.67;9265.09;9265.09;1516.67;6.49;0;0
NA;3;4;501;882;882;821.75;486;50;100;769.75;7296.23;7296.23;1270.75;5.11;0;0
NA;4;5;500.8;882;882;731.5;511;80;100;616.4;5659.94;5659.94;1117.2;3.96;0;0
NA;5;3;247;348;348;348;211;100;100;387;3139.48;3139.48;634;2.2;1;0.25
NA;6;5;474.4;1008;1008;783;348;80;80;828.2;7005.48;6105.78;1302.6;4.27;1;0.17
NA;7;3;638;741;741;741;620;33.33;100;883.67;8370.13;8278.46;1521.67;5.79;4;0.57
NA;8;5;610.6;885;885;813;620;40;100;681.2;6109.35;6045.76;1291.8;4.23;2;0.29
NA;9;5;619.4;885;885;835;620;40;100;679;6109.35;6045.76;1298.4;4.23;2;0.29
NA;10;7;583.57;818;818;727;620;42.86;100;894.71;8317.04;8267.6;1478.29;5.79;1;0.12
NA;11;8;592;743;743;726.75;673;37.5;100;830.25;7495.5;7446.87;1422.25;5.21;1;0.11
NA;12;7;627.14;748;748;727;587;57.14;100;548.71;4383.17;4333.73;1175.86;3.03;4;0.36
NA;13;7;633.57;905;905;677;612;42.86;85.71;490;3944.53;3887.16;1123.57;2.72;0;0
NA;14;7;642.86;907;907;677;616;28.57;85.71;490.86;3917.29;3859.92;1133.71;2.7;0;0
NA;15;5;641.8;907;907;786.5;616;20;80;459.4;3817.06;3762.06;1101.2;2.63;0;0
NA;16;7;563.29;907;907;666;524;57.14;85.71;409;3315.44;3276.15;972.29;2.29;0;0
NA;17;9;567.89;908;908;687;524;55.56;88.89;421.56;3205.3;3174.74;989.44;2.22;0;0
NA;18;10;566.7;908;908;675.5;533.5;60;90;489.8;4101.55;4074.05;1056.5;2.85;3;0.23
NA;19;9;592.22;908;908;707.5;657;44.44;88.89;486;3843.09;3812.53;1078.22;2.67;3;0.25
NA;20;9;669.44;905;905;807.5;630;33.33;77.78;435.78;3479.28;3479.28;1105.22;2.44;3;0.25
