runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;1;194;194;194;194;194;100;100;486;4832.47;4832.47;680;3.38;0;0
NA;2;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;3;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;4;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;5;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;6;3;655;734;734;734;718;33.33;100;534.67;6092.54;6092.54;1189.67;4.26;0;0
NA;7;4;396.25;578;578;576.25;399;100;100;622.75;5991.11;5991.11;1019;4.19;0;0
NA;8;6;417;578;578;572.75;458.5;100;100;610.33;5995.18;5995.18;1027.33;4.2;0;0
NA;9;6;417;578;578;572.75;458.5;100;100;610.33;5995.18;5995.18;1027.33;4.2;0;0
NA;10;8;464.5;762;762;549.75;474;87.5;100;774;6737.2;5647.46;1238.5;3.95;0;0
NA;11;6;544.67;734;734;701.75;565;66.67;100;704.17;6410.3;6410.3;1248.83;4.49;2;0.25
NA;12;4;593.75;864;864;787.75;522.5;75;100;747.5;6346;6346;1341.25;4.44;4;0.5
NA;13;5;626.6;891;891;771;571;60;100;393.8;3997.39;3997.39;1020.4;2.8;0;0
NA;14;5;536.4;623;623;597;534;80;100;445.2;4933.95;4933.95;981.6;3.45;0;0
NA;15;5;452.2;623;623;598;468;80;100;485.6;5051.2;5051.2;937.8;3.54;1;0.17
NA;16;7;469.71;723;723;623;468;71.43;100;503.14;4849.61;4849.61;972.86;3.39;0;0
NA;17;7;448.14;853;853;486;402;85.71;100;393.71;3975.03;3975.03;841.86;2.78;0;0
NA;18;5;464.8;535;535;525.5;468;100;100;386.6;4547.48;4547.48;851.4;3.18;0;0
NA;19;2;449;570;570;570;449;100;100;323;3659.71;3659.71;772;2.56;0;0
NA;20;2;661.5;765;765;765;661.5;50;100;574;6138.66;6138.66;1235.5;4.3;0;0
