departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
25216.0;42128036364-1;drtC3;41946947_0;348387.16;3923135.07;27768307_0;359980.06;3930446.9;877.0;27789.0;1696.0;18660.17;18660.17;-13.06;26116;31301.32
25217.0;42155013651-1;drtC0;315080878_0_r;357601.81;3926686.3;37037522_0;354980.83;3922017.25;500.0;26643.0;926.0;6756.8;6756.8;-4.73;26117;29073.82
25534.0;91532019121-1;drtC6;313953430_0_r;356300.64;3933830.09;265021667_0_r;352711.18;3936172.93;571.0;26798.0;693.0;5413.45;5413.45;-3.79;26434;28796.09
26430.0;32097078992-1;drtC2;131174239_0;360723.56;3934476.95;68277371_7;360955.45;3933288.18;421.0;27125.0;274.0;1764.21;1764.21;-1.23;27330;28428.06
28837.0;32093030882-1;drtC2;91750929_3;361996.21;3934069.12;144341356_0_r;360892.34;3934336.28;358.0;29411.0;216.0;1423.88;1423.88;-1;29737;30687.22
30615.0;42163006644-1;drtC3;205939084_1;356129.93;3930308.91;194273756_1;357576.41;3928214.95;855.0;31961.0;491.0;3369.23;3369.23;-2.36;31515;33261.92
30723.0;91533015011-1;drtC6;166961991_3;355711.4;3931779.08;203134971_0;365024.34;3937489.24;803.0;33645.0;2119.0;14462.08;14462.08;-10.12;31623;38070.8
36029.0;42033030242-1;drtC4;202514981_0_r;347731.77;3913678.61;1103535226_0;343329;3914445.22;597.0;37596.0;970.0;5806.31;5799.15;-4.06;36929;39656.26
36042.0;42125012242-1;drtC1;194915053_3;350668.88;3926800.07;369344537_0_r;351504.05;3923112.18;359.0;36893.0;492.0;4703.67;4703.67;-3.29;36942;38681.91
37642.0;42124016552-1;drtC1;41907902_7;347676.99;3922550.75;655184158_1;346673.57;3923650.77;612.0;38860.0;606.0;1888.6;1888.6;-1.32;38542;39689.24
39625.0;91533018741-2;drtC2;108280260_0_r;356671.11;3935637.43;1175349480_0;356870.85;3935055.36;781.0;40503.0;97.0;730.59;730.59;-0.51;40525;41114.68
43255.0;42138038492-1;drtC3;249164704_0_r;358036.86;3929401.73;143948902_5;359696.63;3931906.81;325.0;44306.0;726.0;4252.45;4252.45;-2.98;44155;46364.6
48012.0;91536012501-3;drtC3;1195117468_0;356400.94;3931629.59;29422266_1;357155.09;3931221.54;683.0;48957.0;262.0;1094.28;1094.28;-0.77;48912;49754.61
51638.0;32097083975-2;drtC2;86322878_0;357258.43;3936655.61;315840173_0_r;357352.02;3936194.69;362.0;52134.0;134.0;774.75;774.75;-0.54;52538;53226.44
52231.0;91522009192-3;drtC2;86917349_1;356749.62;3935826.4;251715348_0_r;354641.52;3937442.39;209.0;53061.0;621.0;4560.33;4560.33;-3.19;53131;55052.11
53451.0;42154009863-2;drtC0;29142155_1;355098.5;3923038.78;313031777_0;354970.9;3922555.95;244.0;53804.0;109.0;695.35;695.35;-0.49;54351;54967.51
55828.0;42124018572-2;drtC5;663070171_0_r;351909.47;3923237.56;41946733_1;346267.5;3923413.94;624.0;57337.0;885.0;8116.68;8116.68;-5.68;56728;59684
55830.0;32094027913-2;drtC2;25724143_2;358433.4;3935178.56;108122439_2;358262.99;3935190.22;741.0;56615.0;44.0;261.03;261.03;-0.18;56730;57158.73
55839.0;32093056761-6;drtC3;35904230_0;358896.04;3934418.74;443163560_1;358268.25;3939094.9;841.0;57587.0;907.0;6397.45;6397.45;-4.48;56739;59707.54
56449.0;42155016173-2;drtC0;694421367_0;354705.88;3924315.45;673537996_0;355380.03;3924540.42;419.0;57084.0;216.0;1243.78;1243.78;-0.87;57349;58269.22
57323.0;42124029532-4;drtC0;312407598_14;351348.21;3924847.12;614029119_0;349434.61;3925004.93;913.0;58715.0;479.0;3490.35;3490.35;-2.44;58223;59721.32
57919.0;42124016292-2;drtC1;1102387879_0;348754.61;3923996.08;204194727_0;346733.03;3922556.96;559.0;58990.0;512.0;3801.12;3801.12;-2.66;58819;60603.31
59471.0;42155011012-3;drtC0;384498885_0;353752.64;3924810.04;1108918838_0;354018.59;3925247.65;739.0;60367.0;157.0;824.76;824.76;-0.58;60371;61157.43
60036.0;42154004082-6;drtC1;34916619_0;351311.83;3923229.25;165141684_0;355079.6;3925333.01;696.0;61311.0;579.0;7818.23;7818.23;-5.47;60936;62953.79
60330.0;42155006092-5;drtC0;44419397_1;354845.26;3925687.85;29142150_3;354769.56;3927770.23;453.0;61142.0;359.0;2512.09;2512.09;-1.76;61230;62594.42
63633.0;32097076502-4;drtC2;143581824_0_r;360825.42;3932415.91;143577431_0;361705.58;3932665.43;740.0;64536.0;163.0;1115.19;1115.19;-0.78;64533;65301.54
64834.0;91532019441-2;drtC2;122889180_1;357387.56;3932752.26;122889180_0;357365.49;3932732.82;1182.0;66032.0;16.0;89.01;89.01;-0.06;65734;66081.07
65447.0;91533021422-3;drtC3;192210042_3;356472.88;3935561.86;1175349454_0_r;356114.61;3935625.02;854.0;66763.0;462.0;703.83;703.83;-0.49;66347;67022.01
66610.0;32093013201-2;drtC5;1069570414_1;347078.26;3921675.51;144341446_0;360086.34;3934824.01;469.0;69586.0;2507.0;27715.09;27715.09;-19.4;67510;74795.25
69310.0;32094045932-3;drtC5;36986165_0;359005.19;3934638.97;449386750_0;360985.96;3935614.38;627.0;70340.0;403.0;2700.53;2700.53;-1.89;70210;71665.15
70400.0;42154004121-2;drtC0;31984070_1;354885.52;3927460.75;1188377601_0;355281.3;3925786.09;142.0;70850.0;308.0;2170.77;2170.77;-1.52;71300;72499.02
72948.0;51092004662-2;drtC5;28832293_2;359122.54;3934486.9;35904230_0;358896.04;3934418.74;463.0;73494.0;83.0;499.82;499.82;-0.35;73848;74393.61
73835.0;91535012571-3;drtC2;76899939_0;357064.27;3931318.59;32490898_0;357397.71;3930992.14;351.0;74293.0;107.0;717.47;717.47;-0.5;74735;75340.47
85827.0;32094004051-2;drtC3;466005669_0;358311.89;3933182.2;37232258_0_r;360661.16;3936222.79;405.0;86973.0;741.0;4850.46;4850.46;-3.4;86727;89164.13
