vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB2;0;0;0;0
drtB15;27452.1;18762.39;8689.72;18762.39
drtB3;3236.75;2027.16;1209.59;2027.16
drtB16;27375.34;24827.78;2547.57;24827.78
drtB0;0;0;0;0
drtB1;5237.31;4679.3;558.01;4679.3
drtB8;0;0;0;0
drtB9;0;0;0;0
drtB6;5537.03;2782.04;2754.98;2782.04
drtB7;58011.46;19530.81;38480.65;19530.81
drtB4;2390.13;1685.79;704.34;1685.79
drtB5;3435.07;2442.41;992.66;2442.41
drtB10;24853.7;19179.51;5674.19;19179.51
drtB11;3248.06;1367.24;1880.83;1367.24
drtB12;22273.96;20758.41;1515.55;20758.41
drtB13;39272.34;33882.73;5389.61;33882.73
drtB14;6012.92;3543.9;2469.02;3543.9
