vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;21254.09;18792.77;2461.32;21677.62
drtA27;6291.86;4939.09;1352.77;4939.09
drtA2;4662.13;2481.54;2180.59;2481.54
drtA28;32384.26;26536.24;5848.02;39758.32
drtA29;8729.12;7435.85;1293.27;7435.85
drtA0;50768.75;41690.81;9077.94;57586.04
drtA9;16983.81;10255.6;6728.21;10255.6
drtA7;56213.73;46506.78;9706.95;55401.83
drtA8;4426.18;3598.37;827.82;3598.37
drtA5;7358.27;4396.12;2962.15;4396.12
drtA6;9110.74;6749.55;2361.19;6749.55
drtA3;6316.44;3202.22;3114.21;3202.22
drtA4;17707.58;15395.59;2311.99;20589.86
drtA30;30326.76;25068.33;5258.42;25068.33
drtA31;5377.11;5187.44;189.67;5187.44
drtA10;37653.16;31522.47;6130.7;31522.47
drtA32;9197.6;6804.73;2392.88;6804.73
drtA11;20690;16779.28;3910.72;16779.28
drtA33;1425.37;826.01;599.36;826.01
drtA12;17326.74;10216.47;7110.27;10216.47
drtA34;0;0;0;0
drtA13;9708.79;7684.36;2024.43;7684.36
drtA35;23170.02;16157.52;7012.51;16157.52
drtA14;27217.31;22038.5;5178.8;25139.57
drtA36;50162.17;45946.38;4215.79;52509.42
drtA15;11393.21;9628.64;1764.57;9628.64
drtA37;37749.14;17852.98;19896.16;17852.98
drtA16;0;0;0;0
drtA38;26154.58;20505.92;5648.66;20505.92
drtA17;14397.42;12954.6;1442.82;12954.6
drtA39;0;0;0;0
drtA18;4662.7;2750.03;1912.67;2750.03
drtA19;25625.6;23708.9;1916.7;23708.9
drtA40;45401.34;41735.32;3666.02;41735.32
drtA41;0;0;0;0
drtA20;3627.45;1866.65;1760.8;1866.65
drtA42;6543.93;3481.83;3062.1;3481.83
drtA21;0;0;0;0
drtA22;35885.31;23009.9;12875.41;23009.9
drtA23;0;0;0;0
drtA24;0;0;0;0
drtA25;20933.14;13269.68;7663.45;13269.68
