runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;151;270.42;852;632.6;330;229;94.7;100;461.46;5232.93;4651.06;731.88;3.26;1;0.01
NA;2;266;318.03;934;711.6;380.5;275;89.1;99.62;531.91;5770.58;4476.37;849.93;3.13;3;0.01
NA;3;356;319.91;993;726.4;384.5;270;91.29;99.44;514.15;5318.01;4316.65;834.06;3.02;4;0.01
NA;4;437;353.1;963;827.4;468;291;85.13;98.63;584.17;5892.28;4240.94;937.27;2.97;3;0.01
NA;5;506;367.66;1235;819.5;478.25;304;84.19;98.42;639.7;6175.01;4452.19;1007.36;3.12;4;0.01
NA;6;553;399.03;1235;864;531.5;344;80.65;97.47;642.88;6286.18;4377.08;1041.91;3.06;3;0.01
NA;7;585;385.14;1264;856.9;498.5;317;80.68;97.78;667.62;6495.22;4393.18;1052.75;3.08;3;0.01
NA;8;631;423.99;1318;867.4;574;367;76.39;96.83;718.37;6831.97;4519.65;1142.36;3.16;1;0
NA;9;682;426.91;1087;858.7;597.5;371;75.22;97.65;751.67;7035.73;4397.8;1178.58;3.08;3;0
NA;10;707;428.68;1308;886;590;374;75.53;95.9;727.86;6955.81;4420.52;1156.54;3.09;5;0.01
NA;11;743;409.88;1086;877;560;353;78.47;96.37;720.79;6772.28;4431.43;1130.67;3.1;6;0.01
NA;12;735;421.04;1029;876.6;585;351;75.65;97.01;718.56;6852.83;4377.89;1139.6;3.06;3;0
NA;13;736;405.88;1039;874.15;555.25;333;77.58;96.88;701.33;6791.97;4385.1;1107.21;3.07;3;0
NA;14;744;422.69;1094;882;621;351;73.39;96.91;725.78;6907.84;4371.01;1148.47;3.06;1;0
NA;15;739;418.72;1201;877;606;348;74.15;96.48;682.99;6515.28;4379.28;1101.71;3.07;3;0
NA;16;788;411.13;1371;882.55;563.5;348;77.16;95.81;722.34;6820.88;4379.64;1133.47;3.07;3;0
NA;17;777;402.73;1479;864.2;563.5;344;77.86;96.91;673.14;6444.65;4265.63;1075.87;2.99;4;0.01
NA;18;771;404.14;1363;872.4;575;330;76.26;97.02;689.07;6622.14;4199.9;1093.21;2.94;4;0.01
NA;19;766;396.54;1065;838.65;557.25;343.5;77.81;98.56;671.67;6425.35;4240.12;1068.21;2.97;5;0.01
NA;20;771;410.56;1112;877.4;562;343;77.82;96.63;694.8;6615.63;4354.9;1105.36;3.05;4;0.01
