runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;57;544.26;889;870.2;707.5;555;59.65;100;391.33;2895.78;2499.78;935.6;1.75;6;0.1
NA;2;88;543.52;957;883.15;754.5;529;60.23;98.86;476.68;3334.53;2640.42;1020.2;1.85;9;0.09
NA;3;119;539.09;1034;874;711;524;61.34;97.48;459.92;3325.47;2733.74;999.02;1.91;21;0.15
NA;4;149;573.06;1088;879;735;601;49.66;95.97;524.32;3617.58;2509.99;1097.38;1.76;41;0.22
NA;5;167;536.81;1088;882.8;704;548;58.08;97.01;473.77;3264.09;2418.7;1010.58;1.69;36;0.18
NA;6;165;559.99;1060;875.8;742;572;53.33;96.97;506.05;3546.35;2403.57;1066.04;1.68;56;0.25
NA;7;178;578.9;1193;903.25;774;600.5;50;94.94;501.44;3445.76;2472.86;1080.34;1.73;50;0.22
NA;8;176;563.97;1114;943.65;770.75;589;51.7;94.32;543.92;3538.01;2539.75;1107.89;1.78;78;0.31
NA;9;195;598.7;1151;938;813;620;47.18;91.28;636.51;4205.25;2685.2;1235.21;1.88;65;0.25
NA;10;189;592.75;1246;949.5;791;599;50.26;91.01;648.95;4422.78;2668.64;1241.7;1.87;70;0.27
NA;11;183;617.59;1267;934;811;627;47.54;92.35;667.01;4538.25;2776.19;1284.6;1.94;69;0.27
NA;12;193;619.68;1116;963.4;798.5;639;44.56;87.56;651.87;4468.11;2806.23;1271.55;1.96;70;0.27
NA;13;206;605.78;1464;1057.1;797.5;597;50.49;87.38;665.69;4513.17;2776.85;1271.47;1.94;84;0.29
NA;14;222;603.32;1053;929.9;787.25;612.5;48.65;90.54;679.72;4720.45;2835.66;1283.04;1.98;80;0.26
NA;15;211;609.8;1381;967.2;778;643;46.45;91.94;697.88;4819.19;2773.82;1307.67;1.94;88;0.29
NA;16;203;594.58;1276;948.8;778;584;51.72;92.12;643.44;4244.4;2706.03;1238.02;1.89;80;0.28
NA;17;218;589.46;1120;929.1;789.5;617.5;49.54;93.12;661.52;4331.53;2595.79;1250.98;1.82;75;0.26
NA;18;201;587.55;1070;909.5;769.5;604;48.26;93.03;662.84;4382.47;2714.02;1250.39;1.9;79;0.28
NA;19;213;607.38;1147;960.9;782.5;640;44.13;89.67;625.18;4282.26;2774.81;1232.56;1.94;82;0.28
NA;20;225;597.37;1429;995;791;607;48.89;88.44;681.84;4443.67;2742.83;1279.21;1.92;85;0.27
