runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;13;480.31;806;806;576;515;84.62;100;401.31;3003.08;3002.53;881.62;2.1;2;0.13
NA;2;27;520.04;862;839.2;685;521;59.26;100;459.11;3466.84;3230.36;979.15;2.26;1;0.04
NA;3;28;525.96;1082;1034.75;680.25;559.5;64.29;92.86;527.18;3978.34;3613.62;1053.14;2.53;7;0.2
NA;4;34;476.62;977;854.75;667.75;471;67.65;97.06;464.91;3596.13;3094.9;941.53;2.17;13;0.28
NA;5;33;472.67;852;849.2;682;483;66.67;100;467.85;3458.41;2459.16;940.52;1.72;13;0.28
NA;6;38;534.18;987;877.75;737.25;523;60.53;97.37;607.58;4259.39;2665.63;1141.76;1.87;9;0.19
NA;7;43;519.3;853;843.8;687;562;53.49;100;569.84;4486.92;3007.62;1089.14;2.11;13;0.23
NA;8;47;561.04;1022;873.6;749;629;48.94;97.87;464.23;3713.43;2817.59;1025.28;1.97;8;0.15
NA;9;49;504.41;1202;982.5;684;471;65.31;93.88;471;3535.24;2570.86;975.41;1.8;9;0.16
NA;10;54;524.7;1035;996.5;672.5;492.5;61.11;94.44;428.07;3097.71;2373.44;952.78;1.66;8;0.13
NA;11;56;519.52;1035;874.35;702.25;487.5;64.29;96.43;390.61;2844.05;2431.57;910.12;1.7;6;0.1
NA;12;57;532.47;1235;909.2;705.5;538;61.4;94.74;485.25;3567.44;2490.86;1017.72;1.74;14;0.2
NA;13;55;560.93;1153;998.4;709;544;58.18;92.73;476.98;3508.53;2565.87;1037.91;1.8;8;0.13
NA;14;53;548;997;912.1;762;547;54.72;96.23;392.04;2707.46;2123.5;940.04;1.49;11;0.17
NA;15;51;532.69;1538;947;709;526;58.82;94.12;406.27;2963.97;2491.76;938.96;1.74;6;0.11
NA;16;39;529.38;1519;1019;671;511;66.67;94.87;397.62;2992.03;2692.01;927;1.88;21;0.35
NA;17;48;478.81;1299;951.6;655.75;463.5;70.83;93.75;472.29;3340.84;2871.93;951.1;2.01;16;0.25
NA;18;49;479.78;1300;984.5;646;427;73.47;89.8;457.47;3281.04;2828.95;937.24;1.98;17;0.26
NA;19;50;477.16;983;923;664;452.5;72;94;386.38;2556.8;2298.49;863.54;1.61;14;0.22
NA;20;46;506.2;1183;1047.35;696.25;452.5;65.22;89.13;413.89;2912.26;2703.28;920.09;1.89;12;0.21
