departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
22516.0;42063029892-1;drtE2;208938111_0;335396.02;3904066.92;208938450_2;333993.99;3904685.35;601.0;23415.0;298.0;2136;2136;-1.5;23416;24567.72
25219.0;43664000282-1;drtE3;319012827_0_r;327355.99;3910063.27;137841272_1;329407.54;3911720.39;522.0;25990.0;249.0;3335.9;3335.9;-2.34;26119;27158.01
26418.0;42068029513-1;drtE2;319420038_0;335078.12;3908147.73;154654700_5;334093.15;3907262.08;706.0;27458.0;334.0;1699.48;1699.48;-1.19;27318;28215.64
27610.0;42062006104-1;drtE2;208933614_0;335356.32;3907104.33;137988708_1;328069.43;3914082;388.0;30372.0;2374.0;22136.84;13257.69;-9.28;28510;31709.14
27776.0;43837001093-1;drtE1;131409984_0;330454.25;3894290.24;242462630_2;332496.42;3902490.6;585.0;29401.0;1040.0;9650.35;9650.35;-6.76;28676;32044.2
27913.0;42062005104-1;drtE2;215614885_0_r;330855;3904471.99;49577783_23;332230.57;3904870.89;1001.0;29178.0;264.0;1763.22;1763.22;-1.23;28813;29901.7
29128.0;42063032284-1;drtE1;242421296_1;332457.12;3903567.73;267953661_0;331254.49;3902559.87;925.0;31665.0;1612.0;8325.91;2531.63;-1.77;30028;31543.85
29421.0;42062025782-1;drtE1;226039583_1;332230.84;3901729.48;242462630_2;332496.42;3902490.6;1080.0;30660.0;159.0;995.09;995.09;-0.7;30321;31086.3
30025.0;42177006201-1;drtE3;136559216_0_r;328146.07;3911089.66;136559074_0;323719.37;3911489.94;266.0;30858.0;567.0;7121.72;7121.72;-4.99;30925;32886.12
30621.0;42062013442-1;drtE1;566461373_0;332245.66;3904058.04;702425027_0;332463.31;3910334.06;586.0;32945.0;1738.0;13717.64;8059.14;-5.64;31521;33842.59
32427.0;43624000382-1;drtE1;205299257_4;331601.91;3911321.59;319012822_0_r;330560.44;3909840.35;895.0;33587.0;265.0;2549.57;2549.57;-1.78;33327;34402.46
33318.0;42174004691-1;drtE1;704104279_1;329433.44;3909286.81;333876980_0;332272.42;3902940.96;576.0;35362.0;1468.0;13041.56;8451.18;-5.92;34218;36804.71
34218.0;42174002432-1;drtE1;319768382_0_r;330046.39;3906948.9;332627428_0;332576.51;3903363.76;178.0;35174.0;778.0;6494.69;5356.42;-3.75;35118;36815.01
34236.0;42062001224-1;drtE1;1160088566_0_r;332063.16;3903594.47;333936912_1;332483.12;3902762.95;766.0;35618.0;616.0;2607.4;1561.24;-1.09;35136;36156.36
35435.0;42063027052-1;drtE1;320039269_10_r;334278.98;3906071.31;259273714_12;334142.29;3905607.65;857.0;36385.0;93.0;620.31;620.31;-0.43;36335;36906.8
36019.0;43663001431-1;drtE2;318736759_2;330365.66;3910827.07;205339837_10;330538.42;3908961.91;801.0;37024.0;204.0;2711.01;2711.01;-1.9;36919;37816.42
36078.0;43664000201-1;drtE2;318706739_1;329012.87;3912127.62;197747118_12;331386.19;3908029.07;481.0;37280.0;721.0;6889.23;5427.87;-3.8;36978;38479.36
37843.0;42177005761-3;drtE1;259273714_12;334142.29;3905607.65;1038673614_2;335327.37;3905710.72;61.0;38107.0;203.0;1307.63;1307.63;-0.92;38743;39654.99
40297.0;43624001942-2;drtE1;208933254_1;334896.51;3906036.22;205296958_1;332189.32;3909729.18;166.0;40912.0;449.0;5975.82;5975.82;-4.18;41197;42827.75
43249.0;42063029892-2;drtE2;208938450_2;333993.99;3904685.35;208938111_0;335396.02;3904066.92;567.0;44090.0;274.0;1946.48;1946.48;-1.36;44149;45238.56
43517.0;42174002432-2;drtE1;332627428_0;332576.51;3903363.76;319768382_0_r;330046.39;3906948.9;758.0;44705.0;430.0;5264.99;5264.99;-3.69;44417;46031.94
45632.0;42062005101-4;drtE1;215421263_0_r;331121.05;3904503.74;215614885_0_r;330855;3904471.99;440.0;46116.0;44.0;291.62;291.62;-0.2;46532;46959.63
52279.0;43627002334-2;drtE1;411646128_0_r;333592.73;3909681.39;318736814_0_r;329319.65;3911948.09;814.0;53631.0;538.0;7521.63;7521.63;-5.27;53179;55090.41
53426.0;42063031815-2;drtE1;197891950_5;330954.61;3906678.32;319698684_1;331028.06;3906992.75;1082.0;54590.0;82.0;555.05;555.05;-0.39;54326;54858.13
53449.0;42062020764-2;drtE2;199306708_2;334607.7;3904564.49;199308319_2;334439.76;3904921.45;243.0;53768.0;76.0;565.15;565.15;-0.4;54349;54868.24
54077.0;61372004561-4;drtE2;226039515_0;328904.73;3905675.62;320272341_1;331827.64;3905310.8;908.0;55464.0;479.0;3441.02;3441.02;-2.41;54977;56697.95
57013.0;42062012181-5;drtE1;319830590_0;333576.14;3906905.18;319922953_0;333247.81;3906278.57;379.0;57548.0;156.0;1095.19;1095.19;-0.77;57913;58676.42
57630.0;43634000513-3;drtE1;318495210_2;330152.44;3913188.35;318403969_2;331893.98;3912269.91;843.0;58755.0;282.0;2673.89;2673.89;-1.87;58530;59648.56
57676.0;43667002184-2;drtE2;137841309_0;329868.68;3912051.14;318716041_1;329311.58;3911385.17;742.0;58548.0;130.0;1119.81;1119.81;-0.78;58576;59252.23
57695.0;42063032953-2;drtE3;136559134_0;327607.59;3911013.13;208953557_2;334774.06;3908121.78;693.0;61198.0;2810.0;25484.76;12580.25;-8.81;58595;61652.35
58281.0;42174001431-2;drtE3;371726076_8;326756.17;3910802.8;136559066_0;329934.15;3908766.97;414.0;59244.0;549.0;4883.57;4883.57;-3.42;59181;61089.29
59494.0;42063034902-4;drtE3;242421998_0;333129.55;3903368.4;320425669_0_r;333642.45;3903433.32;722.0;60318.0;102.0;739.68;739.68;-0.52;60394;60990.6
63024.0;42174003172-2;drtE2;318854633_1;328069.04;3910264.7;318854630_6;327928.62;3910044.57;318.0;63406.0;64.0;398.53;398.53;-0.28;63924;64409.38
68767.0;42063038061-2;drtE1;137841300_0_r;330502.77;3911248.27;1167236616_0;330904.69;3907575.65;318.0;69503.0;418.0;4385.38;4385.38;-3.07;69667;71194.47
70289.0;42063032401-2;drtE2;319125855_0;328205.15;3909030;705903119_0_r;332389.68;3904564.48;328.0;71199.0;582.0;6920.89;6920.89;-4.84;71189;73228.76
72101.0;42062017023-4;drtE3;1038673614_2;335327.37;3905710.72;319768324_0;332081.95;3906997.11;461.0;72993.0;431.0;4641.2;4641.2;-3.25;73001;74597.14
72936.0;42062005323-6;drtE2;226039415_0_r;330030.33;3904622.06;320593995_0;330399.86;3904660.19;672.0;73692.0;84.0;485.33;485.33;-0.34;73836;74385.65
