vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;30724.95;25360.3;5364.65;25360.3
drtA27;85497.23;75284.07;10213.16;118280.92
drtA2;205872.9;160893.52;44979.38;249736.61
drtA28;69488.75;65098.77;4389.98;137393.64
drtA29;117659.08;98165.65;19493.43;167001.75
drtA0;57045.59;30614.29;26431.3;32626.58
drtA9;136563.19;124005.68;12557.51;219933.21
drtA7;180229.26;150961.6;29267.66;262937.37
drtA8;142740.14;119364.12;23376.02;175694.89
drtA5;92895.29;71742.87;21152.42;105359.81
drtA6;75526.52;50050.76;25475.76;51804.1
drtA3;37079.36;19471.52;17607.84;19856.49
drtA4;284209.86;231744.89;52464.97;422712.72
drtA30;118571.37;94666.1;23905.27;137682.04
drtA31;138208.76;115945.8;22262.97;178476.62
drtA10;121727.58;93726.53;28001.05;160153.92
drtA32;142023.79;111281.45;30742.34;163822.85
drtA11;112907.33;88060.03;24847.3;130634.85
drtA33;115573.68;102117.51;13456.17;182560.69
drtA12;85045.31;72781.25;12264.06;118870.35
drtA34;80075.71;64009.75;16065.95;79272.53
drtA13;50829.59;35163.49;15666.1;39450.51
drtA35;67031.91;38457.56;28574.35;41463.78
drtA14;92220.55;72377.8;19842.75;81315.41
drtA36;102332.73;84105.05;18227.68;117018.85
drtA15;58469.77;46549.87;11919.9;78425.44
drtA37;122506.8;95826.97;26679.82;121105.51
drtA16;54592.86;27970.6;26622.26;27970.6
drtA38;148555.88;123459.49;25096.4;201848.66
drtA17;43479.48;34636.95;8842.53;46873.93
drtA39;132313.09;95299.37;37013.72;154420.28
drtA18;15029.46;11850.72;3178.74;14783.14
drtA19;85946.62;70613.25;15333.36;94095.36
drtA40;159138.23;141538.9;17599.32;198238.2
drtA41;86049.88;60059.43;25990.45;104849.15
drtA20;27457.6;25019.89;2437.71;34103.56
drtA42;156221.89;127421.49;28800.4;203164.83
drtA21;90721.92;56486.61;34235.31;56928.53
drtA22;90635.83;60508.52;30127.31;65772.86
drtA23;103507.29;89286.46;14220.83;122692.92
drtA24;37932.97;33352.45;4580.52;62449.48
drtA25;94703.2;65174.91;29528.29;93504.27
