vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB2;123752.69;66707.42;57045.26;80389.34
drtB15;123684.24;70152.39;53531.84;75640.94
drtB3;137377.33;75909.8;61467.53;94046.83
drtB16;177491.42;105368.06;72123.35;118529.68
drtB0;155737.71;86371.9;69365.81;103233.98
drtB1;63806.62;29709.91;34096.71;29709.91
drtB8;163575.15;99380.64;64194.51;117368.32
drtB9;72013.45;29675.75;42337.7;31169.28
drtB6;112506.9;56165.99;56340.91;72727.98
drtB7;151899.38;82384.41;69514.97;112183.89
drtB4;167136.88;93362.43;73774.45;110486.99
drtB5;52610.17;25603.09;27007.08;26727.94
drtB10;89445.54;32758.88;56686.66;32758.88
drtB11;121526.06;70141.62;51384.43;80634.1
drtB12;123296.21;59536.68;63759.53;66897.48
drtB13;153521.55;98571.26;54950.3;128765.28
drtB14;141938.1;78858;63080.1;79397.38
