runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;381;385.53;957;807;502.5;329;81.36;98.69;763.96;8489.01;6409.35;1149.49;4.49;5;0.01
NA;2;682;461.87;1238;872.85;668.5;411.5;68.48;97.36;983.72;10327.83;6393.86;1445.59;4.48;6;0.01
NA;3;951;496.34;1346;888.8;719;458;63.72;96;1034.12;10723.33;6474.06;1530.46;4.53;6;0.01
NA;4;1167;506.79;1250;898.6;727;478;62.72;95.2;1112.87;11192.32;6501.62;1619.66;4.55;19;0.02
NA;5;1352;550.46;1309;930.7;774.75;547.5;56.14;93.12;1181.12;11580.69;6584.04;1731.58;4.61;45;0.03
NA;6;1454;547.82;2021;931;769.25;543;56.88;92.37;1173.98;11669.61;6552.45;1721.8;4.59;37;0.02
NA;7;1537;565.82;1335;939.1;796.5;566;53.16;91.28;1206.78;11767.02;6568.85;1772.6;4.6;61;0.04
NA;8;1636;564.81;1487;952;800;556.5;53.79;91.32;1215.61;11824.1;6560.24;1780.42;4.59;62;0.04
NA;9;1705;578.24;1356;963.4;806.5;596;50.5;89.38;1215.9;11847.49;6546.48;1794.15;4.58;74;0.04
NA;10;1700;581.07;1669;963;808.75;588.5;51.29;90.59;1220.71;11888.55;6615.26;1801.78;4.63;96;0.05
NA;11;1730;590.56;1350;984.9;822;610.5;48.84;88.21;1245.58;12067.23;6640.66;1836.14;4.65;102;0.06
NA;12;1718;588.18;1499;957.05;822.25;613;48.54;89.99;1247.35;12346.88;6551.48;1835.53;4.59;139;0.07
NA;13;1778;595.97;1584;987;822.25;614.5;48.88;87.91;1257.77;12122.96;6539.69;1853.74;4.58;139;0.07
NA;14;1802;584.2;1431;967.85;812;607;49.06;89.57;1230.56;11885.96;6529.07;1814.77;4.57;123;0.06
NA;15;1811;591.91;1637;969;821;613;48.65;88.29;1228.67;11835.16;6496.29;1820.57;4.55;96;0.05
NA;16;1877;587.1;1429;969.1;818;612;48.91;88.28;1220.4;11811.41;6420.35;1807.5;4.49;91;0.05
NA;17;1813;583.09;1891;966.6;817;594;50.69;88.69;1192.47;11568.89;6379.99;1775.56;4.47;115;0.06
NA;18;1843;595.71;1501;980;826;617;47.97;87.14;1208.2;11535.64;6374.42;1803.91;4.46;70;0.04
NA;19;1807;586.61;1278;966;816;603;49.53;88.82;1212.07;11701.94;6395.26;1798.68;4.48;119;0.06
NA;20;1838;587.23;1512;950.15;808;614.5;48.15;90.42;1211.45;11539.5;6428.51;1798.68;4.5;98;0.05
