runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;76;552.64;891;860.1;675.75;576;57.89;100;870.58;7372.55;5853.66;1423.22;4.1;28;0.27
NA;2;146;534.1;1487;923.05;710;509;59.59;95.21;818.24;6482.48;4678.35;1352.34;3.27;62;0.3
NA;3;168;558.29;1281;886.95;740.5;539.5;57.14;96.43;925.07;6995.56;4396.82;1483.35;3.08;104;0.38
NA;4;229;627.68;1394;957.5;818;650;44.1;90.39;1043.35;7707.22;4530.87;1671.03;3.17;105;0.31
NA;5;248;600.41;1346;902.65;783;607;48.39;94.76;937.15;7252.91;4442.69;1537.56;3.11;131;0.35
NA;6;228;622.43;1471;975.1;805.75;617.5;46.49;90.35;1115.38;7943.06;4734.86;1737.81;3.31;189;0.45
NA;7;222;637.95;1360;1022.8;835.75;668;43.69;87.39;1123.17;7856.55;4528.86;1761.12;3.17;206;0.48
NA;8;242;617.1;1315;959.1;794.25;643;43.39;90.5;1059.72;7623.67;4358.68;1676.82;3.05;231;0.49
NA;9;237;632.72;1411;980.1;830;649;41.77;88.19;1194.51;8844.74;4873.4;1827.23;3.41;243;0.51
NA;10;230;640.8;1598;981.4;819;673;40.87;88.7;1187.94;8422.77;4724.49;1828.75;3.31;244;0.51
NA;11;222;629.94;1262;966.25;815.25;670.5;42.34;90.99;1138.66;8394.94;4797.21;1768.59;3.36;251;0.53
NA;12;235;613.04;1544;988.2;811;617;45.96;89.36;1158.94;8668.57;4828.25;1771.99;3.38;258;0.52
NA;13;231;622.43;1634;986.6;816;651;42.42;90.04;1300.32;9266.85;5106.08;1922.75;3.57;286;0.55
NA;14;269;633.76;1633;1013;813.5;644;44.24;86.62;1031.43;7430.57;4246.13;1665.19;2.97;270;0.5
NA;15;259;619.75;1260;982;823;647;43.63;89.19;1036.08;7533.92;4253.35;1655.83;2.98;257;0.5
NA;16;236;627.73;1309;1009.7;820;640.5;43.64;85.59;1327.94;9631.6;5018.82;1955.67;3.51;281;0.54
NA;17;237;662.04;1171;990.2;848;695;40.51;86.92;1123.53;8176.68;4334.88;1785.57;3.03;296;0.56
NA;18;257;639.74;1272;975.6;824.5;638;43.97;87.94;1229.23;9026.43;4995.99;1868.96;3.5;254;0.5
NA;19;272;629.53;1340;1030.05;809;648;43.01;90.44;1212.09;8694.87;4827.03;1841.62;3.38;268;0.5
NA;20;257;637.47;1217;964.8;814;650;41.25;87.55;1272.41;9137.09;4969.3;1909.88;3.48;283;0.52
