runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;22;515.23;878;863.75;685;503.5;72.73;100;466.55;4698.96;4694.24;981.77;3.29;0;0
NA;2;31;523.13;978;901.2;685;498;61.29;96.77;673.19;6822.8;4887.87;1196.32;3.42;10;0.24
NA;3;40;567.33;959;951.5;689.75;555;65;92.5;737.1;7068.14;5021.84;1304.42;3.52;6;0.13
NA;4;40;531.08;1388;1272.9;614.5;498;75;92.5;624.02;5476.65;4608.35;1155.1;3.23;8;0.17
NA;5;48;535.06;1283;963;741;467.5;60.42;93.75;640.06;5448.7;4747.04;1175.12;3.32;11;0.19
NA;6;61;616.33;1280;1007;759.5;641;44.26;91.8;757.2;6387.7;4579.01;1373.52;3.21;11;0.15
NA;7;68;608.84;1155;1037.6;799.5;625.5;47.06;89.71;819.12;6891.78;4462.34;1427.96;3.12;14;0.17
NA;8;74;526.41;1036;920.75;680.25;500;64.86;94.59;634.95;5430.67;4055.97;1161.35;2.84;7;0.09
NA;9;71;583.38;1181;1003.6;746;597;50.7;94.37;655.45;5690.22;4306.85;1238.83;3.01;13;0.15
NA;10;75;576.61;1330;912;742;603;49.33;94.67;797.71;7454.79;4756.93;1374.32;3.33;8;0.1
NA;11;69;535.86;988;912;744.5;551;53.62;95.65;881.04;7913.55;4792.37;1416.9;3.35;22;0.24
NA;12;88;571.8;1195;963.55;801.75;571;54.55;92.05;842.61;7129.43;4407.54;1414.41;3.09;23;0.21
NA;13;88;606.45;1338;1040.7;798.75;600.5;50;87.5;847.35;7328.83;4302.12;1453.81;3.01;28;0.24
NA;14;98;569.28;1138;998.95;773.5;572;53.06;87.76;912.44;8008.71;4745.68;1481.71;3.32;16;0.14
NA;15;98;577.52;1138;967.55;790.5;582;54.08;89.8;844.37;7398.96;4894.79;1421.89;3.43;14;0.12
NA;16;91;559.66;1162;993;761;530;57.14;91.21;890.53;7410;4765.78;1450.19;3.34;16;0.15
NA;17;94;565.77;1140;1049;712;563;57.45;90.43;901.85;7336.02;4733.08;1467.62;3.31;20;0.18
NA;18;85;546.11;1031;902.2;699;531;62.35;95.29;1004.56;8715.75;5278.94;1550.67;3.7;22;0.21
NA;19;79;579.3;1125;972;732;578;53.16;91.14;820.73;7103.7;4838.77;1400.04;3.39;17;0.18
NA;20;75;588.8;1131;1047.2;784;559;53.33;88;861.47;7446.82;4874.12;1450.27;3.41;16;0.18
