departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
28.0;31046018121-3;drtA15;105306203_4;380940.79;3952839.08;39445426_0;383199.87;3950428.9;369.0;992.0;595.0;4973.68;4851.31;-3.4;928;2414.12
30.0;31157237041-2;drtA15;306095928_0;381539.94;3950997.67;107746641_0_r;378832.3;3948876.67;808.0;1490.0;652.0;7939.77;5176.07;-3.62;930;2425.17
41.0;31157122771-2;drtA35;916880548_0_r;385389.2;3954227.12;100633588_1;375925.46;3948612.5;620.0;2082.0;1421.0;18981.63;17164;-12.01;941;4479.02
620.0;31124112811-4;drtA35;653751890_0_r;386379.29;3951783.22;72453619_0;376444.98;3943671.22;406.0;3109.0;2083.0;23679.8;16080.58;-11.26;1520;4815.26
926.0;31124037151-2;drtA12;182823065_0;382638.94;3946930.55;154464490_0_r;379565.65;3945041.67;174.0;1361.0;261.0;3969.5;3969.5;-2.78;1826;2890.88
1258.0;31157183131-2;drtA35;196467159_4;382581.54;3950984.12;185100272_0_r;374354.33;3948243.92;206.0;2410.0;946.0;11485.9;10053.55;-7.04;2158;4478.67
1807.0;31047053301-3;drtA15;32122784_3;377776.75;3948018.86;157415978_0_r;384451.78;3950293.08;245.0;2585.0;533.0;7857.06;7857.06;-5.5;2707;4592.68
1825.0;31124031991-2;drtA22;1108117724_0;387110.26;3946619.6;58799366_12;376440.11;3945362.55;270.0;3731.0;1636.0;14016.1;13538.32;-9.48;2725;6094.19
1826.0;31157185231-3;drtA22;23646664_0;382611.57;3946807.88;206645191_0;374089.71;3949251.18;740.0;4394.0;1828.0;14777.42;12356.03;-8.65;2726;5356.5
1840.0;31072021661-2;drtA1;144846260_1;381593.01;3945744.56;1010971915_0;393121.61;3953804.06;271.0;3170.0;1059.0;18525.26;18525.26;-12.97;2740;6121.2
2438.0;31124080471-2;drtA22;32621922_1;381919.8;3946959.49;154345039_0;379379.66;3945883.47;313.0;3097.0;346.0;3969.96;3969.96;-2.78;3338;4645.02
2442.0;31157208721-2;drtA30;39433614_2;381788.82;3950810.54;261623835_0;373526.27;3952935.1;109.0;3593.0;1042.0;16339.76;16339.76;-11.44;3342;6719.16
3032.0;31124023311-6;drtA37;41857233_0;382610.89;3947593.31;73172411_0;378114.43;3944119.95;242.0;3914.0;640.0;7772.61;6601.88;-4.62;3932;5643.95
3338.0;31123028081-3;drtA37;330038902_0;383114.78;3946875.6;291824531_0;377442.37;3944416.43;151.0;4196.0;707.0;7820.89;7485.43;-5.24;4238;6098.66
3696.0;31123043081-2;drtA42;229361291_0;381111.87;3949361.48;659079504_0_r;378096.89;3948229.48;187.0;4075.0;192.0;3252.73;3252.73;-2.28;4596;5462.02
4243.0;31124072731-4;drtA36;23044299_1;385828.13;3949275.63;67138660_2;375173.77;3946082.53;268.0;7089.0;2578.0;30308.22;15458.97;-10.82;5143;8379.52
4618.0;31123037701-7;drtA36;286703470_0;388328.01;3949449.87;116429945_12;379634.58;3944818.55;338.0;6039.0;1083.0;14327.4;11374.51;-7.96;5518;7820.08
5132.0;31124015231-4;drtA36;583378753_0_r;386741.43;3948400.09;115333958_1;374251.74;3944547.06;234.0;6703.0;1337.0;16713.05;15756.54;-11.03;6032;9680.98
6810.0;31123014444-2;drtA10;283689352_10_r;377950.17;3941985.9;115256957_0_r;374445.32;3944966.1;382.0;7777.0;585.0;6846.48;6846.48;-4.79;7710;9697.39
7264.0;31132029211-2;drtA38;203035387_0;388374.38;3949967.18;115447306_0_r;380084.1;3948209.73;425.0;8430.0;741.0;11024.31;11024.31;-7.72;8164;10545.74
7326.0;31143034251-2;drtA33;1137331204_0;384832.49;3942617.22;785791423_0_r;379222.58;3949546.6;892.0;8967.0;749.0;11789.3;11789.3;-8.25;8226;10699.85
8423.0;31143010411-2;drtA23;115447399_0;380532.66;3950154.64;105735641_2;379115.12;3953628.83;167.0;9167.0;577.0;4737.04;4737.04;-3.32;9323;11303.54
9838.0;31127119452-2;drtA21;286703470_0;388328.01;3949449.87;154488792_0_r;378231.58;3944222.8;405.0;11043.0;800.0;12723.47;12723.47;-8.91;10738;13387.81
