departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
325.0;31123060542-2;drtB14;1120315385_0;376659.64;3946131.67;1201855974_0_r;377768.87;3943235.48;384.0;1167.0;458.0;4341.53;4308.07;-3.02;1225;2806.71
1701.0;32083000661-2;drtB10;1064039460_0;379509.8;3947181.13;85780852_0_r;367455.28;3946624.41;312.0;3352.0;1339.0;15486.51;15486.51;-10.84;2601;6411.67
10820.0;61354045964-1;drtB15;147522267_0_r;368532.43;3941383.35;750630133_0;379144.32;3948073.93;443.0;12732.0;1469.0;23196.28;23196.28;-16.24;11720;16306.55
15021.0;31124034271-1;drtB6;45856275_0;375209.58;3945406.76;291876096_7;376386.89;3943648.64;366.0;15701.0;314.0;3278.28;3278.28;-2.29;15921;17131.83
18477.0;42163009501-1;drtB7;314955034_0_r;356806.04;3930768.82;205854837_0_r;356852.13;3930799.38;489.0;19005.0;39.0;237.79;237.79;-0.17;19377;19792.46
19833.0;31123046941-1;drtB5;32543981_0;377744.57;3946705.57;105267263_0_r;374826.7;3948209.83;194.0;20486.0;459.0;4276.07;4276.07;-2.99;20733;22330.8
21048.0;61362018171-1;drtB0;202561140_0_r;369008.76;3939646.02;455115348_0;373758.91;3944017.75;703.0;23333.0;1582.0;15636;12635.69;-8.84;21948;25013.23
21379.0;31157125231-1;drtB5;105277687_0_r;375832.08;3947884.73;163731355_13;378649.14;3946088.62;271.0;22379.0;729.0;3907.05;3907.05;-2.73;22279;24309.95
21608.0;61362012381-1;drtB0;968482760_0;369369.85;3940229.16;256546677_0;368587.11;3939582.23;351.0;22195.0;236.0;1552.97;1552.97;-1.09;22508;23504.04
21611.0;91532013911-1;drtB7;1195117468_1;356373.98;3931649.45;277510959_0;351080.01;3932752.56;246.0;22918.0;1061.0;7370.41;7370.41;-5.16;22511;25968.58
21615.0;32094013231-1;drtB13;144341363_1;360264.79;3934754.13;1181815449_0;361799.94;3930509.45;335.0;22668.0;718.0;6976.18;6976.18;-4.88;22515;24896.66
22824.0;32094014273-1;drtB13;1112106474_0_r;360179.48;3933965.03;41569510_0;349869.46;3942717.8;677.0;27569.0;4068.0;30029.56;16049.27;-11.23;23724;28097.48
23420.0;61362005861-1;drtB6;113282313_1;371786.18;3938862.81;263321646_0_r;369610.45;3942596.06;671.0;24966.0;875.0;5841.66;5841.66;-4.09;24320;27161.04
23424.0;61357058142-2;drtB9;32818749_1;367971.61;3942255.59;970493846_0_r;367493.51;3940673.44;477.0;24261.0;360.0;2373.34;2373.34;-1.66;24324;25695.18
