departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
22809.0;42033030781-1;drtD2;1071936925_0_r;343601.16;3914862.15;628558030_1;345636.04;3917578.78;866.0;24823.0;1148.0;8165.06;5521.14;-3.86;23709;26213.23
23408.0;42113014912-1;drtD2;195745625_0_r;342746.67;3915015.48;1158171282_1;320553.96;3916155.32;610.0;32763.0;8745.0;74521.57;30970.6;-21.68;24308;32344.33
23408.0;42113014911-1;drtD2;195745625_0_r;342746.67;3915015.48;1158171282_1;320553.96;3916155.32;610.0;32763.0;8745.0;74521.57;30970.6;-21.68;24308;32344.33
25215.0;42114014022-1;drtD2;159119592_1;341260.96;3915057.54;1071936950_0;342646.67;3915210.4;716.0;26200.0;269.0;1918.44;1918.44;-1.34;26115;27191.91
25242.0;42114016722-1;drtD0;204881848_0;336697.86;3916538.56;322473271_0_r;344835.77;3919547.58;425.0;29260.0;3593.0;26806.95;10356.81;-7.25;26142;29940.57
25532.0;42114016924-1;drtD0;212288509_0;337303.68;3915054.33;205031386_0;337396.04;3916119.24;531.0;27321.0;1258.0;8463.76;1422.79;-1;26432;27299.94
25808.0;42114019483-1;drtD0;317117535_0;334278.18;3917668.33;635505416_0_r;334713.26;3916239.84;901.0;27738.0;1029.0;7192.82;1782.21;-1.25;26708;27835.25
26117.0;42141001343-1;drtD1;204624964_0;347007.09;3916761.49;565146529_0;349535.34;3920478.64;737.0;27720.0;866.0;5738.15;5738.15;-4.02;27017;29472.62
26415.0;42118023522-1;drtD2;1036611852_0;340440.38;3916564.42;113005017_0_r;345493.28;3919143.93;675.0;29874.0;2784.0;19747.49;6484.27;-4.54;27315;29740.63
27012.0;42114006102-1;drtD2;205061674_0;334984.11;3916688.6;205010165_0;337485.23;3915941.35;949.0;28468.0;507.0;3256.26;3256.26;-2.28;27912;29272.12
27614.0;42141005701-1;drtD1;110008923_0_r;347029.23;3917787.84;626893500_1;347120.24;3919484.19;762.0;30259.0;1883.0;11185.95;2799.18;-1.96;28514;30155.19
27936.0;42114004704-1;drtD2;283050217_0_r;338969.3;3916166.59;80141690_1;339433.78;3916267.65;930.0;28967.0;101.0;646.63;646.63;-0.45;28836;29427.46
27951.0;42033002603-1;drtD1;204630326_0;346929.72;3915404.96;205176345_2;339984.27;3916465.73;800.0;31832.0;3081.0;19143.2;9457.38;-6.62;28851;32352.6
28816.0;42141003783-1;drtD1;166128807_0;348098.58;3919880.34;113004993_0_r;345412.62;3919002.4;717.0;31056.0;1523.0;5991.97;3335.9;-2.34;29716;31135.88
28819.0;42141006601-1;drtD0;32353619_3;344798.02;3918988.94;311744359_0_r;347544.96;3918865.87;268.0;30105.0;1018.0;5508.12;3404.07;-2.38;29719;31263.37
28833.0;42147015181-1;drtD0;526913893_0;345660.49;3918557.93;46888488_1;346937.5;3919056.61;882.0;29909.0;194.0;1618.66;1618.66;-1.13;29733;30634.09
30629.0;42142011555-1;drtD1;113924442_0_r;346038.43;3919219.66;113924437_0;346245.69;3919136.11;122.0;30835.0;84.0;637.36;637.36;-0.45;31529;32071.96
31520.0;42113009712-1;drtD1;283050201_0;338571.73;3916462.46;205033793_3;338566.78;3916065.64;661.0;32266.0;85.0;566.67;566.67;-0.4;32420;32965.81
32431.0;42118025042-1;drtD1;205032131_5;337612.27;3916141.99;597660464_3;336731.86;3917037.18;247.0;32937.0;259.0;1625.96;1625.96;-1.14;33331;34393.35
32508.0;42113011892-2;drtD0;113005012_0;346368.71;3918601.92;160438521_0;343407.06;3916959.18;396.0;35083.0;2179.0;18272.68;3909.38;-2.74;33408;35066.54
