departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
22215.0;42062017022-1;drtE3;319768324_0;332081.95;3906997.11;197887828_8;331990.27;3906187.77;518.0;22882.0;149.0;1191.19;1191.19;-0.83;23115;23845.11
22516.0;42063029892-1;drtE2;208938111_0;335396.02;3904066.92;208938450_2;333993.99;3904685.35;601.0;23415.0;298.0;2136;2136;-1.5;23416;24567.73
22851.0;42125021921-1;drtE3;318706741_0;329074.31;3911862.94;1030242017_0;330945.68;3912899.72;682.0;24361.0;828.0;9556.69;3024.59;-2.12;23751;24727.59
23430.0;42063038061-1;drtE2;1167236616_0;330904.69;3907575.65;137841300_0_r;330502.77;3911248.27;756.0;24636.0;450.0;4358.49;4358.49;-3.05;24330;25921.9
23475.0;43643000041-1;drtE3;137989327_0_r;327034.61;3913915.88;205304212_4;330672.25;3909973.62;458.0;24732.0;799.0;9478.07;7129.36;-4.99;24375;26191.86
25219.0;43664000282-1;drtE2;319012827_0_r;327355.99;3910063.27;137841272_1;329407.54;3911720.39;342.0;25810.0;249.0;3335.9;3335.9;-2.34;26119;27156.49
25285.0;42063032401-1;drtE3;705903119_0_r;332389.68;3904564.48;319125855_0;328205.15;3909030;1104.0;28337.0;1948.0;16323.32;6920.89;-4.84;26185;28335.02
26017.0;42062005746-1;drtE1;377171176_0_r;330426.23;3895826.23;136559134_0;327607.59;3911013.13;782.0;31937.0;5138.0;35872.56;18642.21;-13.05;26917;33159.3
26418.0;42068029513-1;drtE3;319420038_0;335078.12;3908147.73;154654700_5;334093.15;3907262.08;694.0;27458.0;346.0;1699.48;1699.48;-1.19;27318;28218.98
27007.0;42062013501-1;drtE1;368309221_0;332472.15;3903634.42;226038658_0;328700.27;3901534.9;939.0;29985.0;2039.0;11336.9;6346.83;-4.44;27907;30968.26
27610.0;42062006104-1;drtE2;208933614_0;335356.32;3907104.33;137988708_1;328069.43;3914082;772.0;29466.0;1084.0;13391.94;13257.69;-9.28;28510;31732.08
27913.0;42062005104-1;drtE1;215614885_0_r;330855;3904471.99;49577783_23;332230.57;3904870.89;602.0;28855.0;340.0;1815.87;1699.63;-1.19;28813;29895.21
28239.0;42067026355-1;drtE1;215617186_0;331675.62;3904640.17;136559134_0;327607.59;3911013.13;492.0;31937.0;3206.0;23681.88;9221.73;-6.46;29139;31841.93
28816.0;42062016801-1;drtE3;1036834592_0;331741.96;3907183.22;561905707_0;335735.44;3906585.86;784.0;31794.0;2194.0;17054.88;5801.04;-4.06;29716;31561.63
29128.0;42063032284-1;drtE3;242421296_1;332457.12;3903567.73;267953661_0;331254.49;3902559.87;1033.0;30577.0;416.0;2580.5;2580.5;-1.81;30028;31544.09
30011.0;42062011681-1;drtE2;395192852_0_r;330834.46;3907375.76;205305166_7;330706.49;3906944.93;851.0;30931.0;69.0;562.92;562.92;-0.39;30911;31404.09
30620.0;42063032382-1;drtE2;320326830_0_r;332787.99;3903922.03;199306364_4;334937.33;3904383.58;935.0;32740.0;1185.0;12030.57;3053.82;-2.14;31520;33058.57
31515.0;42173002422-1;drtE2;136558552_1;329850.79;3906786.23;319768329_1;330176.3;3907098.51;471.0;32071.0;85.0;598.32;598.32;-0.42;32415;32963.44
32427.0;43624000382-1;drtE1;205299257_4;331601.91;3911321.59;319012822_0_r;330560.44;3909840.35;498.0;33190.0;265.0;2549.57;2549.57;-1.78;33327;34402.46
33318.0;42174004691-1;drtE1;704104279_1;329433.44;3909286.81;333876980_0;332272.42;3902940.96;248.0;35768.0;2202.0;20417.97;8494.16;-5.95;34218;36844.3
34218.0;42174002432-1;drtE1;319768382_0_r;330046.39;3906948.9;332627428_0;332576.51;3903363.76;906.0;35580.0;456.0;5356.42;5356.42;-3.75;35118;36836.25
34236.0;42062001224-1;drtE1;1160088566_0_r;332063.16;3903594.47;333936912_1;332483.12;3902762.95;353.0;36024.0;1435.0;12021.93;1561.24;-1.09;35136;36146.78
35412.0;42062011901-1;drtE3;319830525_8;333837.54;3907044.02;545691933_1;332187.99;3907183.93;245.0;36614.0;957.0;5127.07;2649.24;-1.85;36312;37360.52
35435.0;42063027052-1;drtE3;320039269_10_r;334278.98;3906071.31;259273714_12;334142.29;3905607.65;445.0;36109.0;229.0;620.31;620.31;-0.43;36335;36907.3
36014.0;42063036511-1;drtE3;320272276_0;331084.7;3906527.79;267657722_0;332955.95;3902955.25;966.0;37524.0;544.0;5452.12;5452.12;-3.82;36914;38833.64
36037.0;42063027522-1;drtE1;107416232_2;331503.28;3909140.48;1038673614_2;335327.37;3905710.72;706.0;37357.0;614.0;7152.25;7152.25;-5.01;36937;38917.92
37843.0;42177005761-3;drtE1;259273714_12;334142.29;3905607.65;1038673614_2;335327.37;3905710.72;401.0;38447.0;203.0;1307.63;1307.63;-0.92;38743;39664.9
40297.0;43624001942-2;drtE1;208933254_1;334896.51;3906036.22;205296958_1;332189.32;3909729.18;166.0;40912.0;449.0;5975.82;5975.82;-4.18;41197;42826.36
43249.0;42063029892-2;drtE2;208938450_2;333993.99;3904685.35;208938111_0;335396.02;3904066.92;254.0;43777.0;274.0;1946.48;1946.48;-1.36;44149;45239.55
43517.0;42174002432-2;drtE3;332627428_0;332576.51;3903363.76;319768382_0_r;330046.39;3906948.9;177.0;44124.0;430.0;5264.99;5264.99;-3.69;44417;46029.45
44151.0;42063034682-2;drtE1;208937438_7;333239.31;3906768.78;302095012_0;336146.42;3906340.07;436.0;44843.0;256.0;3362.32;3362.32;-2.35;45051;46082.43
45632.0;42062005101-4;drtE3;215421263_0_r;331121.05;3904503.74;215614885_0_r;330855;3904471.99;440.0;46116.0;44.0;291.62;291.62;-0.2;46532;46959.63
45917.0;42068030972-2;drtE3;455171079_0_r;331245.24;3908981.52;319768259_0;332403.68;3906152.92;819.0;47019.0;283.0;3634.7;3634.7;-2.54;46817;47936.45
45983.0;42063028272-1;drtE1;215423149_2;331314.55;3904205.64;685054827_0;325291.77;3909052.36;739.0;47759.0;1037.0;11749.33;11749.33;-8.22;46883;50313.65
47462.0;43667002322-2;drtE3;208840661_5;335239.57;3906337.06;137841323_0;330587.36;3910517.5;428.0;48541.0;651.0;8526.65;8526.65;-5.97;48362;50464.91
48654.0;42174003174-2;drtE2;267953661_0;331254.49;3902559.87;318854630_6;327928.62;3910044.57;837.0;50778.0;1287.0;11424.95;11076.87;-7.75;49554;53277.78
49840.0;42173003002-1;drtE2;319012877_0_r;327820.51;3910270.73;565842500_0_r;331838.36;3904345.91;893.0;51679.0;946.0;8891.75;8630.47;-6.04;50740;53361.4
52215.0;42177006151-4;drtE3;136560124_0_r;328909.82;3909491.93;1038673613_0_r;335112.72;3905979.56;370.0;53461.0;876.0;9433.18;9221.59;-6.46;53115;55782.04
52275.0;42062006104-2;drtE1;137988708_1;328069.43;3914082;208933614_0;335356.32;3907104.33;762.0;55757.0;2720.0;26139.99;13406.78;-9.38;53175;56277.61
52279.0;43627002334-2;drtE2;411646128_0_r;333592.73;3909681.39;318736814_0_r;329319.65;3911948.09;759.0;53576.0;538.0;7521.63;7521.63;-5.27;53179;55074.44
53165.0;42062020662-2;drtE3;302093569_1;335220.91;3906140.31;1038673609_1;334326.36;3904989.77;255.0;54048.0;628.0;3093.56;1971.18;-1.38;54065;55271.81
53426.0;42063031815-2;drtE1;197891950_5;330954.61;3906678.32;319698684_1;331028.06;3906992.75;559.0;54067.0;82.0;555.05;555.05;-0.39;54326;54858.38
53449.0;42062020764-2;drtE3;199306708_2;334607.7;3904564.49;199308319_2;334439.76;3904921.45;438.0;53963.0;76.0;565.15;565.15;-0.4;54349;54867.07
54035.0;42173002302-1;drtE2;319012622_0;328542.78;3909239.76;963611077_0;329675.15;3905723.14;531.0;55160.0;594.0;5395.29;5395.29;-3.78;54935;56999.95
54035.0;42173002303-1;drtE2;319012622_0;328542.78;3909239.76;963611077_0;329675.15;3905723.14;531.0;55160.0;594.0;5395.29;5395.29;-3.78;54935;56999.95
54077.0;61372004561-4;drtE1;226039515_0;328904.73;3905675.62;320272341_1;331827.64;3905310.8;630.0;55186.0;479.0;3441.02;3441.02;-2.41;54977;56697.95
55865.0;42062017044-2;drtE3;226039161_0;334120.66;3903116.37;197887641_8;331987.21;3907027.92;438.0;57003.0;700.0;5879.53;5493.96;-3.85;56765;58711.63
56189.0;42062000644-2;drtE3;226039128_0_r;334416.65;3903426.13;377171173_0_r;330481.9;3896790.23;243.0;60702.0;4270.0;40244.53;10915.68;-7.64;57089;60838.13
57013.0;42062012181-5;drtE3;319830590_0;333576.14;3906905.18;319922953_0;333247.81;3906278.57;299.0;57468.0;156.0;1095.19;1095.19;-0.77;57913;58666.35
57630.0;43634000513-3;drtE1;318495210_2;330152.44;3913188.35;318403969_2;331893.98;3912269.91;1131.0;59043.0;282.0;2673.89;2673.89;-1.87;58530;59632.6
57676.0;43667002184-2;drtE3;137841309_0;329868.68;3912051.14;318716041_1;329311.58;3911385.17;853.0;58744.0;215.0;1119.81;1119.81;-0.78;58576;59253.14
57683.0;42062021041-2;drtE2;226039164_0;332486.72;3902946.02;167050309_1;332393.38;3902807.44;851.0;58624.0;90.0;674.62;674.62;-0.47;58583;59166.52
59494.0;42063034902-4;drtE2;242421998_0;333129.55;3903368.4;320425669_0_r;333642.45;3903433.32;239.0;59835.0;102.0;739.68;739.68;-0.52;60394;60989.69
62124.0;42173002783-2;drtE1;1203892567_1;331208.82;3913067.98;136558708_0;325211.74;3911338.8;259.0;65394.0;3011.0;22435.31;9058.37;-6.34;63024;65919.47
63024.0;42174003172-2;drtE1;318854633_1;328069.04;3910264.7;318854630_6;327928.62;3910044.57;330.0;63421.0;67.0;410.99;410.99;-0.29;63924;64419.65
63084.0;42062016801-2;drtE2;561905707_0;335735.44;3906585.86;1036834592_0;331741.96;3907183.22;889.0;64364.0;391.0;4575.94;4575.94;-3.2;63984;65511.55
63939.0;42063028272-2;drtE1;685054827_0;325291.77;3909052.36;1068314201_0_r;331718.84;3903745.29;687.0;67046.0;2420.0;18404.67;11888.7;-8.32;64839;68427.62
64223.0;42062021862-3;drtE3;373755483_0;330861.54;3902303.43;651639270_7;332109.44;3902170.23;771.0;65395.0;401.0;1830.51;1830.51;-1.28;65123;66242.64
