vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB2;208867.18;150552.98;58314.2;236190.35
drtB15;253428;207015.92;46412.08;272194.32
drtB3;238361.98;156303.51;82058.47;186328.51
drtB16;326620.81;226087.87;100532.93;284627.2
drtB0;212048.19;154160.06;57888.13;216282.89
drtB1;91317.47;86712.23;4605.24;141147.48
drtB8;241908.74;182634.73;59274.01;296237.78
drtB9;222273.09;149966.9;72306.19;187381.56
drtB6;294035;178985.08;115049.93;238164.27
drtB7;225027.9;158416.43;66611.47;213347.8
drtB4;253684.23;234410.15;19274.07;385749.45
drtB5;195867;120586.55;75280.45;138699.42
drtB10;200855.21;153008.67;47846.54;234495.91
drtB11;251209.52;168406;82803.51;225626.5
drtB12;226793.76;163391.27;63402.49;210893.84
drtB13;44794.28;37005.74;7788.54;41493.76
drtB14;199400.33;129977.44;69422.89;159611.99
