runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;115;269.19;832;664.8;304;217;93.04;100;504.27;6102.9;5681.85;773.46;3.98;2;0.02
NA;2;190;300.31;896;705.95;372.75;252;91.05;100;579.68;6881.18;5624.69;879.98;3.94;4;0.02
NA;3;257;333;975;780.1;420;264;86.38;98.83;645.56;7377.01;5772.6;978.56;4.04;5;0.02
NA;4;298;349.01;1123;782.2;451.75;288;86.91;97.99;674.35;7408.2;5767.24;1023.36;4.04;3;0.01
NA;5;352;377.77;977;828.45;495.5;311;82.1;98.3;795.62;8588.59;6063.68;1173.39;4.24;3;0.01
NA;6;385;386.1;1388;861.6;507;322;81.3;96.88;745.94;7950.87;5862.03;1132.04;4.1;2;0.01
NA;7;409;398.33;1059;850;554.5;340;78.24;98.04;746.15;8070.99;5920.34;1144.48;4.14;4;0.01
NA;8;456;403.38;1060;880.15;551.75;333;78.29;96.93;785.38;8201.66;5741.98;1188.75;4.02;3;0.01
NA;9;454;392.35;1107;878.75;537;330;81.06;97.14;793.57;8456.65;5820.1;1185.92;4.07;4;0.01
NA;10;492;397.79;1142;842.4;528.75;343;80.49;97.36;808.44;8706.08;5959.43;1206.24;4.17;5;0.01
NA;11;502;402.05;1312;852.85;559;347;78.09;98.01;796.58;8426.58;5858.3;1198.64;4.1;5;0.01
NA;12;494;403.26;1073;871.25;537.25;334.5;79.55;97.77;843.66;8938.44;5815.88;1246.92;4.07;4;0.01
NA;13;520;419.16;1038;871.95;555.5;367;77.69;97.31;829.99;8572.38;5874.13;1249.15;4.11;3;0.01
NA;14;544;401.42;1190;876.25;547.25;343;79.23;97.43;836.99;8833.96;5864.18;1238.41;4.1;5;0.01
NA;15;545;419.43;1196;889.1;574;363;76.51;96.51;809.57;8617.08;5931.95;1228.99;4.15;4;0.01
NA;16;562;428.85;1053;881.1;614.75;359;73.84;96.98;840.42;9064.59;5866.58;1269.27;4.11;5;0.01
NA;17;563;413.59;1347;860.6;602;344;74.78;97.34;796.03;8291.08;5599.01;1209.61;3.92;5;0.01
NA;18;543;409.02;1035;873.8;579;335;76.06;96.5;814.1;8440.52;5566.61;1223.13;3.9;4;0.01
NA;19;542;397.98;1174;857.85;556;320;77.12;97.42;815.17;8498.58;5699.19;1213.15;3.99;4;0.01
NA;20;559;420.43;1094;849;600;355;74.96;97.67;824.99;8434.31;5663.49;1245.42;3.96;4;0.01
