runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;43;429.4;896;842.2;616;397;72.09;100;458.72;3947.96;3942.73;888.12;2.76;5;0.1
NA;2;71;451.68;941;872.2;647;394;71.83;98.59;448.52;3570.82;3529.23;900.2;2.47;7;0.09
NA;3;113;478.34;1001;875.6;652.5;438;66.37;99.12;527.71;4325.82;4070.41;1006.04;2.85;10;0.08
NA;4;148;491.63;1055;852.45;645.5;467.5;70.95;98.65;563.03;4732.27;3999.82;1054.66;2.8;8;0.05
NA;5;155;447.3;903;816.6;571;435;77.42;99.35;591.56;4974.92;4366.64;1038.86;3.06;13;0.08
NA;6;162;454.33;971;866.3;597.5;427.5;75.93;97.53;564.18;4669.42;4176.45;1018.51;2.92;17;0.09
NA;7;163;458.33;1391;876.8;611;423;74.23;96.32;591.83;4988.31;4277.23;1050.17;2.99;17;0.09
NA;8;167;469.12;1139;926;632;416;73.65;94.01;589.62;4864.87;4443.83;1058.74;3.11;24;0.13
NA;9;192;480.92;1172;850.25;636;437.5;68.75;97.92;543.51;4415.15;4041.02;1024.43;2.83;21;0.1
NA;10;193;474.31;954;847.2;622;448;71.5;98.45;527.06;4352.43;3956.2;1001.37;2.77;24;0.11
NA;11;192;485.57;1069;856.7;649;450.5;66.67;97.4;538.48;4213.85;3473.62;1024.05;2.43;29;0.13
NA;12;206;492.1;1198;881;638.75;465.5;68.45;96.12;597.28;4490.15;3471.89;1089.38;2.43;19;0.08
NA;13;213;476.38;1162;847.6;634;451;71.36;98.12;559.86;4347.31;3666.84;1036.24;2.57;16;0.07
NA;14;201;510.33;1086;845.8;691.5;496;65.67;97.01;538.59;4359.33;3824.97;1048.92;2.68;18;0.08
NA;15;199;501.09;1626;897;694;480;68.34;95.98;530.72;4317.84;3695.59;1031.8;2.59;14;0.07
NA;16;192;520.72;1300;916.05;700.5;517;61.98;93.23;529.41;4178.09;3606.43;1050.13;2.52;24;0.11
NA;17;195;504.06;1494;959.4;646;455;68.72;90.26;598.83;4645.14;3784.57;1102.89;2.65;28;0.13
NA;18;185;468.55;1257;858.4;632;443;73.51;97.3;578.24;4458.06;3693.78;1046.79;2.59;25;0.12
NA;19;190;495.42;1189;905.2;701;449.5;66.84;95.26;554.32;4363.54;3550.53;1049.74;2.49;32;0.14
NA;20;207;480.38;1108;871.2;636;463;71.01;97.1;606.21;4628.8;3604.18;1086.59;2.52;28;0.12
