runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;25;577.12;872;870.8;708;602;44;100;860.04;8128.6;7924.63;1437.16;5.55;7;0.22
NA;2;35;559.63;884;862.4;751;610;48.57;100;702.89;5890.7;5430.04;1262.51;3.8;12;0.26
NA;3;62;552.23;1200;864.7;719.5;555.5;54.84;98.39;627.84;5553.74;5266.1;1180.06;3.69;10;0.14
NA;4;78;568.69;1088;872;727.25;615;44.87;97.44;641.49;5224.53;4568.5;1210.18;3.2;13;0.14
NA;5;76;559.09;1088;890.2;741.25;568.5;60.53;96.05;680.05;5378.28;4424.15;1239.14;3.1;27;0.26
NA;6;79;604.54;1036;951;778;601;49.37;93.67;720.34;5416.42;4349.6;1324.89;3.04;20;0.2
NA;7;70;580.33;1092;921;748;600.5;48.57;94.29;671.16;5340.14;4476.07;1251.49;3.13;30;0.3
NA;8;85;604.18;1283;1003.9;750.5;606;48.24;90.59;826.62;6768.84;5827.05;1430.8;4.08;38;0.31
NA;9;62;625.87;1151;937.35;783.25;667;40.32;93.55;864.56;6682.75;5362.21;1490.44;3.75;70;0.53
NA;10;84;525.8;1013;873.25;717.25;479.5;61.9;97.62;934.12;7310.31;5342.78;1459.92;3.74;46;0.35
NA;11;73;509.92;1105;973.8;668;441;69.86;93.15;863.33;6969.28;5175.63;1373.25;3.62;51;0.41
NA;12;79;569.62;982;908;793;540;56.96;94.94;849.59;6979.67;5321.26;1419.22;3.72;51;0.39
NA;13;92;574.05;1284;942.8;780.25;540.5;60.87;90.22;794.54;6440.16;5200.59;1368.6;3.64;54;0.37
NA;14;109;581.71;1017;976.5;757.5;604;49.54;88.99;915.12;7087.78;5058.99;1496.83;3.54;50;0.31
NA;15;112;614.01;1155;1000.9;793.75;635.5;43.75;91.07;1032.04;8138.34;5231.4;1646.04;3.66;53;0.32
NA;16;115;574.27;1227;1014.8;741;549;56.52;90.43;915.81;7162.88;5038.94;1490.08;3.53;41;0.26
NA;17;100;578.43;998;935.15;749.5;601;50;94;832.27;6339.38;4802.3;1410.7;3.36;41;0.29
NA;18;101;547.48;1207;910.3;730.5;556;57.43;95.05;708.81;5279.35;4462.81;1256.29;3.12;40;0.28
NA;19;107;608.66;1013;930.4;787;616;44.86;94.39;872.52;6991.34;5428.53;1481.19;3.8;44;0.29
NA;20;129;593.97;1362;900;767.5;626;47.29;95.35;830.88;6422.18;5097.02;1424.84;3.57;32;0.2
