departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
926.0;31124037151-2;drtA12;182823065_0;382638.94;3946930.55;154464490_0_r;379565.65;3945041.67;174.0;1361.0;261.0;3969.5;3969.5;-2.78;1826;2881.33
1807.0;31047053301-3;drtA13;32122784_3;377776.75;3948018.86;157415978_0_r;384451.78;3950293.08;322.0;2662.0;533.0;7857.06;7857.06;-5.5;2707;4548.3
1825.0;31124031991-2;drtA22;1108117724_0;387110.26;3946619.6;58799366_12;376440.11;3945362.55;270.0;3227.0;1132.0;13652.03;13538.32;-9.48;2725;6094.77
1826.0;31157185231-3;drtA22;23646664_0;382611.57;3946807.88;206645191_0;374089.71;3949251.18;740.0;3890.0;1324.0;14413.35;12356.03;-8.65;2726;5356.13
3032.0;31124023311-6;drtA37;41857233_0;382610.89;3947593.31;73172411_0;378114.43;3944119.95;242.0;3803.0;529.0;6601.88;6601.88;-4.62;3932;5629.39
3696.0;31123043081-2;drtA42;229361291_0;381111.87;3949361.48;659079504_0_r;378096.89;3948229.48;187.0;4075.0;192.0;3252.73;3252.73;-2.28;4596;5461.37
5132.0;31124015231-4;drtA35;583378753_0_r;386741.43;3948400.09;115333958_1;374251.74;3944547.06;227.0;6501.0;1142.0;15756.54;15756.54;-11.03;6032;9696.81
6810.0;31123014444-2;drtA10;283689352_10_r;377950.17;3941985.9;115256957_0_r;374445.32;3944966.1;382.0;7777.0;585.0;6846.48;6846.48;-4.79;7710;9683.83
7264.0;31132029211-2;drtA38;203035387_0;388374.38;3949967.18;115447306_0_r;380084.1;3948209.73;425.0;8430.0;741.0;11024.31;11024.31;-7.72;8164;10539.48
9838.0;31127119452-2;drtA33;286703470_0;388328.01;3949449.87;154488792_0_r;378231.58;3944222.8;399.0;11037.0;800.0;12723.47;12723.47;-8.91;10738;13370.57
9995.0;31147071801-2;drtA11;294519923_6;382582.15;3950710.64;99005537_0;381184.79;3952026.69;112.0;10382.0;275.0;2767.41;2767.41;-1.94;10895;11974.37
10817.0;31143045251-1;drtA23;115455887_0;380375.51;3950669.86;286703470_0;388328.01;3949449.87;249.0;11706.0;640.0;9911.65;9911.65;-6.94;11717;13881.43
12622.0;31157237961-2;drtA23;204077025_0;386771.67;3946889.09;107746659_5;378755.44;3948683.63;312.0;13735.0;801.0;11961.54;11961.54;-8.37;13522;16164.72
16526.0;31046036801-1;drtA31;39500986_0_r;383804.85;3949586.05;58206779_0;379592.63;3952032.71;200.0;17212.0;486.0;5919.32;5919.32;-4.14;17426;19077.74
21932.0;31105007001-1;drtA6;107830732_0;382006.08;3945073.87;216480472_0;381880.51;3950561.9;279.0;22663.0;452.0;8226.43;8226.43;-5.76;22832;24489.74
22234.0;31144020881-1;drtA30;61154754_1;381118.53;3951219.76;39635041_0_r;384463.15;3950877.97;178.0;22722.0;310.0;4379.58;4379.58;-3.07;23134;24334.58
22538.0;31132022751-1;drtA36;41857312_1;383464.42;3948888.44;691874813_0_r;388903.3;3949444.84;216.0;23235.0;481.0;7431.12;7431.12;-5.2;23438;25154.65
23351.0;31157217941-1;drtA0;108322303_0_r;375642.99;3952617.48;41252250_0;378211.3;3949963.8;496.0;24359.0;512.0;5336.8;5336.8;-3.74;24251;26027.4
23417.0;31124078311-1;drtA1;27262967_0_r;379729.53;3945570.79;93185591_0;383377.67;3946037.98;131.0;24071.0;523.0;4945.01;4945.01;-3.46;24317;25847.09
23720.0;31017009491-1;drtA30;344748185_0_r;386528.09;3951414.24;27085402_21;382282.93;3950810.27;279.0;24346.0;347.0;5075.85;5075.85;-3.55;24620;25948.44
