departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
1701.0;32083000661-2;drtB10;1064039460_0;379509.8;3947181.13;85780852_0_r;367455.28;3946624.41;312.0;3352.0;1339.0;15486.51;15486.51;-10.84;2601;6444.73
4852.0;32097072604-2;drtB13;1111121313_0;359437.57;3934623.24;120693319_0;361573.22;3938518.7;188.0;5822.0;782.0;5768;5768;-4.04;5752;8302.55
17413.0;31124023072-1;drtB8;1094668463_0_r;378592.82;3944362.49;48672202_0;380184.12;3945240.12;263.0;17937.0;261.0;3216.66;3216.66;-2.25;18313;19374.72
19218.0;61357052544-1;drtB10;1124768944_1;366483.09;3943370.27;164725582_1;365724.35;3944110.61;671.0;20414.0;525.0;3074.92;3074.92;-2.15;20118;21929.91
23426.0;32094018093-1;drtB13;173773219_3;357882.75;3938498.61;120322803_0;376270.96;3947250.89;850.0;26783.0;2507.0;29544.59;29540.73;-20.68;24326;31726.43
23427.0;31124026835-1;drtB16;242669507_0_r;376011.11;3945607.63;43099692_0_r;362711.76;3929580.49;515.0;31513.0;7571.0;65139.79;24827.78;-17.38;24327;30871.75
24331.0;31124064491-1;drtB16;850339813_2;375991.7;3942751.16;41957073_7;379018.88;3944880.35;108.0;24768.0;329.0;4240.6;4240.6;-2.97;25231;26490.37
25224.0;61367057252-1;drtB16;56750470_8;371648.13;3939767.86;32405569_2;376760.57;3943723.78;482.0;26469.0;763.0;7830.83;7830.83;-5.48;26124;28279.41
25231.0;31124073794-1;drtB6;318936057_0;375417.64;3946684.74;296110144_0;356737.65;3939813.69;327.0;28218.0;2660.0;32406.56;32406.56;-22.68;26131;34299.67
25840.0;61364042621-1;drtB15;202551902_0_r;368909.11;3940498.5;103078984_0;367239.79;3941431.42;631.0;26908.0;437.0;2893.97;2893.97;-2.03;26740;28304.21
26110.0;91535015053-1;drtB7;1175349483_0;356282;3935337.52;296110144_0;356737.65;3939813.69;537.0;29720.0;3073.0;22579.55;6184.53;-4.33;27010;29823.69
26119.0;51173046033-1;drtB0;202676433_1;368141.99;3938335.09;42709343_2;374523.79;3944024.09;440.0;28367.0;1808.0;14896.67;13490.55;-9.44;27019;30848.54
26422.0;61341000981-1;drtB16;129534926_0;373787.59;3940124.76;970780508_0_r;367165.53;3940412.29;593.0;29678.0;2663.0;16846.92;9726.22;-6.81;27322;30448.49
26963.0;31124067513-1;drtB3;50282656_0;372596.12;3946215.63;116607691_0_r;373075.21;3946249.07;312.0;27388.0;113.0;700.04;700.04;-0.49;27863;28493.2
27027.0;91535011802-2;drtB7;37708192_5;357908.24;3932105.51;242194750_8;358355.68;3932080.21;1006.0;28144.0;111.0;746.57;746.57;-0.52;27927;28567.09
27028.0;32042025033-1;drtB3;258995476_0;371358.04;3947629.57;168887053_0;369059.83;3947943.73;894.0;28455.0;533.0;3674.56;3674.56;-2.57;27928;29797.09
27033.0;32083004043-1;drtB11;28571669_0_r;369429.22;3946373.66;198701999_1;368997.99;3946573.3;624.0;27754.0;97.0;706.6;706.6;-0.49;27933;28517.34
27681.0;31123014483-2;drtB0;81857045_4;374539.43;3944774.91;211260269_6;372292.1;3944423.5;531.0;28842.0;630.0;3845.31;3058.6;-2.14;28581;30161.56
27909.0;61367058814-1;drtB16;956169431_0_r;370115.55;3939972.24;103286520_1;367312.84;3940624.82;636.0;29517.0;972.0;3386.44;3386.44;-2.37;28809;30558.25
27916.0;91523008821-1;drtB7;446436237_0;355268.25;3936249.34;27242849_2;357998.71;3932394.85;965.0;31120.0;2239.0;16249.44;8144.96;-5.7;28816;31241.59
27978.0;31157118551-1;drtB13;209198156_0_r;376095.3;3947720.05;115447369_0_r;380134.46;3948024.44;169.0;28780.0;633.0;4863.9;4863.9;-3.4;28878;30512.92
28516.0;32097084573-1;drtB6;221321981_6;359773.37;3939060.2;49184849_0;359927.83;3939912.9;811.0;29519.0;192.0;1213.02;1213.02;-0.85;29416;30276.08
28831.0;61352018174-1;drtB15;146369564_0;367974.47;3942608.73;147709085_7;367901.46;3942512.14;354.0;29211.0;26.0;141.3;141.3;-0.1;29731;30119.87
28836.0;61354042104-1;drtB9;102879154_0;371614.11;3941180.18;59266059_8;371507.51;3941049.18;683.0;29603.0;84.0;561.54;561.54;-0.39;29736;30282.6
28843.0;31124080472-1;drtB1;154345039_0;379379.66;3945883.47;41960806_0;379526.72;3944909.8;166.0;29212.0;203.0;1127.09;1127.09;-0.79;29743;30507.24
29113.0;31123057162-1;drtB1;163396938_4;375641.67;3943849.84;60251604_6;377180.9;3944121.69;674.0;30143.0;356.0;3605.78;3605.78;-2.52;30013;31262.4
29415.0;32083034542-1;drtB11;258995496_0_r;371452.92;3947922.95;258998383_0_r;374396.62;3947806.22;522.0;30451.0;514.0;4866.36;4866.36;-3.41;30315;32147.61
29724.0;31123084203-1;drtB5;50808908_4;378450.99;3946260.08;26196159_2;378201.53;3946027.63;161.0;29975.0;90.0;514.47;514.47;-0.36;30624;31180.11
29737.0;61358056771-1;drtB15;203676381_2;368624.39;3942498.51;243405690_0;364072.08;3941093.19;273.0;31008.0;998.0;5561.98;5561.98;-3.89;30637;33513
30026.0;91534010371-1;drtB7;192168465_0;357011.78;3935334.17;652391897_0;352764.69;3937743.86;674.0;33023.0;2323.0;20020.39;6931.75;-4.85;30926;33261.77
30628.0;32042025031-1;drtB11;258995476_0;371358.04;3947629.57;26955081_0_r;370196.74;3946667.8;591.0;31441.0;222.0;1960.94;1960.94;-1.37;31528;32475.28
30645.0;61363051801-1;drtB1;46874704_0_r;373028.43;3937325.95;252714322_0;370810.5;3941655.59;756.0;32302.0;901.0;6559.74;6559.74;-4.59;31545;34432.25
30660.0;32254011021-1;drtB10;168133955_1;365484.64;3944486.42;167803976_0_r;366071.18;3945225.41;175.0;31036.0;201.0;1331.85;1331.85;-0.93;31560;32346.72
30662.0;32194012342-1;drtB0;261054835_6;370474.72;3945089.94;36961377_0_r;372483.12;3946797.02;460.0;31874.0;752.0;4721.9;3491.44;-2.44;31562;33377.52
30748.0;31105010572-1;drtB12;203315334_0_r;380882.19;3946129.86;101435035_0_r;380407.45;3945307.04;257.0;31196.0;191.0;1921.81;1921.81;-1.35;31648;32513.85
30937.0;32194009102-1;drtB0;182522481_3;371939.48;3945378.19;255789569_0;373293.27;3943073.81;563.0;33278.0;1778.0;11173.5;3344.67;-2.34;31837;33359.13
31216.0;32255006834-1;drtB10;167804070_7;365012.14;3944838.73;167803991_0_r;364086.47;3945342.22;200.0;31599.0;183.0;1524.84;1524.84;-1.07;32116;32945.41
31222.0;31105016582-1;drtB12;116837689_5;380888.39;3945729.52;113971769_0;381292.01;3944499.73;359.0;31853.0;272.0;1725.72;1725.72;-1.21;32122;33191.78
31512.0;91535014563-1;drtB7;1211985804_0;359654.31;3932070.93;1114982395_0_r;360383.71;3932793.72;205.0;31931.0;214.0;1371.42;1371.42;-0.96;32412;33333.45
31813.0;61353044712-2;drtB4;584406875_0;368596.71;3943122.65;962542225_0;369618.97;3942756.39;425.0;32436.0;198.0;1420.23;1420.23;-0.99;32713;33593.81
31817.0;32193001632-1;drtB0;152330415_0;371712.3;3944537.28;28275243_0;370828.49;3945142.21;677.0;32718.0;224.0;1302.31;1302.31;-0.91;32717;33681.09
32124.0;31123068401-1;drtB14;36093736_7;377581.76;3946649.67;209189148_0_r;376751.29;3946588.2;199.0;32485.0;162.0;1025.17;1025.17;-0.72;33024;33788.4
32332.0;31123067222-2;drtB11;89204751_0;372868.14;3947575.25;36962015_1;372752.65;3945919.6;484.0;33225.0;409.0;2064.85;2064.85;-1.45;33232;34446.38
32415.0;31127118741-1;drtB14;41377633_2;376642.51;3945755.55;39734788_1;376124.87;3941859.54;346.0;33317.0;556.0;6375.5;6342.05;-4.44;33315;35182.43
32418.0;61372018441-1;drtB15;132928043_0;364564.66;3942031.06;875752621_0_r;364024.23;3941833.98;351.0;32904.0;135.0;820.1;820.1;-0.57;33318;34017.7
33006.0;32097078155-1;drtB6;1009294954_0_r;357550.79;3938666.16;142378181_6;358391.43;3936914.46;733.0;34154.0;415.0;2614.86;2614.86;-1.83;33906;35410.29
33199.0;61357053212-1;drtB10;168147996_0_r;367253.73;3944833.53;545632456_11;365796.07;3944587.85;498.0;34008.0;311.0;2230.95;2230.95;-1.56;34099;35312.04
33621.0;32255010531-1;drtB10;168133957_0;365406.58;3944589.18;136135400_1;368314.17;3946303.06;610.0;34662.0;431.0;4266.53;4266.53;-2.99;34521;36089.38
34221.0;31123013041-1;drtB14;55057236_2;374634.57;3944573.47;258374004_0;376269.69;3943337.63;468.0;34977.0;288.0;2692.47;2692.47;-1.88;35121;36293.14
34235.0;61371020561-1;drtB15;183991073_0;366796.12;3940210.24;135240655_0;369254.86;3938199.95;1108.0;35845.0;502.0;4077.95;4077.95;-2.85;35135;36936.58
34872.0;31157121131-1;drtB13;209198156_0_r;376095.3;3947720.05;282103378_0;378810.42;3947981.78;530.0;35759.0;357.0;3760.81;3760.81;-2.63;35772;37021.04
36009.0;32094051732-1;drtB6;142377391_1;358822.9;3937432.2;143581824_7;360950.3;3932220.29;298.0;38177.0;1870.0;12014.04;6706.43;-4.69;36909;40001.47
36012.0;32097059401-1;drtB6;144488645_1;359659.4;3938083.58;53055718_1;361099.56;3938935.86;566.0;36958.0;380.0;2564.6;2564.6;-1.8;36912;38313.33
36028.0;32062031741-2;drtB10;399681320_0;365315.42;3945239.43;258994720_0;368769.82;3946323.17;450.0;37042.0;564.0;4593.51;4593.51;-3.22;36928;38537.39
36332.0;32094051532-2;drtB7;152566383_3;354244.63;3934270.95;192210042_3;356472.88;3935561.86;812.0;37781.0;637.0;4654.08;4654.08;-3.26;37232;39378.04
36636.0;32194001742-3;drtB0;35940970_1;371453.62;3944189.02;380950600_7;369823.8;3945676.75;362.0;37518.0;520.0;2342.14;2342.14;-1.64;37536;39006.88
36921.0;31123107461-2;drtB13;31610335_3;379460.28;3947273.88;31610335_2;379484.98;3947259.71;268.0;37336.0;147.0;121.8;121.8;-0.09;37821;38206.04
37820.0;61353043511-1;drtB1;32757640_0;370721.13;3942519.01;330317103_0;369781.98;3942654.26;257.0;38275.0;198.0;1387.99;1387.99;-0.97;38720;39596.42
38144.0;32097078832-3;drtB6;142122328_0_r;362241.76;3935910.49;155554385_0_r;363446.5;3933557.17;880.0;39538.0;514.0;3297.31;3218.49;-2.25;39044;40797.55
38440.0;32097080174-2;drtB7;369361667_0_r;359373.65;3935165.87;35907210_0;359229.94;3935447.14;610.0;39125.0;75.0;584.71;584.71;-0.41;39340;39858.02
39617.0;31124034032-1;drtB14;45856210_0;375089.43;3945524.77;116436370_0_r;376192.12;3945755.32;333.0;40172.0;222.0;1316.78;1316.78;-0.92;40517;41473.21
39619.0;32255011692-1;drtB10;167804043_1;365653.66;3945106.72;169345386_0_r;365797.69;3945807.12;459.0;40302.0;224.0;1519.54;1519.54;-1.06;40519;41479.43
39626.0;32194004201-1;drtB0;1106030481_0;371022.8;3945516.2;198692771_1;370576.65;3945004.6;315.0;40067.0;126.0;789.78;789.78;-0.55;40526;41189.6
39630.0;61345049942-3;drtB7;369361676_0;359523.45;3934870.86;28832289_1;359154.96;3934465.14;188.0;40020.0;202.0;739.19;739.19;-0.52;40530;41115.39
39672.0;91522021682-4;drtB7;242303181_0;359072.6;3932538.25;45733177_0;358666.04;3933360.59;944.0;40966.0;350.0;1486.89;1486.89;-1.04;40572;41420.02
