departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
913.0;42167021581-14;drtC0;195700606_0_r;355555.11;3928313.18;293691376_0;355571.45;3928685.82;708.0;1734.0;113.0;685.25;685.25;-0.48;1813;2443.77
18925.0;91526008182-1;drtC2;122087146_0;356264.48;3935774.41;47195913_3;347102.18;3921483.7;516.0;22496.0;3055.0;32022.48;28177.71;-19.72;19825;27031.21
20409.0;42167020982-1;drtC2;293673376_1;355535.21;3928219.25;161439471_6;350757.89;3923862.6;510.0;21689.0;770.0;9513.19;9513.19;-6.66;21309;23887.75
21910.0;42182008703-1;drtC5;154659075_0_r;356225.12;3922361.38;153188668_3;361445.62;3940872.16;559.0;25619.0;3150.0;25336.69;25336.69;-17.74;22810;31756.65
24024.0;42163009041-1;drtC6;760198977_0_r;356998.57;3930770.82;469633513_0;352516;3911433.45;636.0;31479.0;6819.0;51590.75;22552.65;-15.79;24924;31823.82
24648.0;42188012313-1;drtC0;368325967_0;356269.5;3925396.66;819100785_0_r;351124.68;3927215.7;725.0;26236.0;863.0;7203.61;7203.61;-5.04;25548;28097.82
25216.0;42128036364-1;drtC2;41946947_0;348387.16;3923135.07;27768307_0;359980.06;3930446.9;604.0;27750.0;1930.0;18337.48;18952.94;-13.27;26116;31335.33
25217.0;42155013651-1;drtC6;315080878_0_r;357601.81;3926686.3;37037522_0;354980.83;3922017.25;250.0;26405.0;938.0;6490.18;6490.18;-4.54;26117;29116.01
25221.0;42124021891-1;drtC3;663490035_0_r;351764.24;3922996.11;312401179_0;349248.82;3924398.85;516.0;26293.0;556.0;3880.05;3880.05;-2.72;26121;27890.3
26117.0;42141001343-1;drtC4;204624964_0;347007.09;3916761.49;176173847_0;350511.48;3921486.32;215.0;27310.0;978.0;7864.59;7864.59;-5.51;27017;29996.81
26272.0;42183013043-1;drtC6;162098072_0_r;356067.98;3924216.81;483228891_1;358731.89;3920788.28;714.0;28529.0;1543.0;10566.52;5220.61;-3.65;27172;28973.28
26411.0;42132015384-1;drtC2;148965653_0_r;358764.05;3927670.21;116478306_0;354640.64;3927205.98;760.0;29416.0;2245.0;14048.54;5555.2;-3.89;27311;29485.46
26427.0;32094028814-1;drtC5;221265430_0_r;361046.5;3940417.76;137310582_0;357471.36;3933156.31;244.0;28225.0;1554.0;9924.5;9924.5;-6.95;27327;31604.75
27030.0;91533006422-1;drtC0;313499348_0;354046.33;3929817.07;200587129_0;357426.45;3924090.81;748.0;29740.0;1962.0;11951.69;7960.67;-5.57;27930;31638.16
27048.0;42188012311-1;drtC6;368325967_0;356269.5;3925396.66;358621972_0;356727.76;3923508.3;297.0;28068.0;723.0;3849.68;2734.7;-1.91;27948;29062.84
