departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
25242.0;42114016722-1;drtD0;204881848_0;336697.86;3916538.56;322473271_0_r;344835.77;3919547.58;417.0;28162.0;2503.0;18114.75;10356.81;-7.25;26142;29997.56
25812.0;42113007354-1;drtD0;316021071_0;339491.56;3914597.77;556376258_0;338649.62;3913962.76;497.0;26574.0;265.0;1726.87;1726.87;-1.21;26712;27789.67
26158.0;42141009781-1;drtD1;130538229_1;349317.98;3920569.7;1072900460_1;350952.22;3918621.43;103.0;26741.0;480.0;3358.09;3358.09;-2.35;27058;28757.31
28819.0;42141006601-1;drtD0;32353619_3;344798.02;3918988.94;311744359_0_r;347544.96;3918865.87;188.0;30486.0;1479.0;9095.33;3462.51;-2.42;29719;31265.31
28820.0;42114011142-1;drtD0;106354575_1;343738.04;3916577.53;106354564_2;343805.54;3916857.85;793.0;29695.0;82.0;567.16;567.16;-0.4;29720;30254.17
28825.0;42141006942-1;drtD1;311773864_0_r;350235.21;3918265.57;166127573_0_r;348514.15;3920357.14;230.0;29521.0;466.0;3659.29;3659.29;-2.56;29725;31413.23
30207.0;42141000884-1;drtD0;114916323_1;346826.44;3918630.06;186129763_0;346357.92;3917460.75;521.0;30957.0;229.0;1462.5;1462.5;-1.02;31107;32059.46
36024.0;42142013272-1;drtD0;110897057_0_r;346005.03;3917827.78;691590410_0;346769.21;3918296.32;182.0;36403.0;197.0;1392.12;1392.12;-0.97;36924;37783.96
36029.0;42033030242-1;drtD2;202514981_0_r;347731.77;3913678.61;1032514351_0_r;343054.81;3914405.2;597.0;39441.0;2815.0;17046.76;5763.15;-4.03;36929;39601.62
37351.0;42113002932-2;drtD2;690869766_0_r;339333.63;3914645.99;80141194_3;338862.69;3915598.65;876.0;38499.0;272.0;1684.44;1659.18;-1.16;38251;39310.99
38447.0;42114011242-2;drtD0;197515789_0;343996.92;3916782.6;1037993934_0_r;342958.27;3915882.97;634.0;39355.0;274.0;1891.84;1891.84;-1.32;39347;40440.81
39660.0;42118023262-1;drtD2;316021084_0;339682.75;3914735.63;558090070_1;339134.26;3916367.06;596.0;40545.0;289.0;2617.89;2617.89;-1.83;40560;41705.72
40826.0;42114016725-2;drtD2;558090070_1;339134.26;3916367.06;316324737_0_r;337157.5;3916567.05;61.0;41210.0;323.0;2619.69;2619.69;-1.83;41726;43000.58
41417.0;42118024631-2;drtD0;311777057_0;343109.48;3915862.39;158369413_11;342366.72;3916461.54;146.0;41806.0;243.0;1679.6;1679.6;-1.18;42317;43311.18
42327.0;42114011041-2;drtD1;46888499_0;346875.27;3919162.49;1071937066_0;344079.71;3915227.95;357.0;43402.0;718.0;6123.97;6123.97;-4.29;43227;45793.42
43867.0;42118024412-4;drtD2;545892507_0;339021.44;3916766.06;204759896_0_r;339266.98;3913037.96;329.0;44624.0;428.0;4742.34;4742.34;-3.32;44767;46329.06
50415.0;42114003302-1;drtD2;174092532_22;338220.84;3915543.89;316473356_2;336505.43;3915563.99;472.0;51193.0;306.0;2298.71;2298.71;-1.61;51315;52542.24
50435.0;42113011312-1;drtD0;197515789_4;344171.97;3916828.52;1042747061_1;347946.04;3914021.17;529.0;51676.0;712.0;5501.87;5501.87;-3.85;51335;53749.91
51994.0;42114021401-2;drtD2;204881585_14;336271.5;3916192.21;548299682_0_r;337338.06;3916196.29;234.0;52374.0;146.0;1338.95;1338.95;-0.94;52894;53619.51
53418.0;42034013752-1;drtD1;1097836868_0_r;343397.44;3915447.66;549256867_0;339134.33;3914450.81;307.0;54503.0;778.0;5543.42;5543.42;-3.88;54318;56878.17
54665.0;42113000032-3;drtD0;576229020_0;345267.42;3918419.27;106474341_1;343643.51;3917592.18;868.0;55820.0;287.0;2327.6;2327.6;-1.63;55565;56716.79
