vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;117715.27;102208.85;15506.41;181303.95
drtA27;80241.48;60728.85;19512.63;104093.47
drtA2;57135.4;49760.05;7375.35;72200.47
drtA28;82838.94;72479.75;10359.19;122260.77
drtA29;64793.21;56659.99;8133.21;71072.74
drtA0;105861.47;80758.19;25103.28;102089.31
drtA9;8882.35;8827.19;55.16;8827.19
drtA7;67017.25;50545.42;16471.83;56755.79
drtA8;133729.94;113495.34;20234.6;202506.38
drtA5;40372.49;34465.51;5906.99;40548.1
drtA6;49535.88;41187.35;8348.53;49442.08
drtA3;80433.34;64620.12;15813.22;97911.64
drtA4;196712.07;173029.49;23682.58;317071.55
drtA30;52297.18;43916.55;8380.63;56241.25
drtA31;39542.74;29017.72;10525.02;36011.26
drtA10;181970.11;134419.77;47550.34;197162.13
drtA32;57300.12;50033.03;7267.09;63076.19
drtA11;91128.92;77302.48;13826.45;111964.99
drtA33;139040.99;104418.97;34622.02;156073.24
drtA12;190514.27;151453.68;39060.58;199267.92
drtA34;141263.77;109119.01;32144.76;166811.37
drtA13;49253.31;36209.13;13044.18;38258.6
drtA35;100238.9;73880.41;26358.5;131885.37
drtA14;12068.12;9567.26;2500.85;9567.26
drtA36;92446.77;73532.18;18914.58;112294.55
drtA15;165870.03;143906.89;21963.15;238744.51
drtA37;32903.69;20736.19;12167.49;20736.19
drtA16;23691.98;16039.66;7652.32;16039.66
drtA38;223650.29;187842.93;35807.36;319144.66
drtA17;59040.67;46803.67;12237;79315.8
drtA39;92395.38;83140.58;9254.8;156168.4
drtA18;53027.8;37537.86;15489.93;54879.12
drtA19;141484.83;106684.4;34800.43;167024.9
drtA40;87369.25;77181.47;10187.78;121361.33
drtA41;58491.87;50888.61;7603.26;72070.14
drtA20;102216.53;85619.48;16597.05;141555.71
drtA42;52207.33;37028.51;15178.83;45425.96
drtA21;87788.07;70201.22;17586.85;114271.55
drtA22;109987.33;86735.61;23251.72;119307.31
drtA23;113772.82;101065.98;12706.84;162819.76
drtA24;49647.34;36403.76;13243.58;36403.76
drtA25;84458.06;60538.01;23920.06;144815.41
