vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB2;11522.83;7254.29;4268.54;7254.29
drtB15;73157.11;37493.52;35663.59;37493.52
drtB3;72579.56;35023.86;37555.69;35269.88
drtB16;111862.07;95175.64;16686.43;131055.31
drtB0;110950.44;76640.07;34310.37;88383.22
drtB1;78742.15;47819.85;30922.3;52434.89
drtB8;59748.93;34458.02;25290.9;34458.02
drtB9;68599.22;40748.87;27850.36;43545.88
drtB6;167845.12;136302.71;31542.41;159424.53
drtB7;167734.88;89911.25;77823.63;103237.85
drtB4;66603.8;29431.47;37172.33;33217.84
drtB5;40170.33;34139.32;6031.01;34139.32
drtB10;67055.91;36728.27;30327.64;36728.27
drtB11;77792.7;29631.29;48161.42;29631.29
drtB12;41252.64;35061.64;6191;39081.07
drtB13;71919.08;51881.88;20037.2;51881.88
drtB14;57514.85;40924.31;16590.55;40924.31
