departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
25216.0;42128036364-1;drtC3;41946947_0;348387.16;3923135.07;27768307_0;359980.06;3930446.9;819.0;27798.0;1763.0;18660.17;18660.17;-13.06;26116;31301.12
25217.0;42155013651-1;drtC2;315080878_0_r;357601.81;3926686.3;37037522_0;354980.83;3922017.25;258.0;26362.0;887.0;6756.8;6756.8;-4.73;26117;29037.49
25534.0;91532019121-1;drtC4;313953430_0_r;356300.64;3933830.09;265021667_0_r;352711.18;3936172.93;613.0;26840.0;693.0;5413.45;5413.45;-3.79;26434;28790.21
26430.0;32097078992-1;drtC1;131174239_0;360723.56;3934476.95;68277371_7;360955.45;3933288.18;1055.0;27798.0;313.0;1764.21;1764.21;-1.23;27330;28426.7
28837.0;32093030882-1;drtC1;91750929_3;361996.21;3934069.12;144341356_0_r;360892.34;3934336.28;358.0;29411.0;216.0;1423.88;1423.88;-1;29737;30687.22
30723.0;91533015011-1;drtC4;166961991_3;355711.4;3931779.08;203134971_0;365024.34;3937489.24;803.0;33766.0;2240.0;13671.46;13671.46;-9.57;31623;38071.66
39625.0;91533018741-2;drtC3;108280260_0_r;356671.11;3935637.43;1175349480_0;356870.85;3935055.36;678.0;40400.0;97.0;730.59;730.59;-0.51;40525;41109.06
39639.0;32097080092-2;drtC1;131202602_0;358796.02;3935713.91;121421979_1;359412.28;3935385.71;502.0;40303.0;162.0;1194.03;1194.03;-0.84;40539;41320.26
40870.0;91533014942-2;drtC3;1064243966_1;358031.99;3933260.11;49773874_1;355411.19;3931977.16;405.0;41891.0;616.0;3577.88;3577.88;-2.5;41770;43873.06
43255.0;42138038492-1;drtC3;249164704_0_r;358036.86;3929401.73;143948902_5;359696.63;3931906.81;731.0;44604.0;618.0;4252.45;4252.45;-2.98;44155;46348.86
48012.0;91536012501-3;drtC3;1195117468_0;356400.94;3931629.59;29422266_1;357155.09;3931221.54;683.0;48957.0;262.0;1094.28;1094.28;-0.77;48912;49754.61
50426.0;42132022662-2;drtC3;191736799_0;358864.56;3929877.7;26300840_0_r;359263.89;3930265.84;538.0;51084.0;120.0;753.96;753.96;-0.53;51326;51972.47
51638.0;32097083975-2;drtC1;86322878_0;357258.43;3936655.61;315840173_0_r;357352.02;3936194.69;521.0;52293.0;134.0;774.75;774.75;-0.54;52538;53225.46
52231.0;91522009192-3;drtC1;86917349_1;356749.62;3935826.4;251715348_0_r;354641.52;3937442.39;330.0;53182.0;621.0;4560.33;4560.33;-3.19;53131;55051.98
54923.0;32097058664-3;drtC1;1137319066_0_r;358595.42;3935670;86330248_17;358158.39;3935860.95;852.0;55875.0;100.0;678.42;678.42;-0.47;55823;56412.99
55828.0;42124018572-2;drtC2;663070171_0_r;351909.47;3923237.56;41946733_1;346267.5;3923413.94;733.0;59650.0;3089.0;23574.49;7822.98;-5.48;56728;59683.35
55839.0;32093056761-6;drtC1;35904230_0;358896.04;3934418.74;443163560_1;358268.25;3939094.9;476.0;57334.0;1019.0;6421.2;6421.2;-4.49;56739;59711.07
57323.0;42124029532-4;drtC2;312407598_14;351348.21;3924847.12;614029119_0;349434.61;3925004.93;904.0;58715.0;488.0;3490.35;3490.35;-2.44;58223;59708.51
59414.0;32097084452-5;drtC1;221319985_0_r;360063.22;3939759.18;52990946_3;360307.84;3939431.68;431.0;59945.0;100.0;605.91;605.91;-0.42;60314;60908.59
60036.0;42154004082-6;drtC2;34916619_0;351311.83;3923229.25;165141684_0;355079.6;3925333.01;859.0;61474.0;579.0;7818.23;7818.23;-5.47;60936;62953.79
63633.0;32097076502-4;drtC3;143581824_0_r;360825.42;3932415.91;143577431_0;361705.58;3932665.43;628.0;64424.0;163.0;1115.19;1115.19;-0.78;64533;65301.54
64834.0;91532019441-2;drtC3;122889180_1;357387.56;3932752.26;122889180_0;357365.49;3932732.82;896.0;65746.0;16.0;89.01;89.01;-0.06;65734;66095.47
65447.0;91533021422-3;drtC3;192210042_3;356472.88;3935561.86;1175349454_0_r;356114.61;3935625.02;896.0;66805.0;462.0;703.83;703.83;-0.49;66347;67021.91
69310.0;32094045932-3;drtC3;36986165_0;359005.19;3934638.97;449386750_0;360985.96;3935614.38;507.0;70220.0;403.0;2700.53;2700.53;-1.89;70210;71665.15
70400.0;42154004121-2;drtC2;31984070_1;354885.52;3927460.75;1188377601_0;355281.3;3925786.09;514.0;71222.0;308.0;2170.77;2170.77;-1.52;71300;72496.29
72948.0;51092004662-2;drtC3;28832293_2;359122.54;3934486.9;35904230_0;358896.04;3934418.74;463.0;73494.0;83.0;499.82;499.82;-0.35;73848;74393.77
73835.0;91535012571-3;drtC3;76899939_0;357064.27;3931318.59;32490898_0;357397.71;3930992.14;861.0;74803.0;107.0;717.47;717.47;-0.5;74735;75340.47
