vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtA1;10556.72;9628.64;928.08;9628.64
drtA27;0;0;0;0
drtA2;36809.1;27367.4;9441.7;32561.67
drtA28;9055.43;4154.38;4901.06;4154.38
drtA29;0;0;0;0
drtA0;39140.39;32093.36;7047.02;37887.47
drtA9;35804.88;29333.66;6471.22;42555.74
drtA7;0;0;0;0
drtA8;27208.63;22038.5;5170.13;25139.57
drtA5;30342.73;25755.92;4586.81;28640.77
drtA6;4662.7;2750.03;1912.67;2750.03
drtA3;40813.85;31894.11;8919.74;31894.11
drtA4;20690;16779.28;3910.72;16779.28
drtA30;61283.11;53455.52;7827.59;53455.52
drtA31;6543.93;3481.83;3062.1;3481.83
drtA10;8289.92;4348.19;3941.73;4348.19
drtA32;7434.13;4396.12;3038.01;4396.12
drtA11;15762.52;10255.6;5506.91;10255.6
drtA12;16128.31;13238.92;2889.4;13238.92
drtA13;0;0;0;0
drtA14;6331.11;4939.09;1392.02;4939.09
drtA16;64273.85;50695.27;13578.58;58168.54
drtA17;18356.21;6541.22;11814.99;6541.22
drtA18;8729.12;7435.85;1293.27;7435.85
drtA19;17280.12;13997.96;3282.15;13997.96
drtA20;17725.73;15103.27;2622.46;16534.1
drtA21;20654.15;13262.02;7392.14;13262.02
drtA22;26097.27;17810.06;8287.22;17810.06
drtA23;38165.03;33366.91;4798.12;45304.45
drtA24;0;0;0;0
drtA25;28737.89;23889.38;4848.51;23889.38
drtA26;36792.91;24124.01;12668.9;25083.75
