vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtB2;25017.38;18951.58;6065.8;18951.58
drtB15;0;0;0;0
drtB3;8627.63;3903.52;4724.11;3903.52
drtB16;4228.1;2027.16;2200.94;2027.16
drtB0;0;0;0;0
drtB8;26568.51;24827.78;1740.73;24827.78
drtB9;71438.78;59903.93;11534.86;59903.93
drtB6;3248.06;1367.24;1880.83;1367.24
drtB7;20143.88;8832.09;11311.79;10332.68
drtB4;8618.26;4679.3;3938.96;4679.3
drtB5;0;0;0;0
drtB10;3377.02;940.97;2436.06;940.97
drtB11;28372.49;15668.68;12703.81;15668.68
drtB12;13291.81;6041.97;7249.84;6041.97
drtB13;1743.76;898.6;845.16;898.6
drtB14;3977.6;2442.41;1535.19;2442.41
