runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;21;235.48;684;671.9;278;203;95.24;100;367.67;4589.1;4246.17;603.14;2.97;0;0
NA;2;44;217.55;684;537;309.75;171;97.73;100;389.07;4669.63;4304.35;606.61;3.01;0;0
NA;3;59;215.29;622;547;282;180;98.31;100;365.61;4271.05;4094.68;580.9;2.87;0;0
NA;4;66;220.32;630;534.4;284.25;182;98.48;100;411.47;4785.94;4611.1;631.79;3.23;0;0
NA;5;87;254.85;1024;557;314;198;96.55;97.7;454.17;5270.61;4912.74;709.02;3.44;0;0
NA;6;90;238.59;1002;537.55;305.5;185;97.78;98.89;429.44;5074.54;4837.92;668.03;3.39;0;0
NA;7;90;243.33;961;522.6;308.75;206;97.78;98.89;441.4;5176.01;4922.84;684.73;3.45;0;0
NA;8;106;268.9;1060;601.7;354;214.5;95.28;98.11;513.36;5581.18;5038.82;782.25;3.53;0;0
NA;9;102;224.61;745;416.95;280.25;196;97.06;100;471.78;5461.46;5217.58;696.39;3.65;0;0
NA;10;98;251.34;888;590.9;292.75;213.5;95.92;100;499;5903.17;5175.7;750.34;3.62;1;0.01
NA;11;88;250.27;833;616.25;274;216.5;94.32;100;493.67;5879.23;5325.71;743.94;3.73;1;0.01
NA;12;94;275.22;913;750.25;298.25;226;90.43;98.94;547.23;6181.41;5256.02;822.46;3.68;1;0.01
NA;13;97;277.97;905;750.9;332;229;90.72;98.97;508.97;5910.22;5414.36;786.94;3.79;0;0
NA;14;98;283.16;905;789.1;322.25;233;90.82;98.98;558.6;6643.94;5688.77;841.77;3.98;0;0
NA;15;97;271.46;905;698.6;312;235;94.85;98.97;539.07;6332.47;5596.5;810.54;3.92;1;0.01
NA;16;98;272.54;972;628.6;319.25;245;94.9;98.98;501.23;5803.25;5331.09;773.78;3.73;1;0.01
NA;17;104;267.92;856;681.25;317.25;228.5;92.31;100;472.82;5566.25;5115.54;740.74;3.58;1;0.01
NA;18;90;269.1;876;654.65;319.5;228;94.44;100;464.37;5529.31;5286.13;733.47;3.7;1;0.01
NA;19;101;257.67;835;661.3;302.5;213;94.06;100;471.53;5568.61;5364.9;729.21;3.76;0;0
NA;20;97;243.9;805;620.6;309.5;202;94.85;100;504.15;5884.65;5580.86;748.05;3.91;1;0.01
