runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;9;366.22;805;805;464;304;88.89;100;269.78;3170.94;3170.94;636;2.22;0;0
NA;2;20;319.6;738;730.05;398.5;270.5;95;100;312.65;2880.87;2880.87;632.25;2.02;0;0
NA;3;33;311.97;579;558;414;303;100;100;334.09;3007.07;2981.22;646.06;2.09;0;0
NA;4;39;311.82;626;579;404;292;97.44;100;422.9;4069.83;4047.96;734.72;2.83;0;0
NA;5;45;303.53;751;529.4;399;292;97.78;100;475.98;4580.88;4561.01;779.51;3.19;0;0
NA;6;43;369.86;1275;813.4;430;315;88.37;97.67;560.72;4926.79;4877.98;930.58;3.41;0;0
NA;7;42;330.98;762;606;418.75;315;95.24;100;601.81;5672.26;5632.89;932.79;3.94;0;0
NA;8;35;327.23;762;629.2;416;348;97.14;100;698.86;6946.88;6898.68;1026.09;4.83;0;0
NA;9;36;374;920;751.7;431.75;334.5;83.33;97.22;713.33;6837.78;6790.92;1087.33;4.75;0;0
NA;10;38;336.55;685;657.45;397;315;89.47;100;648.08;6435.99;6431.56;984.63;4.5;0;0
NA;11;41;354.34;722;647.8;440;347;95.12;100;566.88;5390.6;5251.2;921.22;3.68;0;0
NA;12;43;373.84;830;721.8;468;356;93.02;100;481.02;4328.43;4284.37;854.86;3;0;0
NA;13;46;359.11;846;587.45;449.75;347;97.83;100;541.89;4702.18;4531.81;901;3.17;0;0
NA;14;42;366.98;846;734.8;452.75;347;95.24;100;530.45;4807.98;4799.49;897.43;3.36;0;0
NA;15;43;385.26;955;820.6;465;358;93.02;97.67;510.77;4304.25;4278.35;896.02;2.99;0;0
NA;16;43;391.51;846;796.2;521;352;83.72;100;498.3;4100.77;4092.62;889.81;2.86;0;0
NA;17;43;370.53;846;798.2;448;351;88.37;100;496.44;3975.12;3974.27;866.98;2.78;0;0
NA;18;41;351.83;846;763.2;445;350;92.68;100;520.78;4060.2;4034.76;872.61;2.82;0;0
NA;19;42;351.62;846;733.55;477.5;307.5;85.71;100;547.5;4414.36;4389.52;899.12;3.07;0;0
NA;20;43;409.98;1041;885.2;542;352;79.07;97.67;581.02;4914.04;4788.29;991;3.35;1;0.02
