runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;7;412.71;591;591;567;442;100;100;712.57;6768.99;6768.99;1125.29;4.74;0;0
NA;2;11;456.45;651;651;591;472;81.82;100;482.55;4748.54;4748.54;939;3.32;0;0
NA;3;14;398.36;651;651;552;395.5;92.86;100;520.14;4742.45;4742.45;918.5;3.32;0;0
NA;4;14;466.21;854;854;624.25;482.5;71.43;100;726.5;7184.27;7184.27;1192.71;5.03;0;0
NA;5;17;425.88;854;854;538.5;395;82.35;100;571.76;5494.46;5494.46;997.65;3.85;1;0.06
NA;6;18;399.89;854;854;501;356;88.89;100;556.11;5294.7;5294.05;956;3.71;1;0.05
NA;7;21;410.29;854;851.5;530.5;344;80.95;100;559.14;5256.95;5256.95;969.43;3.68;2;0.09
NA;8;21;406.14;854;838.8;526;370;85.71;100;646.71;5829.63;5819.11;1052.86;4.07;2;0.09
NA;9;23;375.13;841;813.2;513;364;91.3;100;519.65;4197.32;4185.19;894.78;2.93;2;0.08
NA;10;32;404.09;964;884.05;512.25;382.5;87.5;96.88;483.03;3602.61;3513.83;887.12;2.46;2;0.06
NA;11;37;385.73;1095;977.1;496;342;86.49;94.59;465.16;3559.28;3453.01;850.89;2.42;0;0
NA;12;36;416.72;1135;907.2;521;380;80.56;97.22;417.5;3493.48;3488.28;834.22;2.44;1;0.03
NA;13;33;447.3;1137;948;610;368;75.76;96.97;427.67;3662.61;3662.44;874.97;2.56;1;0.03
NA;14;33;389.73;874;753.6;502.5;350;87.88;100;440.73;3933.05;3932.89;830.45;2.75;3;0.08
NA;15;34;407.5;702;686.25;491;359.5;85.29;100;449.59;3745.62;3745.46;857.09;2.62;2;0.06
NA;16;35;430.89;846;797.2;534;362;80;100;469.83;3853.83;3853.67;900.71;2.7;1;0.03
NA;17;29;439.55;846;815.5;524.5;416;86.21;100;415.17;3235.76;3235.76;854.72;2.27;2;0.06
NA;18;25;400.2;861;804.6;516.5;381;92;100;501.92;3706.41;3706.41;902.12;2.59;4;0.14
NA;19;33;421.67;700;693.7;524;405;87.88;100;511.39;3609.98;3513.38;933.06;2.46;1;0.03
NA;20;35;402.6;790;718;543;375;85.71;100;484.06;3520.38;3520.38;886.66;2.46;1;0.03
