runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;1;755;755;755;755;755;0;100;590;4832.47;4832.47;1345;3.38;0;0
NA;2;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;3;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;4;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;5;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;6;3;659;752;752;752;734;33.33;100;534.67;6092.54;6092.54;1193.67;4.26;0;0
NA;7;4;492.5;681;681;653.5;531;75;100;658;5991.11;5991.11;1150.5;4.19;0;0
NA;8;6;521;681;681;615.75;566.5;83.33;100;627.5;5995.18;5995.18;1148.5;4.2;0;0
NA;9;6;510.67;681;681;615.75;535.5;83.33;100;594.67;5995.18;5995.18;1105.33;4.2;0;0
NA;10;7;416.14;702;702;571;466;85.71;100;562.86;5510.04;5510.04;979;3.86;0;0
NA;11;6;403.67;702;702;603.75;368;83.33;100;527.17;4986.99;4986.99;930.83;3.49;0;0
NA;12;4;659.5;747;747;741;712.5;25;100;528.5;4080.39;4080.39;1188;2.86;2;0.33
NA;13;4;727.75;891;891;855;724.5;25;100;373.25;3362.83;3362.83;1101;2.35;0;0
NA;14;3;548.67;702;702;702;571;66.67;100;388;3721.5;3721.5;936.67;2.61;0;0
NA;15;2;580;787;787;787;580;50;100;411.5;3423.79;3423.79;991.5;2.4;1;0.33
NA;16;4;496;702;702;669.25;472;75;100;429.5;3934.73;3934.73;925.5;2.75;0;0
NA;17;5;423.8;702;702;552;380;80;100;303.8;2863.99;2863.99;727.6;2;0;0
NA;18;2;608.5;841;841;841;608.5;50;100;241;2391.95;2391.95;849.5;1.67;1;0.33
NA;19;1;841;841;841;841;841;0;100;64;398.53;398.53;905;0.28;0;0
NA;20;1;425;425;425;425;425;100;100;456;5356.42;5356.42;881;3.75;0;0
