departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
926.0;31124037151-2;drtA7;182823065_0;382638.94;3946930.55;154464490_0_r;379565.65;3945041.67;114.0;1301.0;261.0;3969.5;3969.5;-2.78;1826;2862.39
3696.0;31123043081-2;drtA63;229361291_0;381111.87;3949361.48;659079504_0_r;378096.89;3948229.48;138.0;4026.0;192.0;3252.73;3252.73;-2.28;4596;5461.37
7264.0;31132029211-2;drtA48;203035387_0;388374.38;3949967.18;115447306_0_r;380084.1;3948209.73;365.0;8370.0;741.0;11024.31;11024.31;-7.72;8164;10539.48
9838.0;31127119452-2;drtA28;286703470_0;388328.01;3949449.87;154488792_0_r;378231.58;3944222.8;380.0;11018.0;800.0;12723.47;12723.47;-8.91;10738;13263.98
21028.0;31123112021-1;drtA5;50876978_4;376663.71;3942808.87;26201523_15;378981.66;3949813.1;305.0;22297.0;964.0;14385.4;14385.4;-10.07;21928;25041.13
22538.0;31132022751-1;drtA19;41857312_1;383464.42;3948888.44;691874813_0_r;388903.3;3949444.84;267.0;23353.0;548.0;7391.11;7391.11;-5.17;23438;25147.49
23415.0;31123089361-1;drtA1;116837724_0;380594.4;3946019.49;931455735_0;382585.14;3947205.24;339.0;23959.0;205.0;2884.85;2884.85;-2.02;24315;25220.5
23417.0;31124078311-1;drtA1;27262967_0_r;379729.53;3945570.79;93185591_0;383377.67;3946037.98;129.0;24263.0;717.0;6379.86;4945.01;-3.46;24317;25847.83
24646.0;51072015521-2;drtA35;145127485_0;385338.52;3948855.71;1147401989_2;383876.95;3948127.57;318.0;25109.0;145.0;1975.57;1975.57;-1.38;25546;26279.47
25145.0;31123028242-1;drtA32;116432489_0_r;377322.02;3944485.43;845236040_0;390550.95;3954417.34;118.0;26679.0;1416.0;20282.17;20282.17;-14.2;26045;29952.71
26583.0;31123030981-1;drtA12;426101590_0_r;377065.03;3945354.98;24487382_0;385955.36;3947713.69;142.0;28013.0;1288.0;13993.26;11729.8;-8.21;27483;30325.9
27036.0;31123081661-1;drtA12;49688788_4;379775.78;3946507.57;23578870_1;388346.6;3949823.71;385.0;28531.0;1110.0;11684.09;10971.39;-7.68;27936;30495.3
27608.0;31147068162-1;drtA34;842301441_0;380730.34;3951263.76;85568113_2;388622.92;3951808.3;167.0;28522.0;747.0;9636.12;9636.12;-6.75;28508;30676.57
28041.0;31144022501-1;drtA17;95511083_0;380637.61;3951228.9;1073412897_0;384938.23;3950743.24;212.0;28639.0;386.0;4946.57;4892.25;-3.42;28941;30360.36
28524.0;31131018083-1;drtA35;231288102_4;383464.97;3948600.12;115447186_1;380334.17;3949396.55;182.0;29157.0;451.0;4970.64;4970.64;-3.48;29424;31047.61
28830.0;32023006463-1;drtA32;102267309_0;391093.05;3954164.25;41857201_1;383358.2;3947516.69;209.0;30017.0;978.0;13890.25;13890.25;-9.72;29730;32373.92
29365.0;61368051141-1;drtA28;221298917_2;372638.55;3942183.06;965094126_0;373804.76;3941965.81;787.0;30377.0;225.0;1437.73;1437.73;-1.01;30265;31230.46
29708.0;31143045853-1;drtA16;201705623_0_r;380528.87;3950438.07;58206779_0;379592.63;3952032.71;206.0;30239.0;325.0;2750.03;2750.03;-1.93;30608;31829.98
30036.0;31124036413-1;drtA7;129318023_1;377107.99;3943444.23;116432444_3;377608;3945381.89;326.0;30685.0;323.0;2815.44;2815.44;-1.97;30936;32203.35
30039.0;31046026513-1;drtA43;39393274_0;381328.18;3950140.02;696285659_0;388611.18;3949399.54;188.0;30858.0;631.0;9201.25;9200.91;-6.44;30939;33100.7
30914.0;31127123171-1;drtA26;107048248_0_r;377884.06;3947051.41;31665725_3;376171.03;3945843.21;61.0;31385.0;410.0;2792.71;2792.71;-1.95;31814;33276.34
31525.0;31035010182-1;drtA15;160704718_0;385839.1;3945417.67;215958086_0;382212.55;3946576.87;370.0;32354.0;459.0;4860.24;4860.24;-3.4;32425;33961.67
32110.0;31147067951-1;drtA33;57587925_10;380795.06;3951353.62;39500958_0;384649.92;3950155.19;199.0;32995.0;686.0;6820.02;5159.05;-3.61;33010;34363.55
32427.0;31046050761-1;drtA33;571867830_0;381378.41;3951046.65;39445396_11;383645.07;3950103.39;170.0;32835.0;238.0;3101.07;3101.07;-2.17;33327;34334.22
33036.0;31157267771-2;drtA29;46729536_0;378167.15;3950701.12;299376313_6;382981.86;3949355.69;285.0;33855.0;534.0;6804.73;6804.73;-4.76;33936;35876.56
34018.0;91532019641-2;drtA12;286703470_0;388328.01;3949449.87;968666308_0;385689.91;3943458.33;111.0;34564.0;435.0;7048.43;7048.43;-4.93;34918;36448.06
35428.0;31123037502-1;drtA23;41961223_5;379774.58;3944888.9;645545865_0;385206.28;3947681.3;258.0;36207.0;521.0;7135.28;7135.28;-4.99;36328;38132.47
35537.0;31204051761-2;drtA12;863807013_0;385080.01;3943883.57;115455924_0_r;380138.35;3950623.31;353.0;36553.0;663.0;11069.38;11069.38;-7.75;36437;38691.57
36020.0;31144048262-1;drtA5;785014506_0_r;379456.69;3950043.18;96371671_1;378916.82;3949605.43;170.0;36355.0;165.0;1152.48;1152.48;-0.81;36920;37691.47
36022.0;31205047751-10;drtA0;107543355_0_r;378539.56;3950828.23;189888562_2;381191.98;3955449.5;265.0;36955.0;668.0;9764.61;9764.61;-6.84;36922;39135.11
37827.0;31131014401-1;drtA35;33435895_3;380736.81;3948993.17;258863042_8;383345.46;3950506.29;183.0;38237.0;227.0;3396.53;3396.53;-2.38;38727;39735.9
41123.0;31124083171-1;drtA21;454663064_0_r;379095.62;3946770.72;242772983_0;378835.54;3947372.71;296.0;41580.0;161.0;1041.13;1041.13;-0.73;42023;42773.69
43221.0;31111044441-3;drtA32;116427216_0;383453.42;3947537.83;134192182_2;387208.1;3946766.62;108.0;43761.0;432.0;6599.63;6599.63;-4.62;44121;45688.16
43826.0;31207091091-2;drtA33;1103467232_0;385821.33;3949520.51;384908616_0;381664.6;3950289.77;188.0;44305.0;291.0;4741.81;4741.81;-3.32;44726;45885.02
45032.0;91535012151-2;drtA35;153989316_0;383620.75;3950181.28;673877262_0;382344.01;3950243.17;137.0;45312.0;143.0;1629.06;1629.06;-1.14;45932;46646.87
45615.0;31124043612-4;drtA64;33689022_0;378104.98;3946533.44;51393787_0;378112.55;3948215.53;200.0;46171.0;356.0;2161.09;2161.09;-1.51;46515;47835.1
45766.0;31124056651-2;drtA30;42867511_0;376254.11;3943004.75;163337223_1;375865.26;3944427.81;394.0;46428.0;268.0;2602.35;2602.35;-1.82;46666;47741.91
46221.0;31123016481-3;drtA42;1100735523_0;381926.39;3950778.93;170232040_3;382102.83;3949992.56;96.0;46414.0;97.0;1211.25;1211.25;-0.85;47121;47710.48
46252.0;31157250442-2;drtA33;384908616_0;381664.6;3950289.77;229361380_0;375166.88;3952153.35;61.0;46777.0;464.0;7435.85;7435.85;-5.21;47152;48784.97
46829.0;12086021701-3;drtA19;120419639_1;389357.57;3949953.59;101435054_1;380191.37;3944861.35;137.0;47795.0;829.0;13100.73;13100.73;-9.17;47729;50449.81
47426.0;31155064641-1;drtA50;34997169_0_r;378708.34;3948963.34;95793050_2;381695.91;3950702.23;168.0;47934.0;340.0;4961.29;4961.29;-3.47;48326;49641.89
48644.0;42054017551-3;drtA24;798739072_16;383062.44;3948314.72;1064078046_0_r;386729.47;3947156.6;157.0;49883.0;1082.0;10078.6;5068.69;-3.55;49544;51156.62
48657.0;31037038043-2;drtA24;140349264_4;383661.69;3947424.37;231652212_0;382907.22;3947136.99;381.0;49143.0;105.0;1209.25;1209.25;-0.85;49557;50160.18
49264.0;31222030161-6;drtA24;386447770_0_r;383095.15;3947324.63;156942441_6;389706.65;3950096.02;225.0;50303.0;814.0;9917.57;8709.51;-6.1;50164;52061.73
49809.0;12214001473-2;drtA15;56753499_1;382563.17;3946700.79;1035760831_0_r;382245.33;3946987.55;156.0;50057.0;92.0;728.38;728.38;-0.51;50709;51254.06
49818.0;31155074281-1;drtA59;784075390_0_r;378875.19;3950589.83;1089660178_0_r;386250.07;3951125.21;166.0;50661.0;677.0;8869.23;8869.23;-6.21;50718;52930.37
51334.0;31184018031-3;drtA15;261815523_0_r;382406.73;3947140.13;183022177_0;389038.93;3954908.76;106.0;52365.0;925.0;14678.18;14678.18;-10.27;52234;55177.73
52229.0;31157100971-3;drtA43;550689175_1;389091.71;3949754.43;139718217_0_r;387225.41;3947562.34;146.0;52627.0;252.0;3904.44;3904.44;-2.73;53129;54122.29
52258.0;32207012201-2;drtA8;1214088493_0;382821.34;3950573.14;145227800_0;385663.66;3949579.36;114.0;52609.0;237.0;3669.2;3669.2;-2.57;53158;54154.89
54062.0;31131018501-2;drtA8;146179258_1;385438.14;3948320.55;32621922_1;381919.8;3946959.49;314.0;54771.0;395.0;4746.57;4746.6;-3.32;54962;56404.65
54093.0;31124034532-2;drtA26;174392759_0_r;375635.71;3946887.62;41176151_0;376207.88;3946826.35;279.0;54495.0;123.0;761.14;761.14;-0.53;54993;55651.88
