vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtC3;6038.48;4208.92;1829.56;4208.92
drtC14;16415.67;13671.46;2744.2;13671.46
drtC4;0;0;0;0
drtC15;6716.18;2879.4;3836.78;2879.4
drtC1;2865.04;605.91;2259.12;605.91
drtC16;12460.12;5078.85;7381.27;5078.85
drtC17;14454.61;8293.65;6160.96;8293.65
drtC18;0;0;0;0
drtC0;12626.46;6592.27;6034.19;6592.27
drtC19;17312.47;8642.98;8669.49;8642.98
drtC9;11664.39;6123.97;5540.42;6123.97
drtC7;7967.21;6756.8;1210.41;6756.8
drtC8;15944.3;7291.47;8652.83;7291.47
drtC5;12531.86;5478.64;7053.23;5478.64
drtC6;11095.85;7822.98;3272.86;7822.98
drtC20;23918.2;10171.24;13746.96;10171.24
drtC10;24077.94;19498.42;4579.52;19498.42
drtC11;8596.71;4682.86;3913.86;4682.86
drtC12;0;0;0;0
drtC13;6472.78;5413.45;1059.33;5413.45
