runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;17;335.12;731;731;447.5;278;94.12;100;424.65;4507.53;4507.53;759.76;3.16;1;0.06
NA;2;37;297.73;658;605.8;435.5;257;94.59;100;361.62;4067.96;4067.06;659.35;2.85;1;0.03
NA;3;51;276.49;880;621.8;370;228;94.12;100;375.27;4025.14;3942.81;651.76;2.76;0;0
NA;4;67;265.82;850;572.8;361;206;97.01;100;318.64;3373.29;3307.6;584.46;2.32;3;0.04
NA;5;79;284.16;838;687;361;219;91.14;100;348.9;3844.87;3728.53;633.06;2.61;2;0.02
NA;6;82;271.95;854;724.55;353.75;182.5;92.68;100;361.13;3895.06;3745.51;633.09;2.62;2;0.02
NA;7;74;242.7;736;564.5;315.5;178;97.3;100;378.65;4297.51;4216.18;621.35;2.95;5;0.06
NA;8;92;265.15;876;622;342;200;94.57;100;405.16;4445.13;4340.52;670.32;3.04;4;0.04
NA;9;97;259.96;876;640.5;343.5;196;93.81;100;375.26;3916;3880.73;635.22;2.72;2;0.02
NA;10;99;265.17;1016;659;314;196;92.93;97.98;395.28;3997.09;3897.64;660.45;2.73;5;0.05
NA;11;99;283.09;1016;731;359;208;89.9;97.98;373.17;3840.12;3745.84;656.26;2.62;2;0.02
NA;12;101;318.27;883;777.2;421;221;82.18;100;391.15;3880.95;3760.32;709.42;2.63;2;0.02
NA;13;106;315.18;935;729.6;437.5;219.5;83.96;99.06;402;3982.66;3672.58;717.18;2.57;1;0.01
NA;14;111;357.01;1487;822.2;487;259;81.08;97.3;379.2;3669.3;3503.64;736.21;2.45;2;0.02
NA;15;116;303.01;893;703.2;396.25;242;89.66;100;391.56;3895.07;3756.89;694.57;2.63;2;0.02
