runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;30;321.1;731;689.75;449.75;267;93.33;100;458.2;5181.91;5177.78;779.3;3.62;2;0.06
NA;2;50;295.96;658;647.75;443.25;252;90;100;423.48;4826.39;4823.24;719.44;3.38;2;0.04
NA;3;73;299.41;880;684.5;427.5;230;87.67;100;491.23;5362.01;5101.68;790.64;3.57;1;0.01
NA;4;94;282.86;859;644;388.25;205;92.55;100;459.69;5033.55;4689.46;742.55;3.28;4;0.04
NA;5;115;300.36;1010;694;400;219;88.7;99.13;480.9;5359.21;4995.98;781.25;3.5;4;0.03
NA;6;121;291.4;865;757.8;376;211;90.08;100;443.28;4771.97;4555.43;734.69;3.19;3;0.02
NA;7;118;288.15;877;708.45;357.5;238;92.37;100;506.89;5871.16;5591.64;795.04;3.91;5;0.04
NA;8;142;297.66;893;713.8;388.75;240;91.55;100;546.42;6117.37;5714.62;844.08;4;7;0.05
NA;9;143;290.78;1003;712.8;363;224;90.21;99.3;538.49;5917.73;5547.37;829.27;3.88;3;0.02
NA;10;148;295.84;1016;686.3;394.5;230.5;89.19;98.65;569.82;6178.34;5750.53;865.66;4.03;3;0.02
NA;11;140;306.52;1016;741.45;400.5;240.5;90.71;99.29;520.53;5735.57;5425.48;827.05;3.8;2;0.01
NA;12;139;333.06;1115;761;465;250;83.45;98.56;531.88;5624.12;5261.68;864.95;3.68;3;0.02
NA;13;144;307.11;954;701.75;412.25;225.5;88.19;99.31;484.68;5070.95;4740.4;791.79;3.32;5;0.03
NA;14;145;336.06;900;781.5;471.5;268;82.07;99.31;476.65;4889.99;4512.61;812.7;3.16;6;0.04
NA;15;153;297.67;946;694.4;391;242;90.85;99.35;465.68;5002.21;4619.66;763.35;3.23;6;0.04
