departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
620.0;31124112811-4;drtE3;653751890_0_r;386379.29;3951783.22;72453619_0;376444.98;3943671.22;310.0;2177.0;1247.0;17030.56;16312.52;-11.42;1520;4805.32
926.0;31124037151-2;drtE3;182823065_0;382638.94;3946930.55;154464490_0_r;379565.65;3945041.67;603.0;1790.0;261.0;3969.5;3969.5;-2.78;1826;2868.45
1851.0;31127124241-6;drtE27;39629166_0_r;387832.08;3947810.9;1096443149_0;378402.92;3944700.27;284.0;2944.0;809.0;11282.22;11282.22;-7.9;2751;5413.29
8108.0;31132005711-6;drtE37;165837945_3;381826.1;3946711.42;115447310_1;381137.24;3948182.09;231.0;8602.0;263.0;2658.37;2658.37;-1.86;9008;10057.1
9838.0;31127119452-2;drtE51;286703470_0;388328.01;3949449.87;154488792_0_r;378231.58;3944222.8;385.0;11023.0;800.0;12723.47;12723.47;-8.91;10738;13316.24
19825.0;31147076241-1;drtE20;183870032_0;380089.72;3951037.1;366094553_0;385245.25;3949480.65;189.0;20431.0;417.0;6223.38;6223.38;-4.36;20725;22215.85
21628.0;31157168641-1;drtE1;101519854_5;377347.58;3950644.85;153989314_0;383529.57;3950084.16;344.0;22528.0;556.0;7407.65;7407.65;-5.19;22528;24463.92
22508.0;42132022804-1;drtE21;397750618_0;358785.95;3929672.45;220004483_3;360351.4;3927186.47;182.0;23245.0;555.0;3989.06;3916.32;-2.74;23408;25305.54
25208.0;31124051731-1;drtE27;1096443141_0_r;378427.33;3944651.32;285635971_5;377378.19;3943949.59;72.0;25627.0;347.0;1769.83;1769.83;-1.24;26108;27132.82
25232.0;31035030872-1;drtE6;92195024_0;384228.5;3944836.49;133755310_0_r;381354.05;3946750.32;258.0;25956.0;466.0;4942.96;4942.96;-3.46;26132;27620.28
25235.0;32084026051-1;drtE5;152934390_10;368605.38;3947153.08;242294451_0_r;371509.26;3945599.49;659.0;26514.0;620.0;4261.47;4148.49;-2.9;26135;28167.05
