vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtE5;38793.34;15218.44;23574.9;15218.44
drtE45;5422.93;1746.76;3676.17;1746.76
drtE6;28751.41;26035.3;2716.11;26035.3
drtE46;33458.17;26554.51;6903.66;26554.51
drtE3;48799.56;25212.11;23587.45;29181.6
drtE47;30170.83;22886.41;7284.42;22886.41
drtE4;0;0;0;0
drtE48;9857.26;3514.53;6342.73;3514.53
drtE1;38582.79;19343.49;19239.29;19343.49
drtE49;35327.52;29979.85;5347.67;37398.25
drtE2;16182.36;8520.91;7661.45;8520.91
drtE0;12409.66;8046.51;4363.15;8046.51
drtE9;15780.46;11849.34;3931.12;11849.34
drtE7;25577.06;17519.57;8057.49;17519.57
drtE8;3072.79;0;3072.79;0
drtE50;32609.85;24118.4;8491.44;24118.4
drtE51;19342.61;12723.47;6619.14;12723.47
drtE52;0;0;0;0
drtE53;11330.98;10221.56;1109.42;14844.44
drtE10;57973.44;14786.13;43187.31;14786.13
drtE11;8522.81;7515.04;1007.77;7515.04
drtE34;36454.57;7174.09;29280.48;7174.09
drtE35;6348.71;0;6348.71;0
drtE36;7358.66;6465.89;892.77;6465.89
drtE37;16792.46;8151.22;8641.24;8151.22
drtE38;64290.02;41950.13;22339.9;41950.13
drtE39;38632.38;1879.08;36753.3;1879.08
drtE40;57190.45;48352.73;8837.73;57977.85
drtE41;13070.77;3519.25;9551.53;3519.25
drtE42;15594.54;12148.39;3446.15;12148.39
drtE43;10831.92;8531.7;2300.21;8531.7
drtE44;2915.32;2586.62;328.71;2586.62
drtE23;12910.86;6612.54;6298.32;6612.54
drtE24;19481.25;15787.43;3693.82;15787.43
drtE25;7034.98;2509.13;4525.85;2509.13
drtE26;21275.79;16409.04;4866.75;16409.04
drtE27;15834.53;13052.05;2782.48;13052.05
drtE28;25970.21;10658.38;15311.83;10658.38
drtE29;29050.95;9360.5;19690.45;9360.5
drtE30;25360.66;15991.39;9369.27;15991.39
drtE31;21171.7;18758.93;2412.77;28658.12
drtE32;14333.41;5803.84;8529.57;5803.84
drtE33;8395.7;7801.32;594.38;7801.32
drtE12;13420.42;9527.53;3892.89;9527.53
drtE13;39887.25;24252.22;15635.03;24252.22
drtE14;5015.74;2983.92;2031.82;2983.92
drtE15;40259.05;7178.5;33080.55;7178.5
drtE16;35080.92;26743.66;8337.26;28789.87
drtE17;31766.34;22373.55;9392.79;22373.55
drtE18;24869.54;10573.24;14296.3;10573.24
drtE19;46782.77;33598.2;13184.57;41071.52
drtE20;26576.67;17347.87;9228.79;17347.87
drtE21;25584.89;8189.72;17395.17;8189.72
drtE22;8825.67;8219.02;606.65;8219.02
