runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;94;494.88;910;851.75;658.5;478.5;71.28;98.94;386.53;3369.3;3090.95;881.41;2.16;22;0.19
NA;2;162;421.79;1024;862.1;567;386.5;77.78;98.77;436.38;3695.42;3209.16;858.17;2.25;29;0.15
NA;3;224;393.99;1494;808.25;528.5;355.5;80.8;97.77;415.06;3488.33;3189.93;809.04;2.23;20;0.08
NA;4;283;379.15;1326;827.2;547;327;82.69;97.88;417.96;3409.33;3068.93;797.11;2.15;22;0.07
NA;5;324;367.46;1193;796;521;314.5;82.72;98.77;414.65;3292.32;2857.6;782.1;2;14;0.04
NA;6;354;373;1081;807.75;519.25;308;81.07;98.59;374.7;3025.01;2748.56;747.69;1.92;19;0.05
NA;7;366;391.59;1053;847.5;539;343.5;80.87;98.36;416.01;3267.64;2901.74;807.61;2.03;20;0.05
NA;8;408;399.7;1304;846;564.75;344;77.94;97.79;448.78;3487.36;3028.63;848.48;2.12;27;0.06
NA;9;423;373.74;1252;855.2;513;320;82.98;97.4;424.17;3288.19;2913.11;797.91;2.04;24;0.05
NA;10;447;392.51;1217;879.2;573;321;77.85;95.97;449.64;3444.14;3049.81;842.15;2.13;25;0.05
NA;11;446;389.31;1147;847.3;563.25;325;77.8;97.98;444.65;3402.29;2979.78;833.97;2.09;24;0.05
NA;12;465;379.48;1927;830.8;525.5;319;80.22;97.42;411.29;3112.48;2805.7;790.77;1.96;31;0.06
NA;13;487;391.75;1519;867.4;531;322;79.88;97.13;453.67;3336.01;2811.7;845.42;1.97;22;0.04
NA;14;490;385.58;1183;864.35;545.75;326.5;81.02;97.35;407.52;3071.93;2747.78;793.1;1.92;13;0.03
NA;15;483;374.07;1179;833.6;525;317;82.4;98.55;404.11;3136.74;2821.64;778.18;1.98;30;0.06
NA;16;498;350.64;947;790.25;494.75;302.5;84.94;99;384.27;3005.66;2794.53;734.91;1.96;34;0.06
NA;17;489;365.88;1236;801.5;511;311;84.05;98.57;423.06;3242.53;2823.93;788.93;1.98;32;0.06
NA;18;502;380.89;1210;845.65;524.75;327.5;82.07;97.21;400.84;3087.6;2745.98;781.73;1.92;24;0.05
NA;19;507;380.84;1410;842.4;507;324;80.67;97.63;427.03;3368.58;2893.35;807.87;2.03;29;0.05
NA;20;511;394.28;1389;874.4;540;343;79.84;96.28;435.42;3405.19;2929.5;829.7;2.05;33;0.06
NA;21;500;385.01;1225;850.7;525.75;331;81.6;97.2;431.53;3408.13;2972.45;816.55;2.08;36;0.07
NA;22;509;385.07;1350;832.5;527.5;336;81.73;97.45;446.32;3547.74;3102.2;831.38;2.17;29;0.05
NA;23;502;383.25;1225;824.25;510.5;336;82.27;97.41;481.91;3844.83;3226.08;865.16;2.26;30;0.06
NA;24;515;379.46;1342;862.4;530;308;81.55;96.7;479.85;3734.15;3217.52;859.31;2.25;24;0.04
NA;25;503;372.46;1226;827.4;515;323;84.89;97.22;448.94;3499.47;3140.49;821.4;2.2;20;0.04
