departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
462.0;42141001581-6;drtE19;1036419348_0_r;346388.59;3918454.74;115697949_0_r;346799.71;3919353.67;363.0;1019.0;194.0;1462.62;1462.62;-1.02;1362;2211.48
1825.0;31124031991-2;drtE17;1108117724_0;387110.26;3946619.6;58799366_12;376440.11;3945362.55;270.0;3159.0;1064.0;13581.24;13547.79;-9.48;2725;6067.04
7308.0;42113003513-2;drtE39;316683157_1;337296.9;3917651.17;205035099_1;337676.7;3915245.08;540.0;8326.0;478.0;3460.48;3460.48;-2.42;8208;9917.77
15324.0;31205047751-3;drtE14;100811452_0;376769.1;3948645.1;102682297_0_r;379347.22;3950755.84;168.0;16093.0;601.0;4249.04;4249.04;-2.97;16224;18269.88
21010.0;31124078492-1;drtE26;450150326_0_r;380090.29;3945579.95;34288692_0;386342.27;3943423.48;126.0;21866.0;730.0;13812.99;13812.99;-9.67;21910;24328.8
22239.0;42118022602-1;drtE19;159517490_3;342072.79;3914351.96;205178094_4;339193.22;3916228.61;439.0;23273.0;595.0;4052.11;4052.11;-2.84;23139;25206.14
22508.0;42132022804-1;drtE21;397750618_0;358785.95;3929672.45;220004483_3;360351.4;3927186.47;182.0;23245.0;555.0;3976.92;3904.18;-2.73;23408;25315.21
23414.0;42157020661-1;drtE29;367661047_0;352824.79;3919108.08;626893500_1;347120.24;3919484.19;361.0;24672.0;897.0;7073.86;7073.86;-4.95;24314;27187.59
23415.0;43667002413-1;drtE39;137841149_0;330707.69;3910602.81;137841309_0;329868.68;3912051.14;134.0;23776.0;227.0;2274.39;2274.39;-1.59;24315;25277.97
23420.0;31124096471-1;drtE47;270493297_10_r;373700.39;3947731.49;461225977_0;374720.94;3949691.33;166.0;23921.0;335.0;2946.24;2794.93;-1.96;24320;25487.24
23663.0;32094012512-1;drtE13;25534245_10_r;361626.96;3940258.03;43556034_0;362306.65;3938774.13;791.0;24768.0;314.0;2042.27;2042.27;-1.43;24563;25785.46
23744.0;42154015582-1;drtE10;760435749_0;356380.04;3926106.14;322488351_0;345683.39;3921244.54;272.0;25547.0;1531.0;15751.33;15751.33;-11.03;24644;29486.62
24516.0;42124024131-1;drtE12;705130742_0;348514.43;3928898.54;32260794_2;351197.16;3923181.29;505.0;25733.0;712.0;7990.03;7990.03;-5.59;25416;27850.05
24624.0;42174000654-1;drtE19;136560159_2;330007.42;3907563.27;319012637_4;329637.77;3908390.89;576.0;25332.0;132.0;1587.58;1587.58;-1.11;25524;26195.02
25207.0;42163013241-1;drtE21;150512934_0_r;356057.98;3926500.51;312261923_1;346628.32;3924317.97;658.0;27371.0;1506.0;13473.75;12417.43;-8.69;26107;30122.03
25208.0;31157088323-1;drtE1;108322320_5;376083.03;3952664.58;52890726_3;380650.4;3951304.68;508.0;26206.0;490.0;5966.25;5966.25;-4.18;26108;27863.02
25222.0;32083030261-1;drtE5;738493159_4;365980.36;3946904.76;100967585_0_r;377164.17;3948524.03;890.0;27125.0;1013.0;13263.08;13259.22;-9.28;26122;29420.14
25225.0;42154005081-1;drtE15;201268411_6;353255.37;3921517;219358705_0;352834.93;3921653.79;911.0;26230.0;94.0;607.15;607.15;-0.43;26125;26644.24
26116.0;43624001622-1;drtE39;172744245_1;332983.34;3909943.93;319922944_0;333512.37;3906392.6;192.0;26779.0;471.0;4418.01;4418.01;-3.09;27016;28678.67
26128.0;42125016645-1;drtE10;41907925_4;347871.82;3922493.17;1136147348_0_r;345933.35;3923220.82;591.0;27101.0;382.0;2486.3;2486.3;-1.74;27028;28469.95
26165.0;61371017833-1;drtE25;150483974_0;364393.99;3938304.25;32928869_3;363713.45;3939692.77;682.0;27130.0;283.0;2065.24;2065.24;-1.45;27065;28207.25
26417.0;61377043854-1;drtE25;160781684_0_r;363390.83;3939665.02;153188586_0_r;361605.2;3940953.39;933.0;27815.0;465.0;2896.88;2896.88;-2.03;27317;28991.45
26421.0;32193003293-1;drtE17;749303494_0;372086.57;3943030.71;116613743_1;371908.64;3946894.35;170.0;27359.0;768.0;4993.41;4877.64;-3.41;27321;29748.76
26430.0;32097078994-1;drtE13;131174239_0;360723.56;3934476.95;68277371_7;360955.45;3933288.18;582.0;27282.0;270.0;1838.36;1838.36;-1.29;27330;28423.55
26433.0;31123070503-1;drtE35;134559413_3;374511.95;3945738.94;282318042_0_r;379390.43;3944981.47;195.0;27875.0;1247.0;9771.9;8284.23;-5.8;27333;29470.82
26477.0;32097084554-1;drtE47;144487049_3;359238.42;3938771.59;49175369_1;360173.25;3939582.9;752.0;27628.0;399.0;1668.46;1665.25;-1.17;27377;28349.06
27011.0;32043034684-1;drtE17;146858551_0;371156.35;3948161.56;39487987_0_r;373701.71;3947151.09;786.0;28330.0;533.0;3623.95;3623.95;-2.54;27911;29752.23
27015.0;42068030421-1;drtE19;320272276_0_r;331073.85;3906564.08;226038732_2;331883.91;3902513.54;362.0;28321.0;944.0;8212.45;6000.87;-4.2;27915;30249.41
27021.0;42164011391-1;drtE8;1211300303_0_r;356957.95;3927939.3;105146654_0;357381.68;3928866.88;285.0;27500.0;194.0;1328.9;1328.9;-0.93;27921;28805.59
27021.0;31124061311-1;drtE35;116436354_0_r;377890.82;3944987.45;144846260_1;381593.01;3945744.56;522.0;28203.0;660.0;4824.15;4677.67;-3.27;27921;29818.47
27021.0;42155006991-1;drtE12;313114310_0_r;354569.71;3925749.34;36877620_1;353888.25;3924039.76;724.0;28232.0;487.0;2324.76;2324.76;-1.63;27921;29299.13
27025.0;42062012341-1;drtE39;1189532074_0_r;330987.87;3907399.48;137841715_3;329698.13;3910158.44;453.0;28847.0;1369.0;11680.8;5143.22;-3.6;27925;29582.59
27028.0;42124021292-1;drtE21;204116398_3;346183.95;3924608.05;314246456_0_r;347152.85;3922936.86;242.0;27793.0;523.0;2700.33;2476.73;-1.73;27928;29636.87
27033.0;32097072743-1;drtE13;144486666_1;359636.16;3933645.69;59919273_6;359852.17;3934647.78;619.0;27858.0;206.0;1352.82;1352.82;-0.95;27933;28823.06
27043.0;42177005503-1;drtE39;319151142_0;327848.49;3908844.9;136559134_0;327607.59;3911013.13;926.0;28364.0;395.0;3473.16;3473.16;-2.43;27943;29412.15
27312.0;42142002275-1;drtE15;146848465_0;350159.36;3918808.15;146858193_0_r;349837.88;3919670.48;353.0;27922.0;257.0;1746.43;1547.78;-1.08;28212;29165.38
27318.0;42174002433-1;drtE19;319768382_0_r;330046.39;3906948.9;267953661_0;331254.49;3902559.87;276.0;28690.0;1096.0;7659.28;7232.34;-5.06;28218;30956.97
27610.0;42062006104-1;drtE29;208933614_0;335356.32;3907104.33;137988708_1;328069.43;3914082;445.0;30802.0;2747.0;24223;13257.69;-9.28;28510;31707.11
27618.0;61372015852-1;drtE34;43046391_1;364342.46;3939993.41;47119694_1;361572.32;3941609.69;159.0;29108.0;1331.0;7820.94;4018.08;-2.81;28518;30692.77
27620.0;31124017273-1;drtE38;42304455_6;376396.51;3946478.58;31665725_3;376171.03;3945843.21;144.0;27881.0;117.0;879.02;879.02;-0.62;28520;29156.44
27670.0;42125011841-1;drtE4;312419754_2;350180.84;3927051.54;37078830_0_r;351948.35;3921724.38;552.0;29076.0;854.0;7513.92;7513.92;-5.26;28570;31057.2
27909.0;42127031073-1;drtE28;664105774_0_r;351696.09;3921914.4;37040145_0;351352.94;3922352.87;680.0;28688.0;99.0;736.26;736.26;-0.52;28809;29389.39
27918.0;42125010064-1;drtE15;1117620340_0;351624.24;3918700.8;113924437_0;346245.69;3919136.11;625.0;29869.0;1326.0;9597.48;6122.48;-4.29;28818;31105.75
27921.0;42125018384-1;drtE15;311773857_1;350112.11;3919237.91;176173832_0_r;350418.94;3920920.41;274.0;28902.0;707.0;6088.58;1857.95;-1.3;28821;29886.62
27932.0;42155014593-1;drtE8;368011201_0_r;356869.22;3926120.34;200480643_0_r;356413.45;3925881.6;550.0;28615.0;133.0;800.91;800.91;-0.56;28832;29527.32
27941.0;42174001431-1;drtE29;136559066_0;329934.15;3908766.97;371726076_8;326756.17;3910802.8;977.0;30091.0;1173.0;8607.71;4228.34;-2.96;28841;30732.36
27942.0;42124024553-1;drtE28;146798268_2;351021.89;3922089.33;37040145_0;351352.94;3922352.87;431.0;28688.0;315.0;1829.17;643.93;-0.45;28842;29411.09
27948.0;91533006281-1;drtE32;303197198_8;357683.37;3932507.04;312401179_0;349248.82;3924398.85;741.0;32116.0;3427.0;22430.63;16451.07;-11.52;28848;34380.41
27963.0;32094054651-1;drtE13;121903670_0;357782.38;3935872.89;152468558_7;356388.82;3937890.83;725.0;29743.0;1055.0;5791.59;2988.92;-2.09;28863;30451.52
28214.0;42164009272-1;drtE32;205854825_0;356922.85;3930391.3;387488080_8;356524.55;3930333.77;1114.0;29419.0;91.0;550.12;550.12;-0.39;29114;29673.85
28215.0;32244009901-1;drtE34;249102917_0;360993.06;3942967.11;47119652_0_r;361348.56;3941269.61;562.0;29230.0;453.0;2544.11;2491.62;-1.74;29115;30551.48
28218.0;32097069683-1;drtE13;142377342_2;358638.32;3937511.67;296110144_0;356737.65;3939813.69;932.0;30348.0;1198.0;6300.49;4159.93;-2.91;29118;31427.9
28220.0;91532021114-1;drtE41;152610449_4;356240.02;3935287.6;86877156_1;356031.19;3934613.35;773.0;29128.0;135.0;827.33;827.33;-0.58;29120;29754.02
28226.0;32093005483-1;drtE47;149986971_1;360885.18;3938308.69;189332626_0_r;360635.46;3938010.58;397.0;28750.0;127.0;888.04;751.7;-0.53;29126;29745.41
28801.0;91532017343-1;drtE42;1204592754_0;358505;3931521.05;242193460_0_r;359097.21;3931737.47;1138.0;30134.0;195.0;1197.62;1197.62;-0.84;29701;30562.57
28809.0;42154005264-1;drtE12;836406461_0_r;352469.38;3920947.91;220030304_0_r;353592.22;3922608.23;440.0;29533.0;284.0;2769.86;2769.86;-1.94;29709;30852.37
28811.0;91533015902-1;drtE32;552593567_0;355749.69;3930312.86;368643568_0_r;355772.16;3930092.64;891.0;29804.0;102.0;593.26;593.26;-0.42;29711;30306.74
28819.0;31154064631-1;drtE5;107746645_1;378719.47;3948920.92;144848286_0_r;385488.31;3949871.22;357.0;30414.0;1238.0;13498.98;8091.85;-5.66;29719;31839.24
28821.0;31123011121-1;drtE17;61188738_6;372821.4;3943619.35;27086316_2;373367.57;3943736.53;662.0;29776.0;293.0;948.45;948.45;-0.66;29721;30390.55
28823.0;31157230261-1;drtE5;100407864_1;377103.9;3951219.33;306095928_0;381539.94;3950997.67;905.0;30030.0;302.0;4687.86;4687.86;-3.28;29723;30972.28
28825.0;31124083691-1;drtE44;43061958_2;378611.92;3946763.47;147812358_2;387173.79;3945883.16;711.0;32158.0;2622.0;28511.96;11634.12;-8.14;29725;32643.72
28826.0;31123067821-1;drtE44;1137814260_0;377076.75;3946744.79;285015031_0;381507.64;3949812.52;377.0;31398.0;2195.0;20385.27;6691.97;-4.68;29726;32055.01
28826.0;42142011134-1;drtE15;46888493_2;347063.52;3918795.29;113924437_0;346245.69;3919136.11;689.0;29869.0;354.0;1088.92;1088.92;-0.76;29726;30509.58
28832.0;42173004661-1;drtE29;318854658_0_r;328960.11;3910087.23;47288351_1;330504.92;3910805.18;530.0;29649.0;287.0;2259.1;2259.1;-1.58;29732;30878.44
28837.0;32083029041-1;drtE49;258994302_0_r;369374.1;3946614.07;59036801_0_r;370650.05;3946975.88;520.0;29766.0;409.0;2454.78;1818.64;-1.27;29737;30692.73
28841.0;31157122891-1;drtE23;31092153_16;375729.91;3948815.27;31046903_0;389278.25;3950506.8;574.0;31487.0;2072.0;22221.94;16134.6;-11.29;29741;33434.68
28859.0;42063026422-1;drtE19;332627432_1;332821.02;3903113.15;226039128_0_r;334416.65;3903426.13;377.0;29500.0;264.0;1875.14;1875.14;-1.31;29759;30816.53
29115.0;32083002821-1;drtE49;27345457_2;370605.26;3946541.11;67027294_0;371721.18;3946986.39;524.0;30017.0;378.0;2388.44;2165.31;-1.52;30015;31157.26
29121.0;61354037504-1;drtE18;164843543_0;368058.11;3943515.9;103420698_0_r;367782.85;3940405.79;856.0;30617.0;640.0;3999.43;3999.43;-2.8;30021;32214.01
29135.0;31056007491-1;drtE3;34998341_3;385990.67;3953247.29;216480472_0;381880.51;3950561.9;607.0;30312.0;570.0;7723.64;7723.64;-5.41;30035;32063.17
29240.0;31124068311-1;drtE23;1147535103_4;377005.95;3947068.96;854234721_0;383146.65;3951056.74;571.0;30708.0;897.0;9814.52;8478.69;-5.94;30140;32669.3
29420.0;42164016334-1;drtE37;105146020_0_r;355895.13;3927711.66;116478306_0;354640.64;3927205.98;225.0;29943.0;298.0;1935.54;1935.54;-1.35;30320;31483.83
29423.0;42063029982-1;drtE19;320154879_0_r;335752.57;3904409.45;208938097_0;334603.4;3904681.46;546.0;30204.0;235.0;1616.59;1616.59;-1.13;30323;31298.25
29449.0;91535010811-1;drtE32;315175981_0;356963.43;3931717.8;149698057_0;356824.61;3926793.22;833.0;31147.0;865.0;5597.08;5597.08;-3.92;30349;33132.47
29720.0;31157120992-1;drtE33;36879229_0_r;376348;3948377.09;100811443_0_r;376679.82;3947758.83;255.0;30161.0;186.0;1160.03;1160.03;-0.81;30620;31485
30014.0;42154001964-1;drtE12;365834955_0;355486.13;3922542.39;220018467_0;353689.72;3923231.49;451.0;30861.0;396.0;2649.72;2649.72;-1.85;30914;32336.72
30014.0;31143019711-1;drtE44;779443580_0_r;377738.14;3952888.28;45766796_0;381838.16;3950161.33;752.0;31245.0;479.0;6463.38;6463.38;-4.52;30914;32639.81
30020.0;42063030171-1;drtE19;988250672_0_r;333229.61;3903741.2;242421998_0;333129.55;3903368.4;588.0;30887.0;279.0;803.72;803.72;-0.56;30920;31543.09
30020.0;91531006152-1;drtE8;314420803_0;355094.82;3932473.58;251721305_0;355268.7;3938960.84;411.0;32602.0;2171.0;13243.3;8630.69;-6.04;30920;34726.07
30024.0;31124080452-1;drtE35;154345036_0;379367.29;3945534.59;214480341_0_r;381353.57;3948008.86;195.0;30646.0;427.0;4736.35;4736.35;-3.32;30924;32535.07
30025.0;42177006201-1;drtE29;136559216_0_r;328146.07;3911089.66;136559074_0;323719.37;3911489.94;422.0;31413.0;966.0;11109.94;7121.72;-4.99;30925;32878.1
30039.0;31046026513-1;drtE23;39393274_0;381328.18;3950140.02;696285659_0;388611.18;3949399.54;413.0;31264.0;812.0;10442.15;9326.01;-6.53;30939;33057.14
30157.0;43667002363-2;drtE19;167050309_1;332393.38;3902807.44;226039854_0;332272.8;3903227;1059.0;31320.0;104.0;693.98;693.98;-0.49;31057;31650.14
30324.0;32094057653-1;drtE25;1092250694_0;358929.43;3938970.57;221514739_0;359223.63;3937868.55;174.0;30757.0;259.0;1918.99;1918.99;-1.34;31224;32278.97
30329.0;91535010981-1;drtE8;166961996_1;356018.37;3931818.05;85631752_4;354593.97;3934131.94;410.0;31273.0;534.0;3566.65;3566.65;-2.5;31229;33101.09
30345.0;43664002063-1;drtE39;318716077_0_r;329208.26;3911519.42;205492150_1;331443.16;3909615.44;359.0;31618.0;914.0;7372.62;3900.67;-2.73;31245;32525.09
30606.0;31123076301-1;drtE17;196946970_0;373719.7;3945178.09;33686780_0;375260.41;3945738.87;353.0;31559.0;600.0;1898.64;1898.64;-1.33;31506;32720.15
30620.0;91536014191-1;drtE46;1204592737_0;357956.52;3931759.4;287709129_0_r;354225.82;3927585.85;242.0;32225.0;1363.0;8305.17;6319.22;-4.42;31520;34417.63
30621.0;61353048091-1;drtE38;147400808_0_r;368199.49;3944273.21;275432900_0;368585.76;3940554.06;223.0;31582.0;738.0;4833.05;4833.05;-3.38;31521;33989.73
30640.0;42142001392-1;drtE15;112967789_6;346156.43;3916768.5;110895057_2;345768.26;3917733.63;899.0;31980.0;441.0;2453.91;1704.96;-1.19;31540;32507.21
30645.0;43664002064-1;drtE39;318716077_0_r;329208.26;3911519.42;205492150_1;331443.16;3909615.44;59.0;31618.0;914.0;7372.62;3900.67;-2.73;31545;32880.1
30647.0;42034002131-1;drtE15;311520914_0_r;346250.56;3915800.86;628558030_1;345636.04;3917578.78;621.0;32067.0;799.0;4247.82;3241.72;-2.27;31547;33153.52
30653.0;42154001042-1;drtE12;586470689_4;353060.6;3924106.08;1169732953_0;354224.85;3924324.62;547.0;31419.0;219.0;1324.19;1324.19;-0.93;31553;32503.88
