vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtE5;110225.61;64402.23;45823.38;69090.08
drtE45;131418.41;31753.36;99665.05;32721.86
drtE6;80889.22;3671.68;77217.54;3671.68
drtE46;97081.78;29484.66;67597.12;31470.38
drtE3;106867.04;31326.76;75540.28;31326.76
drtE47;79355.34;20616.43;58738.91;20616.43
drtE4;92027.6;22340.76;69686.84;24200.83
drtE48;109139;32007.53;77131.47;32007.53
drtE1;137769.62;27700.47;110069.14;28783.83
drtE49;98266.4;20422.6;77843.8;21245.42
drtE2;84226.34;24591.01;59635.34;24591.01
drtE0;59987.59;31811.04;28176.56;31811.04
drtE9;22916.31;8141.42;14774.89;8141.42
drtE7;73608.41;11766.22;61842.2;11766.22
drtE8;55801.93;15373.1;40428.82;18939.75
drtE50;104276.83;49991.3;54285.54;53892.52
drtE51;128513.96;26590.46;101923.5;26590.46
drtE52;74255.63;19279.43;54976.21;19279.43
drtE53;75932.4;14525.85;61406.55;14525.85
drtE10;59526.94;36684.99;22841.95;36684.99
drtE11;90595.08;17797.38;72797.71;17797.38
drtE34;72961.16;33052.67;39908.48;35109.32
drtE35;122154.25;56137.51;66016.74;59438.44
drtE36;86617.7;39240.62;47377.08;45305.35
drtE37;85468.11;23381.18;62086.93;23381.18
drtE38;70674.64;31483.5;39191.14;34148.11
drtE39;93908.56;49680.54;44228.02;60696.97
drtE40;88369.01;15353.44;73015.57;15353.44
drtE41;115653.46;20131.55;95521.9;20508.08
drtE42;105923.36;31950.48;73972.88;31950.48
drtE43;96757.63;16314.74;80442.9;16314.74
drtE44;68861.82;47376.36;21485.46;72359
drtE23;94376.12;60303.8;34072.32;80560.47
drtE24;89428.25;5519.35;83908.9;5519.35
drtE25;35164.55;15090.32;20074.23;15090.32
drtE26;29473.54;22977.36;6496.19;22977.36
drtE27;68685.86;8508.76;60177.1;9135.05
drtE28;93796.34;14430.66;79365.68;15166.92
drtE29;102247.23;63305.03;38942.2;78875.71
drtE30;128447.06;37830.65;90616.42;37830.65
drtE31;83318.7;17407.35;65911.35;17407.35
drtE32;109865.24;52496.14;57369.1;62675.02
drtE33;123174.06;46366.39;76807.67;47104.94
drtE12;117452.86;63949.01;53503.85;70399.28
drtE13;38443.24;14012.76;24430.48;17325.53
drtE14;156004.13;37615.63;118388.5;38620.57
drtE15;60634.23;31927.57;28706.66;40978.1
drtE16;123059.79;47243.98;75815.81;56883.18
drtE17;126187.31;48194.17;77993.14;49318.37
drtE18;103848.42;26119.95;77728.46;26119.95
drtE19;69996.04;22331.99;47664.06;28955.69
drtE20;78754.8;16767.17;61987.63;16767.17
drtE21;129744.49;44094.76;85649.74;44708.38
drtE22;96634.87;4096.42;92538.46;4096.42
