runId;iteration;rides;wait_average;wait_max;wait_p95;wait_p75;wait_median;percentage_WT_below_10;percentage_WT_below_15;inVehicleTravelTime_mean;distance_m_mean;directDistance_m_mean;totalTravelTime_mean;fareAllReferences_mean;rejections;rejectionRate
NA;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0;0;NaN
NA;1;166;343.02;893;735.6;455;280.5;84.94;100;502.34;5581.4;5199.16;845.37;3.64;15;0.08
NA;2;294;344.78;1016;796.5;489.75;261.5;82.31;98.98;535.54;5770.01;5045.66;880.32;3.53;16;0.05
NA;3;410;343.52;1089;771.6;458.5;280.5;86.59;98.78;573.7;5955.67;5003.11;917.23;3.5;14;0.03
NA;4;512;351.84;1372;807.4;480.25;286;84.38;98.05;618.29;6430.64;5042.82;970.13;3.53;15;0.03
NA;5;607;355.98;1154;821.6;483;292;83.53;98.02;642.11;6531.16;5149.1;998.09;3.6;20;0.03
NA;6;661;381.51;1600;841.6;548.5;315;79.73;98.34;644.44;6449.97;5047.5;1025.96;3.53;24;0.04
NA;7;715;388.49;1016;847.8;559;318;79.3;97.48;696.13;6898.79;5233.06;1084.62;3.66;16;0.02
NA;8;764;394.28;1554;858.25;550.25;325.5;79.06;97.12;698.8;6832;5098.87;1093.09;3.57;24;0.03
NA;9;783;397.64;1554;864.6;569;334;76.88;96.55;703.08;6829.44;5043.68;1100.71;3.53;23;0.03
NA;10;811;412.59;1347;867;603;350;74.97;97.29;715.7;7094.07;5104.96;1128.29;3.57;27;0.03
NA;11;824;406.72;1725;874.25;582.75;341;76.33;96.97;717.6;6882.36;5015.37;1124.32;3.51;26;0.03
NA;12;846;421.35;1200;871.95;619.75;362.5;73.05;96.34;712.74;6970.14;5068.96;1134.09;3.55;27;0.03
NA;13;885;422.06;1191;875.7;606;362;74.69;96.72;731.17;7101.75;5152.28;1153.22;3.61;18;0.02
NA;14;859;411.21;1611;895;592;338;75.55;95.34;737.23;7166.49;5154.49;1148.44;3.61;21;0.02
NA;15;876;402.92;1210;884.15;574.5;335.5;76.94;96;738.54;7251.85;5180.17;1141.46;3.63;26;0.03
