departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
30.0;31157237041-2;drtE48;306095928_0;381539.94;3950997.67;107746641_0_r;378832.3;3948876.67;150.0;591.0;411.0;5574.03;5574.03;-3.9;930;2422.23
32.0;42124022751-4;drtE39;80141194_0;338928.17;3915560.19;34916619_0;351311.83;3923229.25;631.0;2318.0;1655.0;16424.6;16424.6;-11.5;932;6017.31
32.0;31082004471-2;drtE23;39436612_0;382897.96;3950387.24;133287966_1;390859.5;3947975.29;87.0;746.0;627.0;10088.57;10088.57;-7.06;932;3067.9
620.0;31124112811-4;drtE3;653751890_0_r;386379.29;3951783.22;72453619_0;376444.98;3943671.22;310.0;2177.0;1247.0;17030.56;16312.52;-11.42;1520;4806.37
926.0;31124037151-2;drtE3;182823065_0;382638.94;3946930.55;154464490_0_r;379565.65;3945041.67;603.0;1790.0;261.0;3969.5;3969.5;-2.78;1826;2868.45
1217.0;31147052413-4;drtE40;39393243_3;381157.12;3950476.01;65419351_0;380942.8;3951444.35;131.0;1508.0;160.0;1946.85;1946.85;-1.36;2117;2877.55
1223.0;31157191992-5;drtE33;155224457_1;382632.83;3950367.19;263041982_1;376590.2;3950937.76;110.0;1885.0;552.0;6904.67;6904.67;-4.83;2123;3885.25
1823.0;31123045483-2;drtE35;199121805_1;377386.59;3947270.77;248924729_0;374731.28;3950101.6;305.0;2539.0;411.0;4891.74;4891.74;-3.42;2723;4225.92
1826.0;31157185231-3;drtE24;23646664_0;382611.57;3946807.88;206645191_0;374089.71;3949251.18;133.0;2744.0;785.0;12369.02;12369.02;-8.66;2726;5366.69
1851.0;31127124241-6;drtE27;39629166_0_r;387832.08;3947810.9;1096443149_0;378402.92;3944700.27;284.0;2944.0;809.0;11282.22;11282.22;-7.9;2751;5418.25
2442.0;31157208721-2;drtE43;39433614_2;381788.82;3950810.54;261623835_0;373526.27;3952935.1;109.0;3593.0;1042.0;16339.76;16339.76;-11.44;3342;6714.51
5132.0;31124015231-4;drtE51;583378753_0_r;386741.43;3948400.09;115333958_1;374251.74;3944547.06;320.0;6594.0;1142.0;15756.54;15756.54;-11.03;6032;9692.3
8108.0;31132005711-6;drtE37;165837945_3;381826.1;3946711.42;115447310_1;381137.24;3948182.09;231.0;8602.0;263.0;2658.37;2658.37;-1.86;9008;10057.1
9838.0;31127119452-2;drtE23;286703470_0;388328.01;3949449.87;154488792_0_r;378231.58;3944222.8;292.0;10930.0;800.0;12723.47;12723.47;-8.91;10738;13392.95
10817.0;31143045251-1;drtE40;115455887_0;380375.51;3950669.86;286703470_0;388328.01;3949449.87;228.0;11681.0;636.0;10062.09;10062.09;-7.04;11717;13873.14
12622.0;31157237961-2;drtE17;204077025_0;386771.67;3946889.09;107746659_5;378755.44;3948683.63;291.0;13714.0;801.0;11961.54;11961.54;-8.37;13522;16127.77
12624.0;31123075281-2;drtE25;152357848_1;370654.56;3944559.57;319185011_0_r;392216.81;3952526.84;341.0;14879.0;1914.0;27561.25;27467.62;-19.23;13524;19308.51
15723.0;61354045964-2;drtE20;282545121_0_r;378749;3950446.44;147522267_0_r;368532.43;3941383.35;139.0;17739.0;1877.0;23864.81;23864.81;-16.71;16623;22364.39
