vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtE5;154377.36;121583.36;32793.99;173099.64
drtE45;58461.3;52219.63;6241.67;88364.12
drtE6;165570.4;113765.49;51804.91;152386.12
drtE46;75198.38;51458.69;23739.69;60421.62
drtE3;171987.39;42878.83;129108.56;46848.32
drtE47;78469.88;28808.13;49661.75;28808.13
drtE4;130562.6;97186.27;33376.33;141586.46
drtE48;161270.77;77618.46;83652.31;91957.44
drtE1;265966.98;202142.09;63824.89;317007.52
drtE49;88374.07;54369.75;34004.32;69686.49
drtE2;91315.63;29903.96;61411.67;31609.92
drtE0;72714.33;26506.44;46207.89;32302.19
drtE9;177461.94;60525.65;116936.29;62633.49
drtE7;60683.26;45048.94;15634.32;66276.54
drtE8;114406.06;46166.23;68239.83;73033.52
drtE50;199280.21;107218.21;92062;140845.17
drtE51;305807.64;220366.9;85440.74;280631.75
drtE52;67279.7;57147.6;10132.1;97910.25
drtE53;252607.34;185163.23;67444.12;341079.91
drtE10;189006.08;107166.95;81839.12;149727.04
drtE11;45840.1;37410.35;8429.75;49375.86
drtE34;108446.9;47495.55;60951.35;66319.38
drtE35;87547.21;54857.03;32690.18;58670.1
drtE36;135143.3;93705.45;41437.85;176001.29
drtE37;216769.69;141502.87;75266.82;290340.26
drtE38;142455.35;59381.39;83073.96;77901.86
drtE39;159779.86;31010.85;128769.01;32916.8
drtE40;294925.76;226883.52;68042.24;420266.07
drtE41;150870.29;54928.11;95942.18;57833.4
drtE42;154344.8;18973.14;135371.66;18973.14
drtE43;190139.28;130260.31;59878.97;164477.71
drtE44;112753.82;24604.66;88149.16;26469.33
drtE23;204816.85;166940.41;37876.44;253502.56
drtE24;212124.97;163333.15;48791.81;261214.39
drtE25;228893.77;155326.04;73567.73;272929.95
drtE26;112061.13;28175.09;83886.04;32710.26
drtE27;126673.32;58656;68017.32;58656
drtE28;163167.48;62257.29;100910.19;72133.77
drtE29;94765.32;42644.92;52120.41;42792.36
drtE30;139821.51;71254.35;68567.16;76367.14
drtE31;125236.27;44948.79;80287.48;44948.79
drtE32;107645.92;18666.92;88978.99;19710.52
drtE33;253467.39;202553.74;50913.65;364406.49
drtE12;48564.99;30802.17;17762.82;30802.17
drtE13;112221.1;46594.06;65627.04;52640.18
drtE14;140967.96;61945.57;79022.39;73890.13
drtE15;202958.04;49379.4;153578.65;58216.61
drtE16;80222.53;27301.85;52920.68;29025.04
drtE17;168842.9;134592.14;34250.77;210585.34
drtE18;171015.35;89485.87;81529.48;118831.07
drtE19;108825.46;44444.63;64380.83;52092.53
drtE20;120833.09;49716.78;71116.31;49716.78
drtE21;156721.4;51549.27;105172.12;52073.82
drtE22;205090.67;145757.31;59333.36;239615.72
