departureTime;personId;vehicleId;fromLinkId;fromX;fromY;toLinkId;toX;toY;waitTime;arrivalTime;inVehicleTravelTime;travelDistance_m;directTravelDistance_m;fareForLeg;latestDepartureTime;latestArrivalTime
22508.0;42132022804-1;drtE21;397750618_0;358785.95;3929672.45;220004483_3;360351.4;3927186.47;182.0;23246.0;556.0;3985.28;3912.54;-2.74;23408;25317.41
23414.0;42157020661-1;drtE29;367661047_0;352824.79;3919108.08;626893500_1;347120.24;3919484.19;361.0;25070.0;1295.0;7073.86;7073.86;-4.95;24314;27188.17
25208.0;31157088323-1;drtE1;108322320_5;376083.03;3952664.58;52890726_3;380650.4;3951304.68;508.0;26206.0;490.0;5966.25;5966.25;-4.18;26108;27863.34
25222.0;32083030261-1;drtE5;738493159_4;365980.36;3946904.76;100967585_0_r;377164.17;3948524.03;913.0;27148.0;1013.0;13263.08;13259.22;-9.28;26122;29435.37
26417.0;61377043854-1;drtE34;160781684_0_r;363390.83;3939665.02;153188586_0_r;361605.2;3940953.39;283.0;27209.0;509.0;2913.11;2913.11;-2.04;27317;28997.73
26421.0;32193003293-1;drtE25;749303494_0;372086.57;3943030.71;116613743_1;371908.64;3946894.35;170.0;27359.0;768.0;4993.41;4877.64;-3.41;27321;29749.63
27025.0;42062012341-1;drtE39;1189532074_0_r;330987.87;3907399.48;137841715_3;329698.13;3910158.44;416.0;27901.0;460.0;5104.95;5104.95;-3.57;27925;29630.28
27618.0;61372015852-1;drtE34;43046391_1;364342.46;3939993.41;47119694_1;361572.32;3941609.69;626.0;28885.0;641.0;4018.08;4018.08;-2.81;28518;30686.12
27620.0;31124017273-1;drtE35;42304455_6;376396.51;3946478.58;31665725_3;376171.03;3945843.21;153.0;27890.0;117.0;879.02;879.02;-0.62;28520;29154.73
27918.0;42125010064-1;drtE15;1117620340_0;351624.24;3918700.8;113924437_0;346245.69;3919136.11;543.0;29124.0;663.0;6270.25;6270.25;-4.39;28818;31118.52
27932.0;42155014593-1;drtE10;368011201_0_r;356869.22;3926120.34;200480643_0_r;356413.45;3925881.6;116.0;28181.0;133.0;800.91;800.91;-0.56;28832;29539.28
27963.0;32094054651-1;drtE13;121903670_0;357782.38;3935872.89;152468558_7;356388.82;3937890.83;256.0;28838.0;619.0;2988.92;2988.92;-2.09;28863;30482.27
28214.0;42164009272-1;drtE12;205854825_0;356922.85;3930391.3;387488080_8;356524.55;3930333.77;121.0;28426.0;91.0;550.12;550.12;-0.39;29114;29673.85
28837.0;32083029041-1;drtE25;258994302_0_r;369374.1;3946614.07;59036801_0_r;370650.05;3946975.88;504.0;29567.0;226.0;1818.64;1818.64;-1.27;29737;30693.54
29240.0;31124068311-1;drtE14;1147535103_4;377005.95;3947068.96;854234721_0;383146.65;3951056.74;164.0;30041.0;637.0;8481.03;8481.03;-5.94;30140;32663.2
29720.0;31157120992-1;drtE5;36879229_0_r;376348;3948377.09;100811443_0_r;376679.82;3947758.83;202.0;30108.0;186.0;1160.03;1160.03;-0.81;30620;31469.83
30014.0;42154001964-1;drtE10;365834955_0;355486.13;3922542.39;220018467_0;353689.72;3923231.49;101.0;30507.0;392.0;2561.78;2561.78;-1.79;30914;32372.27
30024.0;31124080452-1;drtE2;154345036_0;379367.29;3945534.59;214480341_0_r;381353.57;3948008.86;142.0;30593.0;427.0;4736.35;4736.35;-3.32;30924;32536.71
30039.0;31046026513-1;drtE40;39393274_0;381328.18;3950140.02;696285659_0;388611.18;3949399.54;189.0;30856.0;628.0;9147.15;9146.81;-6.4;30939;33035.4
30620.0;91536014191-1;drtE12;1204592737_0;357956.52;3931759.4;287709129_0_r;354225.82;3927585.85;397.0;32322.0;1305.0;8305.17;6319.22;-4.42;31520;34393.25
30640.0;42142001392-1;drtE19;112967789_6;346156.43;3916768.5;110895057_2;345768.26;3917733.63;343.0;31208.0;225.0;1704.96;1704.96;-1.19;31540;32507.98
30645.0;43664002064-1;drtE39;318716077_0_r;329208.26;3911519.42;205492150_1;331443.16;3909615.44;996.0;31993.0;352.0;3979.59;3979.59;-2.79;31545;32873.84
31328.0;42114015461-1;drtE29;316828056_0_r;334654.88;3915793.23;204884125_18;334294.37;3915793.86;867.0;32263.0;68.0;453.39;453.39;-0.32;32228;32717.29
31520.0;42128033752-2;drtE10;31237264_5;351145.23;3922646.08;456166106_1;352084.8;3922367.91;625.0;32427.0;282.0;1576.44;1576.44;-1.1;32420;33628.01
31542.0;91534006393-1;drtE12;313499338_0;353983.3;3929033.36;116480815_3;354325.92;3927708.1;381.0;32202.0;279.0;1985.72;1985.72;-1.39;32442;33554.08
31816.0;31123057681-1;drtE8;52330205_0;377472.52;3943509.38;258374001_0;376129.24;3943355.35;75.0;32176.0;285.0;1816.06;1816.06;-1.27;32716;33526.1
31816.0;31157261182-1;drtE38;39753369_0;378356.87;3949562.43;35578903_9;377293.87;3949566.15;206.0;32231.0;209.0;1241.63;1241.63;-0.87;32716;33633.29
31823.0;31144047241-1;drtE46;115455998_1;379977.54;3950150.01;199584219_0_r;380846.41;3950282.83;157.0;32146.0;166.0;1200.7;1200.7;-0.84;32723;33509.21
32445.0;42133045263-1;drtE21;242302841_1;358753.74;3929261.12;29425086_2;359174.27;3934247.3;548.0;33926.0;933.0;6671.97;6671.97;-4.67;33345;36371.64
32453.0;61362019223-1;drtE0;833586952_0_r;367311.38;3939789.46;1174463813_0;367448.09;3939855.13;515.0;33011.0;43.0;293.59;293.59;-0.21;33353;33782.68
32454.0;42062001382-1;drtE39;205871934_1;331905.45;3903744.38;205871784_0_r;331906.9;3903188.68;824.0;33443.0;165.0;992.21;992.21;-0.69;33354;34152.6
33045.0;42164006532-2;drtE12;562414435_0;355366.21;3928615.01;37703510_0;355522.56;3929503.37;208.0;33455.0;202.0;1262.16;1262.16;-0.88;33945;34830.11
34219.0;31137034552-1;drtE31;202402146_0;379717.53;3949347.62;139079446_0;382877.87;3948393.81;265.0;35011.0;527.0;6064.73;6064.73;-4.25;35119;36974.07
35752.0;42113010151-1;drtE15;195745720_0;343239.41;3916616.92;711146482_0;343455.38;3916758.79;172.0;35985.0;61.0;414.27;414.27;-0.29;36652;37131.02
36009.0;42113010132-1;drtE15;487029094_0;343314.9;3916516.55;550973786_2;343281.27;3916740.75;195.0;36295.0;91.0;626.75;626.75;-0.44;36909;37501.25
36021.0;32197012681-1;drtE25;204002832_2;371496.11;3944754.31;360372742_2;371171.78;3944040.39;489.0;36979.0;469.0;2401.75;920.15;-0.64;36921;37641.38
36043.0;32194010541-4;drtE25;263927507_0;372157.45;3944543.52;27092620_0;371202.32;3944177.4;667.0;36867.0;157.0;1124.2;1124.2;-0.79;36943;37700.03
37532.0;42113016711-2;drtE29;283050204_0_r;339110.44;3916048.82;554001016_0_r;337243.3;3915206.69;168.0;38044.0;344.0;2481.55;2481.55;-1.74;38432;39726.32
37816.0;32083021301-1;drtE25;147573413_0;368791.04;3945024.97;248210535_1;366032.44;3945205.21;576.0;38814.0;422.0;3790.43;3790.43;-2.65;38716;40264.21
38114.0;42063031814-1;drtE39;319698684_1;331028.06;3906992.75;319768226_1;331491.79;3906541.25;744.0;39011.0;153.0;946.1;946.1;-0.66;39014;39763.03
38429.0;31127136361-2;drtE42;309394740_0;379943.89;3943637.53;41857281_0;382541.64;3947618.24;214.0;39155.0;512.0;6504.16;6504.16;-4.55;39329;41149.52
38734.0;32093005582-2;drtE21;1050902302_0_r;359961.17;3938000.12;189332039_0;360849.52;3937668.16;164.0;39063.0;165.0;1244.94;1244.94;-0.87;39634;40411.37
39073.0;91535014932-1;drtE28;36989162_0;359173.76;3933819.83;29425086_2;359174.27;3934247.3;696.0;39938.0;169.0;1033.07;1033.07;-0.72;39973;40748.17
39648.0;31123067221-2;drtE26;133698309_1;380504.69;3946785.45;116951897_2;382669.96;3944445.34;339.0;40391.0;404.0;4278.84;4278.84;-3;40548;42033.87
39649.0;31046045871-1;drtE9;39445374_16;383587.66;3950634.59;1203906527_0;382496.5;3950504.4;168.0;39949.0;132.0;1472.52;1472.52;-1.03;40549;41232.95
40213.0;42141004701-1;drtE10;169677738_2;348653.25;3921151.87;611667053_0;349594.37;3921820.86;718.0;41242.0;311.0;1476.96;1476.96;-1.03;41113;42043.49
40519.0;91534006291-3;drtE34;346101592_0;352805;3932527.26;329862521_3;352655.1;3933437.87;739.0;41434.0;176.0;1274.97;1274.97;-0.89;41419;42219.89
40814.0;32093013841-1;drtE21;144341430_0_r;360305.63;3934329.67;222402041_0;360913.48;3934281.46;79.0;41024.0;131.0;728.65;728.65;-0.51;41714;42399.41
41187.0;43663001651-2;drtE39;136559623_0_r;329655.76;3909757.05;136559647_0_r;329186.93;3910383.7;128.0;41443.0;128.0;1026.7;1026.7;-0.72;42087;42765.45
41414.0;42125011101-1;drtE10;171438129_1;351278.25;3924947.97;30848486_2;351563.74;3922953.07;468.0;42170.0;288.0;2834.49;2834.49;-1.98;42314;43465.99
41433.0;42132024242-1;drtE12;223429365_0;358931.31;3930704.49;199579622_1;359005.72;3930411.1;699.0;42190.0;58.0;350.69;350.69;-0.25;42333;42803.68
42319.0;31124048712-4;drtE47;260875980_0_r;372524.48;3946317.25;454703609_0_r;372558.46;3946632.04;176.0;42564.0;69.0;426.28;426.28;-0.3;43219;43717.47
42346.0;61355034842-2;drtE25;147400821_1;367381.17;3944194.58;203855638_4;367302.79;3943782.79;414.0;42865.0;105.0;651.48;651.48;-0.46;43246;43840.56
42607.0;32084009872-3;drtE47;116613686_0;372210.35;3946851.71;125775430_0_r;372010.84;3947201.1;161.0;42875.0;107.0;632.1;632.1;-0.44;43507;44114.56
43228.0;31157244091-1;drtE38;768977966_0;378299.5;3949982.75;763671000_0;375737.01;3951731.61;260.0;43903.0;415.0;4225.62;4211.75;-2.95;44128;45583.38
45020.0;31131027441-2;drtE52;115447449_0_r;380072.44;3948905.27;84154054_0;381484.07;3949414.8;243.0;45410.0;147.0;1814.24;1814.24;-1.27;45920;46644.37
45040.0;31157102272-1;drtE5;163784041_2;376918.19;3949203.64;764070125_0;375527.52;3951656.76;265.0;45875.0;570.0;4556.48;4556.48;-3.19;45940;47849.38
45213.0;61367055653-3;drtE0;252541020_0;371485.59;3938859.2;1082348718_0;369763.28;3940210.18;529.0;46111.0;369.0;2786.22;2786.22;-1.95;46113;47467.51
45911.0;31124063092-1;drtE4;750975767_0_r;378106.3;3945177.14;31722864_0;378191.76;3947262.63;246.0;46591.0;434.0;3352.18;3352.18;-2.35;46811;48328.75
46813.0;42133034281-1;drtE12;27768279_0_r;358917.67;3930862.89;42399728_0;360474.71;3931128.2;145.0;47375.0;417.0;3968.25;3968.25;-2.78;47713;49270.96
46829.0;32193010172-2;drtE25;246581900_0;365677.31;3943284.59;376661471_0;370887.48;3943618.46;501.0;48408.0;1078.0;6891.06;6891.06;-4.82;47729;51258.76
46858.0;32097059401-2;drtE21;53055718_1;361099.56;3938935.86;760761507_0;356980.01;3936987.3;826.0;48584.0;900.0;5871.5;5871.5;-4.11;47758;50682.91
47769.0;61372004242-1;drtE41;84872684_3;365258.69;3938683.32;245251120_2;365514.38;3939492.81;140.0;48060.0;151.0;910.01;910.01;-0.64;48669;49416.26
48055.0;32097084553-2;drtE28;49175369_1;360173.25;3939582.9;144487049_3;359238.42;3938771.59;234.0;48516.0;227.0;1629.58;1626.37;-1.14;48955;49904.96
48616.0;32084024952-2;drtE25;147573413_0;368791.04;3945024.97;938875860_0;367607.03;3945376.28;581.0;49451.0;254.0;1477.84;1477.84;-1.03;49516;50569.67
48635.0;61357056561-1;drtE0;37375864_4;370036.14;3942164.27;33641462_0_r;370105.4;3942249.13;527.0;49526.0;364.0;1999.14;584.41;-0.41;49535;50089.7
48648.0;51132022611-2;drtE21;582279980_0;358492.38;3934740.59;155554393_2;363617.81;3933406.75;577.0;50195.0;970.0;6712.22;6712.22;-4.7;49548;52627.74
49220.0;42062002901-1;drtE39;197887900_1;331458.69;3909267.74;107416232_2;331503.28;3909140.48;134.0;49375.0;21.0;145.96;145.96;-0.1;50120;50478.48
49225.0;61352020602-2;drtE0;78623825_1;370871.16;3942367.34;202304663_0;366600.25;3941718.65;174.0;50262.0;863.0;5223.61;5223.61;-3.66;50125;52731.55
49387.0;42142011811-3;drtE10;61295627_0_r;349406.16;3918846.69;311861347_0_r;349995.26;3920233.6;143.0;49815.0;285.0;1986.44;1986.44;-1.39;50287;51421.81
50424.0;31123015521-3;drtE48;39433614_2;381788.82;3950810.54;306095928_0;381539.94;3950997.67;109.0;50583.0;50.0;763.56;763.56;-0.53;51324;51765.9
50444.0;61373023832-1;drtE41;43047168_0;365429.13;3940439.88;238036144_0;364817.33;3940037.76;190.0;50761.0;127.0;784.99;784.99;-0.55;51344;52021.57
50451.0;61374035201-1;drtE0;61295240_0;365817.52;3941406.39;820140843_0;364916.34;3941145.09;371.0;51027.0;205.0;1294.8;1294.8;-0.91;51351;52255.13
51057.0;31123019101-1;drtE32;210150297_0;376034.16;3941379.85;400569995_0_r;376028.28;3943578.27;457.0;51875.0;361.0;2827.1;2827.1;-1.98;51957;52906.66
51614.0;31157253331-3;drtE20;102147661_0;378564.29;3948718.39;282110799_0;378711.58;3948373.71;142.0;51836.0;80.0;704.91;704.91;-0.49;52514;53032.86
52225.0;31157266211-1;drtE49;108201876_1;378793.89;3951123.99;95793050_2;381695.91;3950702.23;167.0;52620.0;228.0;3261.44;3261.44;-2.28;53125;54084.84
52248.0;31123113703-2;drtE32;42524999_1;375117.2;3943216;304933783_0;376273.33;3943604.51;428.0;52910.0;234.0;1614.44;1614.44;-1.13;53148;54148.68
52318.0;31157235022-2;drtE36;196467159_4;382581.54;3950984.12;35694143_2;376043.47;3949442.1;146.0;53248.0;784.0;8652.64;8652.64;-6.06;53218;55739.69
52849.0;31123052822-3;drtE35;157553988_0;375367.48;3947824.58;261996437_3;376473.88;3946176.32;232.0;53901.0;820.0;4434.03;2440.62;-1.71;53749;55144.55
52852.0;31147074023-2;drtE20;28993546_2;379170.95;3949711.24;28993546_1;379103.9;3949633.6;201.0;53085.0;32.0;187.21;187.21;-0.13;53752;54146.23
52865.0;32097083572-4;drtE28;648190362_0;359142.87;3936778.9;222187524_6;359476.08;3935962.35;135.0;53216.0;216.0;1354.96;1354.96;-0.95;53765;54625.41
53142.0;31124101953-2;drtE35;146688241_0;375247.49;3946689.08;116610074_1;375009.12;3947136.25;261.0;53508.0;105.0;665.99;665.99;-0.47;54042;54646.11
53174.0;61372020181-3;drtE8;196950143_0_r;374450.63;3943844.63;176603418_1;375842.9;3941795.05;278.0;54176.0;724.0;3644.2;3644.2;-2.55;54074;55742.96
54013.0;42182008904-2;drtE10;294442070_0_r;356361.66;3922244.36;31788834_3;353775.37;3924036.12;575.0;55178.0;590.0;4121.5;4086.87;-2.86;54913;56890.37
54027.0;31046043351-1;drtE49;27085402_5;382037.32;3951480.39;39433588_2;382093.05;3951136.37;225.0;54354.0;102.0;627.52;627.52;-0.44;54927;55528.34
54940.0;42132023922-2;drtE12;32076833_8;359696.15;3928001.64;26300781_4;358913.54;3929999;607.0;55920.0;373.0;2425.34;2425.34;-1.7;55840;57230.27
55225.0;61352009423-3;drtE25;147400821_0;367473.92;3944145.17;203853120_0;367370.23;3944389.3;205.0;55516.0;86.0;516.59;516.59;-0.36;56125;56676.98
55826.0;31127132131-1;drtE2;116433284_0;380111.59;3946460.64;32031893_1;379890.1;3947619.33;268.0;56313.0;219.0;1651.32;1651.32;-1.16;56726;57659.58
55955.0;42177005503-2;drtE39;136559134_0;327607.59;3911013.13;333946831_0_r;332000.71;3903123.68;448.0;57442.0;1039.0;10863.82;10863.82;-7.6;56855;60149.84
56426.0;31154018332-5;drtE4;33515200_7;376003.55;3947586.9;36237919_0;375752.04;3948700.84;252.0;56880.0;202.0;1888.62;1888.62;-1.32;57326;58184.97
56443.0;91532019361-2;drtE21;314430785_0_r;357403.71;3932404.3;1186015810_0;356900.7;3934040.94;596.0;57407.0;368.0;2388.71;2260.38;-1.58;57343;58622.94
56725.0;31157102763-3;drtE36;35578903_6;377200.72;3949421.89;165015839_0_r;377064.9;3949863.28;205.0;57056.0;126.0;747.28;747.28;-0.52;57625;58295.01
57127.0;42124003592-2;drtE10;311917634_0_r;351661.11;3920903.9;706105382_0_r;351569.56;3921669.83;796.0;58072.0;149.0;1051.73;1051.73;-0.74;58027;58753.58
57316.0;61364043962-10;drtE41;37413509_0;365009.37;3940755.7;152284309_4;367302.47;3939988.59;253.0;58090.0;521.0;3384.68;3384.68;-2.37;58216;60046.52
57620.0;42142007692-4;drtE15;202360052_1;348330.14;3918024.97;130549598_0;348189.89;3918335.1;887.0;58575.0;68.0;442.16;442.16;-0.31;58520;59012.87
57622.0;32083008701-2;drtE47;261054834_0;369404.15;3946173.97;27950153_1;369480.29;3946013.78;350.0;58070.0;98.0;600.21;600.21;-0.42;58522;59111.91
57643.0;91536015842-3;drtE21;1188545319_0;356633;3935546.19;150719309_2;357225.91;3934573.34;283.0;58070.0;144.0;1515;1515;-1.06;58543;59269.02
57924.0;61378038661-2;drtE0;652528900_0;366308.63;3936528.58;202168386_0_r;365871.44;3940516.31;767.0;59486.0;795.0;5451.6;5451.6;-3.82;58824;61421.59
58508.0;42068027951-4;drtE39;320425688_0;332393.31;3904341.21;320425622_0_r;331823.01;3904723.39;120.0;58772.0;144.0;919.84;919.84;-0.64;59408;60122.54
58520.0;42164011272-3;drtE12;165019137_0;357456.95;3929923.86;191736805_0_r;358825.14;3930563.18;185.0;58990.0;285.0;1847.84;1847.84;-1.29;59420;60548.64
58614.0;42173002302-2;drtE39;963611077_0;329675.15;3905723.14;319012622_0;328542.78;3909239.76;688.0;59886.0;584.0;5323.51;5323.51;-3.73;59514;61578.68
59124.0;61372019133-4;drtE25;875687398_0;364738.3;3941648.43;854439947_0;364652.82;3942595.09;290.0;59632.0;218.0;1402.8;1402.8;-0.98;60024;60943.19
59411.0;42125019503-2;drtE10;31133737_2;351427.93;3922285.58;41946732_0;346590.96;3923270.89;176.0;60442.0;855.0;6480.5;6480.5;-4.54;60311;62801.9
59468.0;42141011421-2;drtE15;46888488_1;346937.5;3919056.61;113924430_0;346036.61;3919144.09;305.0;59954.0;181.0;1387.6;1387.6;-0.97;60368;61194.9
60059.0;61374036482-3;drtE41;973025978_0;363909.67;3940082.23;33177289_2;364633.35;3940656.16;144.0;60398.0;195.0;1316.35;1316.35;-0.92;60959;61807.54
60614.0;32093050701-2;drtE28;49158590_2;360573.8;3938413.92;142377360_2;359720.69;3936738.21;137.0;60996.0;245.0;2163.04;2163.04;-1.51;61514;62520.4
