vehicleId;drivenDistance_m;occupiedDistance_m;emptyDistance_m;passengerDistanceTraveled_pm
drtE5;31268.9;18979.59;12289.31;18979.59
drtE45;0;0;0;0
drtE6;12398.71;9164.37;3234.35;9164.37
drtE46;11617.85;9441.72;2176.13;9441.72
drtE3;0;0;0;0
drtE47;23399.34;3865.83;19533.51;3865.83
drtE4;24966.31;8348.53;16617.78;8348.53
drtE48;4445.8;1274.22;3171.58;1274.22
drtE1;15268.59;9410.1;5858.49;9410.1
drtE49;6172.36;3888.96;2283.4;3888.96
drtE2;13592.2;6387.67;7204.53;6387.67
drtE0;57137.54;19885.79;37251.75;20731.52
drtE9;2578.76;1472.52;1106.24;1472.52
drtE7;1049.74;442.61;607.13;442.61
drtE8;9757.34;5460.26;4297.08;5460.26
drtE50;0;0;0;0
drtE51;996.41;0;996.41;0
drtE52;3096.21;1814.24;1281.97;1814.24
drtE53;0;0;0;0
drtE10;98736.13;27098.97;71637.16;27098.97
drtE11;0;0;0;0
drtE34;49564.44;12595.49;36968.95;12595.49
drtE35;30059.97;14410.15;15649.82;15076.14
drtE36;19599.96;13779.54;5820.43;13779.54
drtE37;24432.83;21162.42;3270.42;21162.42
drtE38;9122.11;5467.24;3654.86;5467.24
drtE39;132969.38;36223.59;96745.79;36223.59
drtE40;10681.63;9147.15;1534.48;9147.15
drtE41;40735.35;13478.24;27257.11;13478.24
drtE42;10099.8;6504.16;3595.64;6504.16
drtE43;0;0;0;0
drtE44;11906.41;10557.94;1348.46;10557.94
drtE23;4858.15;4522.63;335.53;4522.63
drtE24;0;0;0;0
drtE25;64044.19;25451.11;38593.09;26575.31
drtE26;18818.95;12381.31;6437.64;12381.31
drtE27;12420.55;10591.51;1829.04;10591.51
drtE28;62434.09;7884.25;54549.85;7884.25
drtE29;62633.63;11547.89;51085.74;11547.89
drtE30;0;0;0;0
drtE31;7546.35;6064.73;1481.61;6064.73
drtE32;23874.65;11889.37;11985.28;11889.37
drtE33;0;0;0;0
drtE12;113738.05;46022.39;67715.66;52374.34
drtE13;20689.92;2988.92;17701;2988.92
drtE14;10266.9;8481.03;1785.87;8481.03
drtE15;50896.37;18453.88;32442.48;18932.44
drtE16;0;0;0;0
drtE17;0;0;0;0
drtE18;0;0;0;0
drtE19;42759.54;10682.77;32076.76;10682.77
drtE20;14797.38;1630.67;13166.71;1630.67
drtE21;87324.15;35615.69;51708.46;35615.69
drtE22;0;0;0;0
